Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,OKC,CHO,1,2,34.57,12,5,4,1,5,2,1,1,0,3,15
2020-12-28,OKC,UTA,0,-1,31.7,11,9,7,5,2,1,3,0,3,4,26
2020-12-29,OKC,ORL,0,-11,28.97,14,6,8,3,4,0,0,0,0,2,15
2020-12-31,OKC,NOP,0,-33,16.85,8,3,4,2,3,1,1,0,2,3,8
2021-01-02,OKC,ORL,1,9,30.18,7,2,4,1,4,0,1,1,1,4,9
2021-01-04,OKC,MIA,1,-28,23.57,8,4,4,2,1,2,0,0,0,1,12
2021-01-06,OKC,NOP,1,1,30.85,4,3,2,1,1,1,0,0,0,2,9
2021-01-08,OKC,NYK,1,12,29.45,9,2,6,1,8,1,0,1,2,2,5
2021-01-10,OKC,BRK,1,13,25.38,6,4,3,2,3,0,1,0,2,3,13
2021-01-12,OKC,SAS,0,-10,27.03,11,4,6,3,6,0,1,0,2,2,12
2021-01-13,OKC,LAL,0,-29,24.65,8,3,6,3,1,1,0,0,1,2,9
2021-01-15,OKC,CHI,0,2,39.78,15,7,11,4,8,0,6,1,1,2,21
2021-01-19,OKC,DEN,1,-18,24.58,11,8,6,3,5,3,1,0,0,1,20
2021-01-22,OKC,LAC,1,-14,31.92,13,7,7,3,3,1,0,0,2,4,19
2021-01-24,OKC,LAC,1,-8,30.87,10,2,6,0,1,3,1,0,1,3,4
2021-01-25,OKC,POR,1,3,30.0,7,3,4,1,3,3,0,1,2,4,7
2021-01-27,OKC,PHO,1,5,30.72,11,5,8,4,1,1,0,1,2,5,14
2021-01-29,OKC,BRK,0,-22,32.83,14,2,9,1,1,2,0,0,2,1,10
2021-02-01,OKC,HOU,0,-30,23.85,8,2,4,1,3,1,0,0,1,0,7
2021-02-03,OKC,HOU,0,17,9.07,5,0,2,0,0,2,0,0,0,0,0
2021-02-06,OKC,MIN,0,2,31.87,10,4,4,1,6,3,2,0,2,3,10
2021-02-08,OKC,LAL,1,-7,37.98,11,3,6,0,3,0,1,0,1,4,7
2021-02-10,OKC,LAL,1,-1,41.15,17,7,5,0,5,4,2,0,3,4,17
2021-02-12,OKC,DEN,1,-2,30.58,15,6,5,1,3,1,1,0,1,4,15
2021-02-14,OKC,MIL,0,5,36.17,13,6,8,3,7,2,2,0,7,0,19
2021-02-16,OKC,POR,0,-11,36.67,18,8,9,3,6,3,1,0,1,2,23
2021-02-17,OKC,MEM,1,-9,28.92,10,2,7,1,2,1,0,1,2,3,11
2021-02-19,OKC,MIL,1,-13,32.52,16,6,7,3,2,1,0,0,0,2,17
2021-02-21,OKC,CLE,1,16,30.67,10,4,6,2,1,1,0,1,2,0,10
2021-02-22,OKC,MIA,0,-14,32.08,15,3,8,1,7,4,1,0,2,5,11
2021-02-24,OKC,SAS,0,3,30.73,12,6,7,4,4,1,0,0,2,0,16
2021-02-26,OKC,ATL,0,9,32.25,14,6,9,4,3,2,1,0,1,3,19
2021-02-27,OKC,DEN,0,-30,20.6,6,1,3,0,1,0,0,1,0,1,2
2021-03-03,OKC,DAL,1,-9,24.52,9,1,5,1,5,2,0,0,3,4,5
2021-03-04,OKC,SAS,1,5,36.48,16,5,9,3,3,1,4,1,1,2,15
2021-03-11,OKC,DAL,0,8,30.35,9,4,7,4,5,2,0,0,1,2,14
2021-03-13,OKC,NYK,0,-22,28.37,9,2,3,0,6,5,0,0,1,2,14
2021-03-18,OKC,ATL,1,-23,23.63,8,2,4,2,1,0,0,1,1,3,8
2021-03-21,OKC,HOU,1,2,33.07,22,10,10,3,3,3,1,1,2,4,23
2021-03-24,OKC,MEM,0,-9,31.32,17,6,7,1,3,3,3,2,0,2,14
2021-03-27,OKC,BOS,0,-17,16.18,10,4,5,2,2,0,0,1,1,1,10
2021-04-10,OKC,PHI,0,-24,28.82,12,6,4,2,5,1,1,1,3,4,15
2021-04-13,OKC,UTA,1,-10,36.55,31,16,11,7,7,3,4,0,2,3,42
2021-04-16,OKC,DET,1,-6,32.17,20,9,8,3,6,2,3,1,3,4,26
2021-04-18,OKC,TOR,1,-6,31.12,15,9,8,5,4,2,1,0,1,3,29
2021-04-23,OKC,WAS,0,-20,34.63,15,5,7,1,8,1,0,1,1,2,18
2021-04-27,OKC,BOS,1,4,34.87,14,5,8,3,4,2,0,1,3,5,24
2021-04-29,OKC,NOP,0,-14,33.02,12,5,8,4,3,1,0,0,3,4,17
2021-05-02,OKC,PHO,0,-3,34.58,19,4,9,2,1,4,0,0,2,1,10
2021-05-04,OKC,SAC,0,-4,28.62,16,3,8,2,4,4,0,0,1,3,10
2021-05-06,OKC,GSW,1,-21,21.75,13,3,6,1,2,3,1,0,1,4,7
2021-05-08,OKC,GSW,1,-39,24.18,13,5,7,3,4,1,0,0,1,2,16
