Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,TOR,NOP,0,-14,1.27,1,0,1,0,0,0,0,0,0,0,0
2020-12-31,TOR,NYK,0,17,2.8,1,0,1,0,0,0,0,0,0,0,0
2021-01-04,TOR,BOS,0,-12,15.75,6,0,4,0,0,1,1,0,0,1,0
2021-01-06,TOR,PHO,1,-8,3.78,3,0,1,0,0,0,0,0,0,0,0
2021-01-08,TOR,SAC,1,21,16.8,6,5,3,2,5,2,0,0,1,3,12
2021-01-10,TOR,GSW,1,-1,12.57,3,0,1,0,1,3,0,0,0,1,0
2021-01-14,TOR,CHO,0,3,6.47,2,1,2,1,0,1,1,0,0,1,3
2021-01-16,TOR,CHO,0,3,18.2,7,2,3,1,1,3,1,0,1,1,5
2021-01-18,TOR,DAL,0,23,2.07,0,0,0,0,0,1,0,0,0,0,0
2021-01-22,TOR,MIA,0,20,14.13,5,1,4,1,1,3,0,0,1,2,3
2021-01-24,TOR,IND,1,5,7.28,3,1,2,0,0,2,1,0,0,1,2
2021-01-31,TOR,ORL,0,13,2.03,1,1,0,0,0,0,0,0,1,0,4
2021-02-02,TOR,ORL,1,15,2.62,1,0,1,0,1,0,0,0,0,0,0
2021-02-18,TOR,MIL,1,14,4.65,0,0,0,0,0,0,0,0,0,1,0
2021-02-19,TOR,MIN,1,5,14.95,6,1,3,0,2,0,0,0,0,1,4
2021-03-19,TOR,UTA,0,-3,17.65,4,1,3,1,1,2,1,0,0,1,3
2021-03-21,TOR,CLE,1,-11,12.37,3,2,0,0,0,2,0,0,0,1,4
2021-03-22,TOR,HOU,1,-18,14.05,2,0,1,0,1,3,0,0,1,0,0
2021-03-24,TOR,DEN,0,24,5.72,4,0,3,0,0,1,0,0,0,1,0
2021-03-26,TOR,PHO,0,-4,14.22,5,2,3,1,3,0,0,0,1,0,5
2021-03-28,TOR,POR,0,-5,10.48,2,0,2,0,1,2,0,0,0,0,0
2021-03-29,TOR,DET,1,-14,18.35,4,2,0,0,4,2,0,0,2,0,5
2021-03-31,TOR,OKC,1,-10,19.53,4,1,2,0,0,2,2,0,0,3,2
2021-04-02,TOR,GSW,0,53,30.6,12,7,4,1,5,5,2,0,2,3,16
2021-04-05,TOR,WAS,0,2,33.82,13,6,4,2,6,4,4,3,3,3,16
2021-04-06,TOR,LAL,0,-9,33.25,11,4,4,2,8,4,2,1,2,1,11
2021-04-08,TOR,CHI,0,-9,35.32,11,3,7,3,3,8,2,0,2,2,9
2021-04-10,TOR,CLE,1,20,39.18,14,8,3,2,2,11,2,0,3,3,20
2021-04-11,TOR,NYK,1,-6,26.95,9,2,4,1,5,4,0,1,3,3,6
2021-04-13,TOR,ATL,0,-5,35.38,18,8,13,6,5,3,2,0,0,1,22
2021-04-14,TOR,SAS,0,5,32.2,14,4,7,3,4,7,2,0,0,2,16
2021-04-16,TOR,ORL,0,11,34.18,12,3,4,0,3,8,1,0,1,2,6
2021-04-18,TOR,OKC,0,6,30.85,14,6,5,3,7,5,0,0,1,1,15
2021-04-21,TOR,BRK,0,11,11.05,5,2,3,1,0,1,1,0,1,1,5
2021-04-24,TOR,NYK,1,-17,5.52,0,0,0,0,0,0,0,0,1,0,2
2021-04-26,TOR,CLE,0,16,24.12,6,4,4,2,5,5,2,0,1,2,18
2021-04-27,TOR,BRK,0,-13,20.55,8,4,5,1,2,3,1,0,0,2,13
2021-04-29,TOR,DEN,1,-10,32.2,9,6,4,2,6,4,1,0,6,3,16
2021-05-01,TOR,UTA,1,-4,36.48,11,4,5,2,5,6,1,0,1,5,10
2021-05-02,TOR,LAL,1,7,19.68,7,0,5,0,1,1,0,0,1,2,0
2021-05-04,TOR,LAC,1,-5,13.25,3,0,1,0,2,1,0,0,1,1,1
2021-05-06,TOR,WAS,0,-2,15.88,7,2,0,0,2,3,0,0,1,0,4
2021-05-08,TOR,MEM,0,-10,25.8,11,6,6,3,7,3,1,0,1,4,15
2021-05-11,TOR,LAC,0,-19,29.08,10,4,9,3,3,4,2,1,0,2,11
2021-05-13,TOR,CHI,1,-12,41.45,19,5,10,2,4,7,1,0,2,3,16
2021-05-14,TOR,DAL,1,-4,37.37,21,11,8,3,6,5,2,0,0,2,26
2021-05-16,TOR,IND,0,-12,45.62,22,8,13,5,4,5,2,1,2,2,27
