Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MIN,DET,0,10,26.62,18,10,9,3,0,0,1,4,2,1,0,1,3,23,12
2020-12-26,MIN,UTA,1,5,38.7,17,7,4,1,3,3,2,6,0,1,0,2,3,18,13
2020-12-27,MIN,LAL,1,-36,24.45,9,3,3,0,2,3,0,5,2,1,0,0,0,8,-19
2020-12-29,MIN,LAC,1,-23,28.08,16,5,8,2,7,8,0,4,0,0,0,1,0,19,-15
2021-01-01,MIN,WAS,0,-21,26.3,13,8,6,3,2,2,0,3,0,0,0,1,4,21,-17
2021-01-03,MIN,DEN,0,-15,38.07,16,10,5,3,2,2,1,7,5,1,2,1,0,25,-12
2021-01-05,MIN,DEN,1,-7,37.65,16,5,6,0,5,5,2,6,4,0,0,1,1,15,1
2021-01-07,MIN,POR,1,-18,27.75,13,3,6,3,3,4,0,4,2,1,0,3,1,12,-20
2021-01-09,MIN,SAS,0,-3,40.0,20,11,11,7,0,0,0,4,2,0,0,2,2,29,2
2021-01-10,MIN,SAS,0,8,35.32,18,9,6,3,3,3,0,3,0,0,0,0,0,24,13
2021-01-13,MIN,MEM,0,-11,33.93,23,11,11,4,2,3,2,6,5,1,1,1,0,28,-1
2021-01-18,MIN,ATL,1,-11,33.72,17,5,10,4,1,1,0,5,3,1,1,3,3,15,5
2021-01-20,MIN,ORL,0,-1,33.55,15,5,10,3,0,0,2,7,5,1,0,1,1,13,-7
2021-01-22,MIN,ATL,0,-18,25.42,11,7,5,2,1,1,0,1,4,2,0,2,2,17,-12
2021-01-23,MIN,NOP,0,10,31.4,18,6,8,2,2,2,1,6,3,0,0,0,1,16,2
2021-01-25,MIN,GSW,1,-22,30.05,18,10,9,4,6,6,0,7,0,1,0,3,1,30,-17
2021-01-27,MIN,GSW,1,-12,30.47,18,7,9,4,7,8,0,5,1,1,0,1,1,25,-14
2021-01-29,MIN,PHI,0,-24,30.05,19,9,9,3,1,1,1,5,2,0,0,3,3,22,-25
2021-01-31,MIN,CLE,0,5,28.22,17,9,11,5,0,2,0,3,2,1,0,1,2,23,-2
2021-02-01,MIN,CLE,1,-2,33.18,14,5,6,0,0,0,4,7,3,1,0,4,2,10,-11
2021-02-03,MIN,SAS,1,-3,31.7,18,12,8,4,1,1,1,6,1,1,0,0,2,29,-5
2021-02-05,MIN,OKC,1,3,32.23,19,9,12,6,0,0,1,5,3,1,0,2,3,24,-18
2021-02-06,MIN,OKC,1,-2,33.87,19,7,11,3,0,1,4,6,5,1,0,2,0,17,-3
2021-02-08,MIN,DAL,1,-5,34.33,21,10,12,6,4,6,1,9,6,1,1,0,0,30,8
2021-02-10,MIN,LAC,0,-7,34.32,15,5,11,4,7,7,2,5,2,1,0,2,5,21,-5
2021-02-12,MIN,CHO,1,-6,36.52,21,12,13,7,0,0,1,5,1,1,0,1,3,31,2
2021-02-14,MIN,TOR,1,4,37.23,13,7,10,6,0,0,0,3,6,1,0,3,0,20,-2
2021-02-16,MIN,LAL,0,-8,36.45,15,4,9,3,0,0,0,2,1,1,0,4,4,11,0
2021-02-17,MIN,IND,0,-6,41.03,25,13,13,5,0,1,0,2,3,3,0,3,3,31,5
2021-02-19,MIN,TOR,0,-5,33.27,16,5,9,3,0,0,1,5,1,0,1,1,0,13,-2
2021-02-21,MIN,NYK,1,-4,37.93,6,2,4,2,0,0,0,4,2,1,0,1,1,6,5
2021-02-23,MIN,MIL,1,-27,33.68,16,10,9,6,0,0,0,1,4,1,0,2,0,26,-9
2021-02-24,MIN,CHI,1,-7,37.07,20,9,13,5,2,2,0,2,1,0,0,2,3,25,5
2021-03-27,MIN,HOU,0,-22,29.7,17,4,12,3,2,2,1,4,3,2,0,1,1,13,-16
2021-03-29,MIN,BRK,1,-5,31.13,12,3,10,3,0,0,0,1,4,0,0,4,5,9,-8
2021-03-31,MIN,NYK,0,1,32.02,9,5,8,5,5,6,0,1,0,1,1,1,1,20,-12
2021-04-02,MIN,MEM,1,-12,28.58,12,2,5,1,0,0,0,3,0,0,0,0,1,5,-18
