Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-06,LAC,GSW,1,7,18.18,9,4,6,2,2,2,0,0,3,3,12
2021-01-08,LAC,GSW,1,-10,17.72,7,1,2,0,2,1,0,0,1,0,2
2021-01-10,LAC,CHI,0,3,25.07,8,3,5,3,7,0,0,0,1,3,11
2021-01-13,LAC,NOP,0,5,20.5,8,3,4,2,3,0,0,0,1,2,8
2021-01-15,LAC,SAC,1,38,21.95,12,7,6,4,0,1,1,0,1,0,18
2021-01-17,LAC,IND,0,33,26.57,11,7,7,4,7,3,1,0,1,1,20
2021-01-20,LAC,SAC,0,19,26.32,8,2,5,2,4,1,1,0,1,2,8
2021-01-22,LAC,OKC,0,14,24.25,7,3,3,1,4,0,0,1,2,2,7
2021-01-26,LAC,ATL,1,-9,24.28,9,3,0,0,5,0,1,0,1,2,10
2021-01-28,LAC,MIA,1,4,26.15,13,5,8,2,5,1,1,0,1,2,16
2021-01-29,LAC,ORL,1,26,23.85,10,5,4,2,1,2,2,1,0,0,13
2021-01-31,LAC,NYK,1,14,28.28,8,4,6,3,3,0,0,0,0,2,11
2021-02-02,LAC,BRK,1,-4,30.58,10,6,6,3,4,0,1,1,0,2,16
2021-02-03,LAC,CLE,1,22,23.22,3,1,2,0,3,0,0,0,2,1,3
2021-02-05,LAC,BOS,0,-4,28.0,11,5,5,3,4,2,1,0,0,1,13
2021-02-07,LAC,SAC,0,-3,25.13,11,5,5,3,3,0,0,0,0,1,16
2021-02-10,LAC,MIN,1,7,25.47,12,3,7,2,4,1,1,0,1,1,10
2021-02-12,LAC,CHI,1,19,24.6,10,6,8,6,6,1,0,1,1,1,20
2021-02-14,LAC,CLE,0,17,25.73,14,7,6,4,6,1,1,2,1,4,23
2021-02-15,LAC,MIA,0,7,25.82,15,11,8,6,3,2,1,0,2,5,32
2021-02-17,LAC,UTA,0,-18,32.17,15,4,3,1,5,0,0,0,1,3,9
2021-02-19,LAC,UTA,0,4,26.52,11,7,5,3,7,1,0,0,0,3,17
2021-02-21,LAC,BRK,0,-4,24.78,7,2,3,1,2,1,0,0,0,3,5
2021-02-23,LAC,WAS,0,19,22.88,12,4,6,2,3,4,1,1,1,1,11
2021-02-25,LAC,MEM,1,-28,24.52,10,4,5,1,2,1,1,0,0,3,9
2021-02-26,LAC,MEM,1,20,23.13,6,1,3,0,3,0,1,0,3,1,4
2021-02-28,LAC,MIL,1,-5,23.1,11,4,8,3,5,0,0,0,0,2,11
2021-03-02,LAC,BOS,1,-5,15.25,7,4,4,2,3,0,0,1,0,1,10
2021-03-11,LAC,GSW,0,26,23.18,6,3,4,2,2,2,0,1,0,1,9
2021-03-14,LAC,NOP,1,-20,19.58,5,0,2,0,2,2,0,0,1,2,0
2021-03-15,LAC,DAL,1,10,30.57,11,6,6,2,6,4,1,0,2,2,14
2021-03-17,LAC,DAL,1,-16,36.05,14,5,9,1,7,2,2,0,0,3,11
2021-03-20,LAC,CHO,0,27,21.2,9,5,5,3,4,1,0,0,0,5,13
2021-03-22,LAC,ATL,0,9,27.05,11,6,8,5,2,1,0,1,0,2,19
2021-03-24,LAC,SAS,1,33,26.28,12,7,7,5,4,0,0,0,0,4,20
2021-03-27,LAC,PHI,0,10,31.2,11,5,5,3,3,1,0,0,1,2,13
2021-03-29,LAC,MIL,0,24,37.27,16,9,7,4,5,3,0,0,1,2,25
2021-04-01,LAC,DEN,0,-7,28.72,9,2,6,2,4,0,1,0,2,1,8
2021-04-04,LAC,LAL,0,18,28.47,13,9,5,4,7,0,0,0,2,2,22
2021-04-06,LAC,POR,0,17,24.13,7,2,6,1,4,0,1,0,0,2,5
2021-04-08,LAC,PHO,0,10,29.77,8,3,4,2,6,1,2,0,1,3,8
2021-04-09,LAC,HOU,0,17,26.27,9,4,4,1,4,1,2,1,2,3,9
2021-04-11,LAC,DET,0,7,35.98,18,13,8,6,6,0,1,0,2,4,33
2021-04-13,LAC,IND,1,11,29.93,12,9,3,3,7,3,0,0,0,1,22
2021-04-16,LAC,PHI,1,-3,35.05,10,5,5,2,3,2,1,0,2,5,15
2021-04-18,LAC,MIN,0,19,25.55,12,7,7,5,6,0,1,0,0,1,19
2021-04-20,LAC,POR,1,1,31.52,14,6,8,2,6,0,1,0,1,2,16
2021-04-21,LAC,MEM,0,12,32.32,19,9,6,4,4,2,1,1,1,3,25
2021-04-26,LAC,NOP,1,-17,27.3,17,6,10,3,7,0,2,1,1,3,15
2021-04-28,LAC,PHO,1,-8,33.67,12,6,7,3,4,1,1,0,1,1,16
2021-05-01,LAC,DEN,0,-6,28.8,6,2,4,1,3,3,0,0,1,3,8
2021-05-04,LAC,TOR,0,5,33.35,11,8,5,4,6,2,1,0,2,3,22
2021-05-06,LAC,LAL,0,24,26.77,6,3,1,1,4,0,0,0,3,1,10
2021-05-09,LAC,NYK,0,-6,27.42,9,2,3,0,4,0,0,1,3,1,7
2021-05-11,LAC,TOR,1,19,27.57,9,5,4,2,2,1,1,1,1,1,14
2021-05-13,LAC,CHO,1,23,23.87,8,5,5,3,3,1,0,0,2,2,15
2021-05-14,LAC,HOU,1,-7,9.05,5,3,2,1,3,0,0,0,0,0,7
