Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,BOS,MIL,0,1,38.45,3,0,2,0,3,4,0,1,7,0,2,2,2,3,0
2020-12-25,BOS,BRK,0,-28,31.88,12,4,7,3,2,2,2,3,6,2,1,1,5,13,-24
2020-12-27,BOS,IND,1,-1,31.63,8,4,4,2,1,2,1,3,6,2,0,2,1,11,-4
2020-12-29,BOS,IND,1,5,31.73,10,3,6,3,8,10,1,1,5,1,1,0,1,17,-4
2020-12-30,BOS,MEM,0,19,26.32,11,5,9,4,0,0,0,2,4,3,1,2,1,14,8
2021-01-01,BOS,DET,1,-3,38.18,14,5,6,3,0,3,0,3,9,3,0,4,3,13,-1
2021-01-03,BOS,DET,1,2,34.15,10,5,5,1,6,6,1,3,10,0,1,2,1,17,-1
2021-01-06,BOS,MIA,1,2,32.2,10,3,3,1,2,2,1,4,6,1,0,0,5,9,-6
2021-01-08,BOS,WAS,0,9,36.07,10,2,5,0,9,11,0,5,5,2,0,3,4,13,4
2021-01-15,BOS,ORL,0,27,27.82,13,5,10,4,0,0,0,2,2,1,0,1,2,14,28
2021-01-17,BOS,NYK,0,-30,29.37,15,4,7,0,2,5,0,2,2,2,0,0,3,10,-22
2021-01-20,BOS,PHI,1,-8,34.1,19,10,6,1,4,7,0,4,4,1,0,2,1,25,-15
2021-01-22,BOS,PHI,1,-12,39.3,17,7,5,2,4,4,0,3,7,3,0,3,5,20,-2
2021-01-24,BOS,CLE,0,38,27.22,8,5,2,1,1,2,0,0,9,5,1,2,0,12,30
2021-01-25,BOS,CHI,1,16,25.67,6,4,3,1,4,4,0,5,11,2,1,3,2,13,21
2021-01-27,BOS,SAS,1,-4,39.05,15,6,7,2,0,0,1,4,3,1,0,2,1,14,-11
2021-01-30,BOS,LAL,0,-1,26.25,7,2,3,0,0,0,0,2,7,2,1,1,2,4,-5
2021-03-11,BOS,BRK,1,-12,20.92,6,4,5,3,8,9,2,2,2,0,1,0,4,19,-12
2021-03-14,BOS,HOU,1,27,18.55,3,2,2,1,0,0,0,0,3,0,0,1,3,5,18
2021-03-16,BOS,UTA,0,-8,24.63,10,2,6,1,0,0,2,4,1,1,0,1,2,5,-10
2021-03-17,BOS,CLE,1,-7,29.22,11,5,9,4,5,6,1,3,2,2,0,4,2,19,-10
2021-03-19,BOS,SAC,0,-11,33.85,7,3,3,1,2,2,0,4,5,2,0,0,3,9,-10
2021-03-21,BOS,ORL,0,16,32.8,7,3,5,2,3,3,0,3,8,0,1,2,2,11,18
2021-03-22,BOS,MEM,1,-6,39.33,14,5,9,3,3,4,0,5,5,1,0,2,3,16,6
2021-03-24,BOS,MIL,1,-2,37.35,13,3,10,2,4,4,0,2,6,1,1,1,4,12,-6
2021-03-26,BOS,MIL,1,8,33.88,15,8,10,7,0,0,1,8,3,1,0,3,2,23,20
2021-03-27,BOS,OKC,1,17,37.83,7,3,4,1,1,3,0,2,8,2,0,1,1,8,20
2021-03-29,BOS,NOP,0,-6,38.28,15,6,6,0,3,3,1,3,3,0,2,2,5,15,-7
2021-03-31,BOS,DAL,0,-5,35.95,12,5,7,2,5,6,2,5,7,2,1,0,2,17,1
2021-04-02,BOS,HOU,0,16,26.6,6,3,2,0,0,0,1,4,10,3,1,3,4,6,19
2021-04-04,BOS,CHO,0,30,28.13,8,4,7,4,0,0,0,1,4,1,0,1,0,12,18
2021-04-06,BOS,PHI,0,-10,36.47,9,4,3,1,5,7,0,1,3,1,1,6,1,14,-13
2021-04-07,BOS,NYK,0,2,36.08,11,4,6,3,6,6,1,4,9,1,1,2,4,17,7
2021-04-09,BOS,MIN,0,9,41.08,12,7,8,4,6,7,2,6,8,2,0,2,3,24,1
2021-04-11,BOS,DEN,1,18,34.0,11,4,6,2,4,5,1,4,5,0,0,0,4,14,-5
2021-04-13,BOS,POR,1,1,36.55,9,4,5,3,2,4,1,4,7,2,1,2,1,13,4
2021-04-15,BOS,LAL,1,8,31.92,8,5,6,3,2,2,0,6,4,1,0,3,3,15,15
2021-04-17,BOS,GSW,0,5,37.07,15,5,11,3,3,4,4,9,6,2,0,1,3,16,9
2021-04-22,BOS,PHO,0,13,35.53,11,4,5,1,2,3,3,7,5,1,0,0,1,11,21
2021-04-23,BOS,BRK,1,-5,30.22,17,7,10,2,3,3,1,5,3,2,0,5,3,19,4
2021-04-25,BOS,CHO,1,-21,30.35,11,5,7,3,4,4,1,1,4,1,1,1,2,17,-10
2021-04-27,BOS,OKC,0,-4,37.87,17,4,10,1,5,6,0,0,6,5,0,3,6,14,-1
2021-04-30,BOS,SAS,0,3,43.75,6,2,4,1,5,6,1,4,12,2,1,3,4,10,2
2021-05-02,BOS,POR,0,-10,35.03,14,4,9,3,0,0,2,8,8,0,0,3,2,11,-13
2021-05-05,BOS,ORL,1,36,29.9,6,1,3,1,0,0,0,3,9,1,1,2,3,3,28
2021-05-07,BOS,CHI,1,-22,32.28,7,2,4,0,0,1,1,8,5,1,0,3,2,4,-19
2021-05-09,BOS,MIA,0,-6,33.92,14,7,4,1,1,2,0,2,4,2,0,6,5,16,4
2021-05-11,BOS,MIA,0,-8,32.45,10,4,6,2,0,0,1,2,5,1,1,3,3,10,-2
