Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,SAC,DEN,1,2,27.35,15,5,4,0,10,0,0,1,2,6,13
2020-12-26,SAC,PHO,0,3,20.7,10,5,1,0,11,1,0,0,3,3,13
2020-12-27,SAC,PHO,0,-16,27.47,13,5,2,1,8,1,1,0,3,4,11
2020-12-29,SAC,DEN,0,10,23.2,12,6,5,2,2,1,1,0,0,2,18
2020-12-31,SAC,HOU,1,-3,25.9,9,1,0,0,8,1,0,1,3,0,4
2021-01-02,SAC,HOU,1,-8,25.18,13,5,1,1,9,2,0,0,2,4,12
2021-01-04,SAC,GSW,1,-31,24.08,9,2,2,0,9,0,0,0,3,3,5
2021-01-06,SAC,CHI,0,4,29.07,14,8,5,3,12,0,2,2,2,1,21
2021-01-08,SAC,TOR,0,-21,29.27,9,6,3,1,4,2,0,1,0,3,15
2021-01-09,SAC,POR,0,-26,24.32,14,5,2,1,8,0,0,0,2,3,15
2021-01-11,SAC,IND,0,5,23.48,7,4,2,0,7,2,0,2,2,0,8
2021-01-13,SAC,POR,0,-6,19.13,5,4,2,1,6,1,0,0,0,3,11
2021-01-15,SAC,LAC,0,-38,31.1,12,8,4,2,5,2,0,1,1,1,20
2021-01-17,SAC,NOP,0,-5,36.23,19,11,6,2,10,0,1,1,2,2,26
2021-01-20,SAC,LAC,1,-19,29.23,8,4,2,1,8,1,1,0,0,2,10
2021-01-22,SAC,NYK,0,9,30.93,12,5,2,0,11,0,0,1,0,6,10
2021-01-27,SAC,ORL,1,14,21.85,14,7,3,1,12,2,1,0,3,2,16
2021-01-29,SAC,TOR,1,2,19.8,8,3,4,1,5,1,1,0,3,4,7
2021-01-30,SAC,MIA,1,-1,25.77,8,7,4,3,4,1,2,0,0,3,17
2021-02-01,SAC,NOP,1,9,21.6,12,5,2,0,4,1,0,1,2,3,10
2021-02-03,SAC,BOS,0,5,19.18,8,4,2,1,6,0,0,0,0,2,9
2021-02-06,SAC,DEN,0,5,17.72,6,1,3,1,2,1,1,0,2,1,3
2021-02-07,SAC,LAC,1,3,20.9,8,4,1,1,10,1,0,0,1,1,9
2021-02-09,SAC,PHI,0,-8,28.58,11,6,5,2,6,1,1,0,1,3,17
2021-02-15,SAC,BRK,0,-11,21.07,13,7,3,1,7,0,0,1,0,1,19
2021-02-18,SAC,MIA,0,-8,24.33,12,7,2,2,10,2,0,0,1,1,19
2021-02-20,SAC,CHI,1,-8,35.27,19,10,2,1,11,2,2,0,0,1,26
2021-02-21,SAC,MIL,1,-13,28.93,12,5,3,1,6,2,0,1,2,3,12
2021-02-23,SAC,BRK,1,-9,30.22,10,5,3,0,10,0,0,2,3,2,12
2021-02-25,SAC,NYK,1,-19,22.65,12,7,2,1,5,0,1,0,2,4,19
2021-02-26,SAC,DET,1,3,27.65,13,9,1,0,8,1,1,0,1,3,19
2021-02-28,SAC,CHO,0,-1,34.93,20,11,5,2,10,1,2,1,1,2,24
2021-03-03,SAC,LAL,0,3,29.02,10,7,1,0,5,0,0,0,0,1,14
2021-03-04,SAC,POR,1,-4,31.78,13,6,3,1,9,3,0,0,0,2,14
2021-03-11,SAC,HOU,0,20,23.48,7,2,1,0,7,1,0,2,0,3,11
2021-03-13,SAC,ATL,1,-15,23.8,10,6,1,0,7,1,0,0,2,4,12
2021-03-15,SAC,CHO,1,-6,15.92,9,6,2,0,3,0,0,1,0,1,12
2021-04-30,SAC,LAL,1,4,20.73,9,4,1,1,4,1,2,0,3,2,11
2021-05-02,SAC,DAL,1,12,34.05,16,10,3,1,9,3,1,0,2,0,23
2021-05-04,SAC,OKC,1,4,30.88,15,5,5,1,7,1,0,1,2,5,13
2021-05-05,SAC,IND,1,11,34.95,22,13,1,0,12,0,0,0,1,1,31
2021-05-07,SAC,SAS,0,-9,18.88,5,1,1,0,2,1,0,0,0,2,4
2021-05-09,SAC,OKC,0,28,21.25,7,5,1,0,9,2,0,1,2,0,13
