Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DET,MIN,1, -10,32:12,8,7,0,0,8,6,0,0,0,4,14
2020-12-26,DET,CLE,0, -9,32:47,6,3,1,0,9,5,3,0,3,6,6
2020-12-28,DET,ATL,1, -8,33:33,4,4,0,0,12,6,3,0,1,4,9
2020-12-29,DET,GSW,0, -10,24:49,5,0,1,0,10,2,0,1,3,2,2
2021-01-01,DET,BOS,0, +3,29:36,5,3,0,0,17,1,2,1,1,1,8
2021-01-03,DET,BOS,0, -2,24:38,4,3,0,0,8,2,1,1,0,4,13
2021-01-04,DET,MIL,1, -10,19:59,7,2,1,0,8,6,1,0,2,1,4
2021-01-06,DET,MIL,1, -15,16:42,5,2,0,0,5,1,0,1,2,4,4
2021-01-08,DET,PHO,0, +5,32:57,4,2,0,0,6,3,3,1,2,3,12
2021-01-10,DET,UTA,0, -10,25:54,5,3,0,0,8,3,2,1,1,6,6
2021-01-13,DET,MIL,0, -9,21:46,11,3,1,0,13,5,2,0,2,2,7
2021-01-16,DET,MIA,1, +20,27:54,5,4,0,0,2,2,0,1,4,2,9
2021-01-18,DET,MIA,1, -6,35:28,10,7,0,0,7,4,2,0,2,6,15
2021-01-20,DET,ATL,1, -8,27:08,11,5,0,0,9,1,0,0,2,6,10
2021-01-22,DET,HOU,0, -1,20:30,3,1,0,0,9,4,0,1,3,6,6
2021-01-23,DET,PHI,0, -4,19:28,5,2,0,0,5,2,0,1,4,6,7
2021-01-25,DET,PHI,0, +15,27:38,6,5,0,0,10,1,0,0,3,1,10
2021-01-27,DET,CLE,1, -15,28:18,9,6,1,0,12,3,0,1,8,4,15
2021-01-28,DET,LAL,0, +15,26:44,8,7,0,0,10,2,0,1,0,5,17
2021-01-30,DET,GSW,1, -27,16:16,3,2,0,0,2,1,0,1,0,0,6
2021-02-02,DET,UTA,1, -12,28:16,11,7,0,0,14,2,1,0,0,2,17
2021-02-05,DET,PHO,1, -17,24:25,10,5,0,0,8,1,0,0,1,2,11
2021-02-06,DET,LAL,1, -6,47:28,7,6,0,0,8,6,2,2,5,4,15
2021-02-09,DET,BRK,0, +11,38:03,10,7,0,0,12,7,2,3,2,3,14
2021-02-14,DET,NOP,0, +11,30:29,12,8,0,0,10,10,0,0,1,3,17
2021-02-17,DET,CHI,1, -3,33:08,9,5,0,0,8,3,0,0,1,5,11
2021-02-19,DET,MEM,1, -14,34:03,8,5,0,0,15,6,1,2,6,4,10
2021-02-21,DET,ORL,1, -9,28:08,5,4,0,0,7,3,2,0,1,4,10
2021-02-23,DET,ORL,1, +12,29:46,3,2,1,0,12,4,0,3,2,1,7
2021-02-24,DET,NOP,1, -10,32:18,10,9,0,0,9,7,0,4,3,3,21
2021-02-26,DET,SAC,0, -3,26:35,6,2,0,0,9,6,0,1,2,5,6
2021-02-28,DET,NYK,0, -19,20:10,5,4,0,0,5,1,0,0,1,2,9
2021-03-03,DET,TOR,1, +24,28:19,12,6,0,0,11,10,1,1,2,4,14
2021-03-04,DET,NYK,1, -10,27:46,7,4,0,0,13,4,0,1,2,5,12
2021-03-11,DET,CHO,1, -3,25:20,4,4,0,0,8,3,1,1,5,4,9
2021-03-13,DET,BRK,1, -5,28:26,11,5,0,0,9,6,1,0,0,3,11
2021-03-15,DET,SAS,0, -10,23:15,5,3,0,0,12,0,1,2,0,2,9
2021-03-17,DET,TOR,0, +4,24:48,6,4,0,0,14,2,0,1,1,5,10
2021-03-19,DET,HOU,1, +13,21:32,4,2,0,0,16,1,0,1,1,3,6
2021-03-21,DET,CHI,0, -14,28:36,4,3,0,0,10,3,4,2,1,4,12
2021-03-24,DET,IND,1, -5,29:24,8,5,0,0,10,4,1,1,2,1,12
2021-03-26,DET,BRK,0, -2,30:48,7,4,1,0,10,5,1,0,2,5,13
2021-03-27,DET,WAS,1, -14,26:32,9,4,0,0,8,1,1,2,3,3,11
2021-03-29,DET,TOR,0, +14,18:21,1,0,0,0,8,2,0,0,3,5,5
2021-03-31,DET,POR,0, -23,29:48,11,8,0,0,3,2,0,1,0,3,18
2021-04-01,DET,WAS,0, +29,28:05,11,6,0,0,11,7,1,1,1,2,13
2021-04-03,DET,NYK,0, -44,21:17,4,3,0,0,10,1,1,2,1,3,9
2021-04-06,DET,DEN,1, -15,20:19,3,2,0,0,2,3,0,0,0,1,4
2021-04-10,DET,POR,1, -15,17:57,8,4,0,0,6,3,2,1,0,1,8
2021-04-11,DET,LAC,1, -7,27:11,10,6,0,0,5,3,0,0,2,2,12
2021-04-14,DET,LAC,0, -2,20:55,4,3,0,0,9,4,0,0,2,4,11
2021-04-17,DET,WAS,1, -21,16:23,4,1,0,0,7,2,0,1,1,2,2
2021-04-21,DET,DAL,1, -10,32:05,4,4,0,0,16,7,0,0,2,6,13
2021-04-24,DET,IND,1, -6,28:56,9,7,0,0,21,5,0,2,2,3,17
2021-04-26,DET,ATL,0, +14,20:55,6,5,0,0,7,3,0,1,3,0,10
2021-05-08,DET,PHI,1, -14,24:34,9,6,0,0,6,5,1,2,1,4,12
