Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-04-01,CLE,PHI,0,-20,16.17,4,0,1,0,2,5,0,0,0,2,0
2021-04-03,CLE,MIA,1,-14,16.63,3,1,1,1,1,5,0,0,0,0,3
2021-04-05,CLE,SAS,1,24,16.85,5,1,3,0,1,5,0,0,0,1,4
2021-04-08,CLE,OKC,1,27,20.53,6,1,2,0,6,7,1,0,0,2,2
2021-04-10,CLE,TOR,0,-20,16.5,3,2,1,0,2,0,0,0,2,0,4
2021-04-11,CLE,NOP,0,-7,34.38,11,3,6,1,3,10,1,0,2,3,7
2021-04-14,CLE,CHO,1,13,16.48,3,1,1,0,0,3,0,0,0,1,2
2021-04-15,CLE,GSW,0,-18,13.23,1,0,1,0,1,3,0,0,0,1,2
2021-04-17,CLE,CHI,1,-10,10.68,3,0,0,0,2,2,0,0,0,0,0
2021-04-19,CLE,DET,1,-4,12.6,3,2,0,0,3,4,2,0,1,3,4
2021-04-21,CLE,CHI,0,16,18.45,5,1,3,1,0,6,0,0,0,2,3
2021-04-23,CLE,CHO,1,-6,13.87,4,0,3,0,2,7,0,0,1,2,0
2021-04-25,CLE,WAS,1,-9,17.72,5,2,3,1,1,1,0,1,0,4,5
