Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-29,MIA,MIL,0,-47,12.0,5,3,3,1,0,1,0,0,0,0,7
2021-01-12,MIA,PHI,1,-3,23.78,7,3,6,2,1,1,0,0,0,1,8
2021-01-14,MIA,PHI,1,-17,27.75,8,4,6,2,7,1,1,0,0,3,11
2021-01-16,MIA,DET,0,-20,8.35,0,0,0,0,0,1,0,0,0,1,0
2021-01-20,MIA,TOR,1,9,10.8,4,1,3,1,2,0,0,0,0,2,3
2021-01-22,MIA,TOR,1,-20,15.47,5,1,4,0,1,1,0,0,1,0,2
2021-01-25,MIA,BRK,1,-13,0.9,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,MIA,DEN,0,-27,16.55,5,1,5,1,1,1,0,0,0,2,5
2021-01-28,MIA,LAC,0,-4,20.73,6,4,6,4,0,0,0,0,1,3,12
2021-01-30,MIA,SAC,0,1,13.42,4,3,2,1,0,0,0,0,0,0,7
2021-02-01,MIA,CHO,0,-8,19.88,11,7,9,5,2,0,1,0,1,4,19
2021-02-03,MIA,WAS,0,-3,3.1,1,0,1,0,0,0,0,0,0,0,0
2021-02-05,MIA,WAS,0,27,7.85,1,1,1,1,2,0,0,0,0,0,3
2021-02-11,MIA,HOU,1,7,25.17,9,6,8,5,0,0,0,0,0,2,21
2021-02-13,MIA,UTA,1,-18,20.02,9,6,6,3,1,2,0,0,0,0,15
2021-02-15,MIA,LAC,1,-7,8.73,4,1,4,1,0,0,0,0,0,1,3
2021-02-20,MIA,LAL,1,2,12.2,9,1,8,0,1,0,0,0,0,0,2
2021-02-22,MIA,OKC,1,14,29.65,11,3,10,3,2,2,1,0,0,5,11
2021-03-02,MIA,ATL,0,-14,6.18,4,2,3,1,0,0,0,0,0,0,6
2021-03-17,MIA,MEM,1,-4,8.12,4,3,2,1,1,0,0,0,0,1,7
2021-03-19,MIA,IND,0,-27,4.37,1,0,1,0,0,1,0,0,0,1,0
2021-03-23,MIA,PHO,0,-10,4.03,3,2,3,2,1,0,1,0,0,0,6
2021-03-25,MIA,POR,0,-3,21.52,8,4,4,0,3,1,0,0,1,1,8
2021-03-26,MIA,CHO,1,-5,10.2,3,1,3,1,0,0,1,0,0,1,4
2021-04-03,MIA,CLE,0,14,1.78,0,0,0,0,0,1,0,0,0,1,0
2021-04-06,MIA,MEM,0,-12,1.62,0,0,0,0,0,0,0,0,0,0,0
2021-04-13,MIA,PHO,1,-20,3.17,0,0,0,0,0,0,0,0,0,0,0
2021-04-14,MIA,DEN,1,-17,17.38,5,3,4,2,1,2,0,1,0,0,8
2021-04-16,MIA,MIN,1,-8,7.53,2,1,2,1,0,2,1,0,0,2,3
2021-04-19,MIA,HOU,0,22,13.0,4,0,3,0,0,0,0,0,1,1,0
2021-04-21,MIA,SAS,1,20,1.47,1,0,1,0,0,0,0,0,0,1,0
2021-04-24,MIA,CHI,0,5,11.07,4,2,3,1,1,0,0,0,1,1,5
2021-04-26,MIA,CHI,0,-8,17.68,7,2,6,1,2,0,1,0,1,3,5
2021-05-01,MIA,CLE,1,17,25.87,13,7,9,3,4,2,2,0,0,1,17
2021-05-02,MIA,CHO,1,10,20.92,8,3,6,1,3,2,1,0,0,3,7
2021-05-04,MIA,DAL,0,-14,14.7,3,2,3,2,1,1,0,0,1,1,8
2021-05-13,MIA,PHI,0,12,1.72,1,0,1,0,0,0,0,0,0,0,0
2021-05-15,MIA,MIL,1,-14,2.17,1,1,1,1,0,0,0,1,0,0,3
2021-05-16,MIA,DET,1,13,35.67,16,7,11,3,4,2,1,0,0,1,20
