Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,DEN,SAC,0,-2,29.6,15,9,7,3,3,3,1,5,2,2,3,2,3,24,0
2020-12-25,DEN,LAC,0,-13,23.33,9,4,6,2,0,0,0,3,2,2,0,0,2,10,-14
2020-12-28,DEN,HOU,0,13,23.63,11,5,6,2,2,3,0,9,2,0,1,0,2,14,2
2020-12-29,DEN,SAC,1,-10,40.33,18,12,7,4,2,2,4,10,1,0,2,0,4,30,-9
2021-01-22,DEN,PHO,1,4,19.55,7,3,4,1,0,0,0,6,2,1,0,0,1,7,9
2021-01-23,DEN,PHO,1,8,35.07,9,5,4,3,1,1,2,11,0,1,1,3,2,14,19
2021-01-25,DEN,DAL,1,4,27.62,18,10,10,6,4,5,3,8,0,2,0,1,2,30,10
2021-01-27,DEN,MIA,1,27,24.98,12,7,7,3,0,0,0,5,1,4,0,3,3,17,8
2021-01-29,DEN,SAS,1,-10,18.87,5,3,2,2,1,2,1,4,0,0,2,3,1,9,-16
2021-01-31,DEN,UTA,0,11,19.5,7,4,1,1,2,2,1,4,0,0,0,1,5,11,8
2021-02-04,DEN,LAL,1,-21,19.73,10,3,4,0,2,2,0,3,0,1,0,0,0,8,-9
2021-02-06,DEN,SAC,1,-5,33.7,11,3,7,1,1,2,5,9,0,0,3,0,3,8,-20
2021-02-08,DEN,MIL,0,-13,26.77,9,3,5,2,0,0,1,7,2,1,1,2,0,8,-3
2021-02-10,DEN,CLE,0,38,27.63,10,6,7,4,3,4,0,5,2,2,2,0,1,19,28
2021-02-12,DEN,OKC,0,2,31.4,13,7,6,1,0,0,1,4,0,1,2,1,1,15,9
2021-02-14,DEN,LAL,0,17,29.95,11,3,7,1,1,2,0,3,1,0,2,1,4,8,9
2021-02-16,DEN,BOS,1,-13,24.13,8,0,5,0,0,0,2,7,3,0,1,0,2,0,2
2021-02-17,DEN,WAS,1,-2,30.55,11,5,7,2,2,2,0,7,1,1,1,2,5,14,1
2021-02-19,DEN,CLE,1,17,32.95,16,8,6,3,3,4,2,7,1,0,0,2,1,22,9
2021-02-21,DEN,ATL,1,-8,19.1,7,4,3,1,1,1,0,3,0,0,2,0,3,10,-4
2021-02-23,DEN,POR,0,5,39.57,9,4,4,2,2,3,1,10,1,0,1,0,3,12,8
2021-02-25,DEN,WAS,0,-2,40.6,13,7,7,3,1,2,4,10,1,1,1,3,3,18,0
