Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,PHO,DAL,0, +4,35:57,11,5,7,4,7,0,0,2,0,2,18
2020-12-26,PHO,SAC,1, -3,26:49,8,4,5,1,3,1,1,3,0,2,9
2020-12-27,PHO,SAC,1, +16,36:18,15,9,8,4,7,1,0,1,0,3,22
2020-12-29,PHO,NOP,0, +25,30:03,7,4,2,1,7,0,2,0,0,1,13
2020-12-31,PHO,UTA,1, +11,36:32,9,6,6,4,6,0,2,1,0,0,16
2021-01-01,PHO,DEN,1, +3,36:16,10,4,8,4,1,2,0,1,0,3,14
2021-01-03,PHO,LAC,0, -5,36:11,7,1,5,1,8,2,0,2,1,2,7
2021-01-06,PHO,TOR,0, +8,29:09,10,3,7,3,4,3,0,1,1,4,13
2021-01-08,PHO,DET,1, -5,32:34,9,3,4,0,8,1,1,1,1,1,6
2021-01-09,PHO,IND,1, +8,35:23,18,12,8,6,3,2,0,1,0,0,34
2021-01-11,PHO,WAS,1, -21,24:40,9,6,4,1,5,2,0,0,0,3,14
2021-01-18,PHO,MEM,1, -4,30:46,9,6,5,2,8,2,1,1,1,2,17
2021-01-20,PHO,HOU,1, +6,33:41,7,3,3,1,5,5,1,1,3,2,8
2021-01-22,PHO,DEN,0, -4,40:38,15,8,8,6,10,4,1,1,0,1,24
2021-01-23,PHO,DEN,0, -8,36:17,9,4,5,1,5,2,0,1,1,5,11
2021-01-27,PHO,OKC,0, -5,31:17,13,3,6,1,5,2,0,0,0,2,7
2021-01-28,PHO,GSW,0, +21,31:48,10,6,4,1,1,5,2,1,1,2,20
2021-01-30,PHO,DAL,1, +6,32:54,12,6,2,1,4,1,0,0,2,3,14
2021-02-01,PHO,DAL,1, +1,38:18,12,4,4,0,4,3,1,1,4,1,10
2021-02-03,PHO,NOP,1, -22,32:57,12,4,7,0,4,3,1,3,1,3,8
2021-02-05,PHO,DET,0, +17,31:31,5,2,3,0,9,4,0,2,0,1,6
2021-02-07,PHO,BOS,0, +9,37:43,13,8,5,2,9,2,0,0,0,2,19
2021-02-08,PHO,CLE,0, +6,35:31,10,8,2,1,4,5,1,1,0,1,22
2021-02-10,PHO,MIL,0, +1,32:35,7,6,3,3,4,1,0,0,2,1,15
2021-02-13,PHO,PHI,0, +9,24:13,5,1,3,0,2,1,0,0,0,2,4
2021-02-14,PHO,ORL,0, +19,30:34,13,7,5,3,5,1,2,0,2,1,21
2021-02-16,PHO,BRK,0, -4,37:31,7,4,4,2,6,2,1,1,0,0,10
2021-02-19,PHO,NOP,1, +18,25:38,6,3,1,0,1,3,1,0,0,0,6
2021-02-20,PHO,MEM,1, +31,27:42,7,6,5,4,6,1,1,1,1,1,19
2021-02-22,PHO,POR,0, +32,24:32,6,4,3,2,2,5,0,2,0,0,10
2021-02-24,PHO,CHO,0, -3,34:41,9,4,5,2,4,2,1,2,1,2,12
2021-02-26,PHO,CHI,1, +9,30:32,6,5,2,2,2,2,2,0,0,0,14
2021-02-28,PHO,MIN,1, +19,27:01,5,4,0,0,7,2,2,2,1,0,9
2021-03-02,PHO,LAL,1, +10,35:32,10,6,6,3,7,5,0,0,2,1,19
2021-03-04,PHO,GSW,0, +22,27:24,7,3,2,0,4,0,1,0,2,2,8
2021-03-11,PHO,POR,1, +6,39:03,10,8,2,1,4,2,1,1,1,0,18
2021-03-13,PHO,IND,0, -11,31:56,12,6,5,2,0,2,1,0,2,0,14
2021-03-15,PHO,MEM,0, +23,26:16,5,2,2,0,3,4,1,1,1,4,7
2021-03-18,PHO,MIN,0, -4,33:32,10,6,7,4,5,8,1,1,1,2,17
2021-03-19,PHO,MIN,0, +12,34:50,9,7,4,3,6,3,3,0,0,1,17
2021-03-21,PHO,LAL,0, +17,33:28,9,5,2,0,6,1,1,1,0,2,10
2021-03-23,PHO,MIA,1, +10,33:39,12,4,5,2,3,3,1,1,1,1,12
2021-03-24,PHO,ORL,1, -1,30:54,9,2,7,1,2,2,0,1,3,1,5
2021-03-26,PHO,TOR,1, +4,35:09,8,5,2,1,7,2,1,0,2,1,11
2021-03-28,PHO,CHO,1, +4,42:02,11,6,3,1,8,4,6,1,1,2,13
2021-03-30,PHO,ATL,0, +7,30:22,9,5,1,0,5,1,1,0,1,0,10
2021-03-31,PHO,CHI,0, +5,28:26,8,3,3,0,2,1,1,0,0,1,6
2021-04-02,PHO,OKC,0, +37,23:27,10,7,5,2,2,0,0,3,1,1,17
2021-04-05,PHO,HOU,1, +3,32:42,12,7,6,4,1,3,2,1,0,3,20
2021-04-07,PHO,UTA,0, +4,20:00,1,0,0,0,3,0,1,0,1,5,0
2021-04-08,PHO,LAC,1, -10,36:29,13,7,6,3,5,1,0,1,0,1,20
2021-04-10,PHO,WAS,0, +28,33:46,14,7,5,1,3,2,0,1,0,3,15
2021-04-12,PHO,HOU,0, +6,32:35,7,2,3,1,4,3,3,1,1,1,6
2021-04-13,PHO,MIA,0, +20,20:09,3,0,2,0,1,0,0,0,0,1,0
2021-04-15,PHO,SAC,0, +8,37:35,7,5,5,3,3,2,2,1,3,1,13
2021-04-17,PHO,SAS,0, -26,27:41,6,3,3,1,4,0,2,0,1,1,7
2021-04-19,PHO,MIL,1, +1,39:39,11,8,7,5,1,2,0,1,0,2,21
2021-04-21,PHO,PHI,1, +3,36:57,11,6,6,2,4,1,2,2,0,1,18
2021-04-22,PHO,BOS,1, -13,44:44,16,7,9,1,2,4,1,0,0,3,15
