Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,UTA,POR,1,20,29.58,15,6,7,4,2,3,0,3,2,0,0,2,3,18,14
2020-12-26,UTA,MIN,0,-5,33.55,13,6,7,2,6,8,0,6,4,1,0,4,5,20,9
2020-12-28,UTA,OKC,1,1,32.37,15,8,6,2,2,2,3,10,9,1,1,2,3,20,1
2020-12-31,UTA,PHO,0,-11,34.85,13,5,8,4,2,2,0,5,4,2,0,2,2,16,-13
2021-01-01,UTA,LAC,0,6,33.65,20,11,14,7,4,4,1,2,7,1,0,2,0,33,24
2021-01-03,UTA,SAS,1,21,26.88,11,6,6,3,0,0,0,0,4,1,0,4,2,15,22
2021-01-05,UTA,BRK,1,-34,26.87,10,3,5,2,0,2,2,3,5,1,0,2,1,8,-12
2021-01-06,UTA,NYK,1,-12,29.07,14,3,6,0,3,4,1,4,6,1,0,3,2,9,-12
2021-01-08,UTA,MIL,1,13,29.38,12,6,10,5,0,0,0,3,10,0,0,2,0,17,-1
2021-01-10,UTA,DET,1,10,30.22,13,8,4,2,4,4,2,5,6,2,0,1,2,22,2
2021-01-12,UTA,CLE,1,30,27.0,10,4,6,3,1,2,2,6,5,2,0,1,2,12,18
2021-01-15,UTA,ATL,0,24,27.27,10,5,4,2,3,4,2,4,8,4,0,2,2,15,30
2021-01-17,UTA,DEN,1,4,30.73,13,6,7,2,0,4,0,3,8,1,0,1,2,14,17
2021-01-19,UTA,NOP,0,16,28.22,7,2,5,1,1,1,1,2,10,2,0,2,1,6,26
2021-01-21,UTA,NOP,0,11,31.07,14,8,5,2,2,2,1,2,6,3,1,3,4,20,23
2021-01-23,UTA,GSW,0,19,26.95,11,6,9,5,0,0,1,1,1,3,0,2,3,17,40
2021-01-26,UTA,NYK,0,14,31.78,12,5,7,3,6,6,3,7,5,0,0,1,0,19,27
2021-01-27,UTA,DAL,0,12,29.63,15,6,8,3,2,2,1,3,6,2,0,2,2,17,14
2021-01-29,UTA,DAL,0,19,32.55,17,7,10,4,4,4,1,3,9,3,0,1,1,22,30
2021-01-31,UTA,DEN,1,-11,27.82,10,2,6,1,7,7,1,3,8,0,0,1,1,12,-18
2021-02-02,UTA,DET,0,12,32.17,15,7,6,2,4,4,1,4,5,1,0,2,0,20,-9
2021-02-04,UTA,ATL,1,21,22.35,10,5,3,1,0,0,0,1,4,0,0,2,4,11,14
2021-02-05,UTA,CHO,1,17,20.47,11,6,7,4,0,0,0,4,2,1,0,2,0,16,19
2021-02-19,UTA,LAC,1,-4,25.33,11,5,5,2,4,4,0,0,0,1,1,0,2,16,-7
2021-02-22,UTA,CHO,0,22,29.33,11,4,9,4,3,4,0,2,5,3,0,2,0,15,22
2021-02-24,UTA,LAL,0,25,26.9,10,5,6,4,0,0,3,8,8,2,0,3,3,14,14
2021-02-26,UTA,MIA,1,-8,33.0,15,6,7,2,0,0,1,2,7,2,0,2,3,14,-1
