Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,PHI,WAS,0,6,16.87,3,1,3,1,0,0,0,2,0,1,0,0,1,3,13
2020-12-26,PHI,NYK,1,20,16.77,5,1,5,1,0,0,0,2,0,0,0,0,0,3,-8
2020-12-27,PHI,CLE,1,-24,18.62,8,4,7,3,1,2,2,3,0,1,0,3,2,12,-8
2020-12-29,PHI,TOR,0,7,10.13,3,1,2,0,1,1,1,2,0,0,1,0,2,3,-14
2020-12-31,PHI,ORL,1,24,17.45,2,0,2,0,0,0,0,4,0,0,0,0,1,0,-3
2021-01-11,PHI,ATL,1,-18,22.18,7,1,5,0,0,0,0,4,0,0,1,0,2,2,-22
2021-01-12,PHI,MIA,0,3,46.22,16,6,12,4,0,0,1,3,1,0,0,0,1,16,3
2021-01-14,PHI,MIA,0,17,5.17,0,0,0,0,0,0,0,2,0,0,0,0,1,0,9
2021-02-13,PHI,PHO,1,-9,11.45,0,0,0,0,0,0,0,2,0,1,0,0,2,0,-6
2021-02-15,PHI,UTA,1,-11,16.68,3,2,2,2,0,0,0,1,0,0,0,2,3,6,1
2021-02-17,PHI,HOU,0,5,11.38,1,0,0,0,0,0,0,4,0,0,0,0,0,0,7
2021-02-19,PHI,CHI,0,7,8.62,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-20
2021-02-23,PHI,TOR,1,7,12.2,2,1,1,1,0,0,0,5,1,0,0,2,0,3,1
2021-02-25,PHI,DAL,0,14,21.62,5,2,5,2,0,0,0,3,0,0,0,0,0,6,16
2021-02-27,PHI,CLE,0,-3,19.05,2,2,1,1,0,2,0,4,1,1,0,1,1,5,-1
2021-03-01,PHI,IND,0,16,24.62,4,4,3,3,0,0,0,4,0,4,0,2,0,11,12
2021-03-03,PHI,UTA,0,8,15.82,2,1,2,1,0,0,0,1,2,0,0,0,0,3,-3
2021-03-11,PHI,CHI,1,22,22.85,4,2,3,1,0,0,0,2,1,0,0,1,1,5,10
2021-03-12,PHI,WAS,1,26,21.2,4,2,2,2,0,0,0,2,2,1,0,0,0,6,12
2021-03-14,PHI,SAS,0,35,13.13,6,2,3,0,0,0,0,3,0,0,0,0,1,4,2
2021-03-16,PHI,NYK,0,3,10.05,1,0,0,0,2,2,1,3,1,0,0,1,2,2,2
2021-03-17,PHI,MIL,0,-4,10.35,5,0,5,0,0,0,0,1,0,2,0,0,2,0,-4
2021-03-20,PHI,SAC,0,24,15.22,0,0,0,0,0,0,0,3,3,0,0,1,1,0,-9
2021-03-21,PHI,NYK,1,1,16.03,1,1,1,1,2,3,1,3,0,1,0,0,3,5,1
2021-03-23,PHI,GSW,1,10,11.83,3,0,3,0,0,0,0,0,1,0,0,1,3,0,-12
2021-03-25,PHI,LAL,1,8,28.08,8,2,8,2,0,0,0,5,2,2,2,1,4,6,8
2021-03-27,PHI,LAC,1,-10,29.05,6,1,6,1,0,0,0,1,3,1,0,0,2,3,-6
2021-03-30,PHI,DEN,1,-9,23.8,7,3,7,3,0,0,0,7,0,2,1,0,1,9,13
2021-04-01,PHI,CLE,1,20,19.93,5,1,2,0,0,0,1,4,1,0,0,0,0,2,0
2021-04-03,PHI,MIN,0,9,14.63,3,1,2,1,0,0,1,4,0,0,0,0,2,3,9
2021-04-04,PHI,MEM,0,-16,20.12,10,3,7,3,0,0,0,3,1,1,0,1,4,9,-10
2021-04-06,PHI,BOS,1,10,12.37,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-9
2021-04-09,PHI,NOP,1,-7,14.57,4,2,4,2,0,0,0,2,0,1,0,0,1,6,-8
2021-04-10,PHI,OKC,1,24,19.13,9,5,6,3,0,0,1,2,0,1,0,0,2,13,9
2021-04-12,PHI,DAL,1,18,18.13,6,2,3,0,0,0,0,1,1,0,0,0,0,4,-1
2021-04-14,PHI,BRK,0,6,14.7,2,1,2,1,0,0,0,2,1,0,1,1,3,3,7
2021-04-16,PHI,LAC,0,3,18.18,9,2,9,2,0,0,0,3,1,0,1,0,4,6,10
2021-04-19,PHI,GSW,0,-11,14.02,1,0,0,0,0,0,0,0,0,0,0,0,1,0,11
2021-04-21,PHI,PHO,0,-3,21.6,4,3,0,0,2,2,0,1,2,1,0,1,4,8,3
