Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NYK,IND,1, -14,21:10,2,1,0,0,6,0,0,3,0,3,3
2020-12-26,NYK,PHI,0, -20,24:59,8,5,0,0,9,0,1,2,0,3,11
2020-12-27,NYK,MIL,0, +20,34:40,6,4,0,0,6,1,2,1,1,2,9
2020-12-29,NYK,CLE,1, +9,31:34,9,4,0,0,10,0,1,2,1,4,9
2020-12-31,NYK,TOR,1, -17,25:13,4,2,0,0,7,0,2,0,1,4,4
2021-01-02,NYK,IND,1, +4,29:09,10,8,0,0,9,1,0,2,0,3,16
2021-01-04,NYK,ATL,1, +5,28:17,7,4,0,0,7,0,4,2,1,3,8
2021-01-06,NYK,UTA,0, +12,41:26,6,4,0,0,14,2,2,3,3,2,9
2021-01-08,NYK,OKC,0, -12,26:43,4,3,0,0,5,1,2,3,1,3,6
2021-01-10,NYK,DEN,0, -25,34:23,5,5,0,0,5,0,1,1,0,0,11
2021-01-11,NYK,CHO,1, -21,33:03,5,5,0,0,11,0,2,2,1,1,12
2021-01-13,NYK,BRK,0, -7,33:11,9,5,0,0,12,2,0,2,1,2,10
2021-01-15,NYK,CLE,1, -3,28:01,5,2,0,0,6,0,3,1,0,4,5
2021-01-17,NYK,BOS,1, +30,24:13,5,4,0,0,7,0,0,2,1,4,8
2021-01-18,NYK,ORL,0, +7,34:27,5,2,0,0,10,0,1,1,0,3,6
2021-01-21,NYK,GSW,1, +15,27:23,11,8,0,0,8,1,1,2,0,4,18
2021-01-22,NYK,SAC,1, -9,28:42,8,6,0,0,10,0,0,1,2,1,12
2021-01-24,NYK,POR,1, -3,25:38,7,4,0,0,9,0,0,0,0,3,8
2021-01-26,NYK,UTA,1, -14,30:41,4,3,0,0,8,1,0,2,0,2,7
2021-01-29,NYK,CLE,0, +21,22:16,3,2,0,0,4,1,1,3,2,5,6
2021-01-31,NYK,LAC,0, -14,29:39,6,4,0,0,6,0,0,1,0,2,9
2021-02-01,NYK,CHI,1, -8,20:22,6,4,0,0,8,0,0,1,0,3,9
2021-02-03,NYK,CHI,1, +4,28:08,5,3,0,0,11,0,2,0,1,3,8
2021-02-06,NYK,POR,0, +11,33:46,4,3,0,0,10,1,2,2,4,3,6
2021-02-07,NYK,MIA,0, -6,31:55,4,2,0,0,7,0,0,1,0,5,6
2021-02-09,NYK,MIA,1, -2,28:55,2,1,0,0,7,2,3,1,1,5,2
2021-02-12,NYK,WAS,1, +18,19:48,6,5,0,0,14,1,2,0,1,1,10
2021-03-21,NYK,PHI,0, -1,16:39,5,2,0,0,6,1,0,0,0,2,4
2021-03-23,NYK,WAS,0, +18,30:42,9,7,0,0,12,2,0,3,2,3,16
2021-03-25,NYK,WAS,0, +4,21:16,5,2,0,0,7,0,2,1,1,2,6
2021-03-27,NYK,MIL,1, +6,6:14,1,1,0,0,1,0,1,0,1,1,2
