Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2021-01-04,ORL,CLE,0,20,4.47,0,0,0,0,0,0,0,2,1,0,1,1,1,0,-1
2021-01-06,ORL,CLE,0,11,3.67,2,0,1,0,0,0,0,1,0,0,0,0,2,0,-6
2021-01-08,ORL,HOU,1,-42,13.47,9,5,4,2,0,0,2,7,0,0,0,0,3,12,-9
2021-01-11,ORL,MIL,0,-22,11.33,7,3,2,0,2,3,3,4,1,0,1,1,4,8,-5
2021-01-27,ORL,SAC,0,-14,1.78,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2021-01-29,ORL,LAC,0,-26,6.17,6,4,1,0,0,0,2,4,0,0,0,0,0,8,1
2021-01-31,ORL,TOR,1,-13,3.22,3,3,1,1,0,0,0,1,0,0,1,0,1,7,5
2021-02-02,ORL,TOR,0,-15,2.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
2021-02-06,ORL,CHI,0,-26,12.0,8,7,1,0,0,0,3,7,1,0,3,0,0,14,5
2021-02-11,ORL,GSW,1,-6,7.1,2,1,0,0,1,2,1,2,1,1,0,0,1,3,18
2021-02-12,ORL,SAC,1,11,13.85,6,2,2,1,0,0,2,3,0,1,0,1,0,5,2
2021-02-14,ORL,PHO,1,-19,23.25,7,1,3,0,0,0,2,11,0,0,2,0,2,2,-3
2021-02-17,ORL,NYK,0,18,10.37,4,2,0,0,0,0,1,5,0,0,2,0,0,4,16
2021-02-19,ORL,GSW,0,4,9.03,2,1,1,0,1,1,2,3,0,0,1,1,4,3,-21
2021-02-25,ORL,BRK,1,-37,13.2,3,1,0,0,0,0,0,4,0,1,1,0,2,2,-8
2021-02-27,ORL,UTA,0,-15,13.37,6,4,3,3,0,0,0,4,0,0,1,1,1,11,-5
2021-03-03,ORL,ATL,0,-3,11.65,2,1,0,0,0,0,1,5,0,0,0,1,0,2,1
2021-03-11,ORL,MIA,1,-8,13.87,6,3,4,1,1,2,1,5,0,0,1,0,3,8,0
2021-03-12,ORL,SAS,1,-27,18.95,5,1,3,0,2,4,2,7,1,0,3,0,3,4,-23
2021-03-14,ORL,MIA,0,-5,9.75,2,0,2,0,1,2,0,4,0,0,1,1,0,1,5
2021-03-18,ORL,NYK,1,-1,12.07,5,2,3,1,0,0,1,3,1,0,2,0,1,5,3
2021-03-19,ORL,BRK,0,8,9.23,3,1,1,0,0,0,0,2,0,0,0,1,3,2,1
2021-03-26,ORL,POR,0,-7,22.37,12,5,6,1,0,2,3,4,1,0,0,1,3,11,-15
2021-03-28,ORL,LAL,1,-3,16.92,9,4,3,1,2,2,1,7,3,0,3,0,1,11,-2
2021-03-30,ORL,LAC,1,7,17.93,10,4,2,2,2,2,3,8,0,0,1,0,2,12,7
2021-04-01,ORL,NOP,1,5,16.97,9,5,2,0,1,2,3,5,1,1,1,2,4,11,-4
2021-04-03,ORL,UTA,1,-46,11.02,5,1,2,0,0,0,0,2,1,1,0,1,2,2,-24
2021-04-04,ORL,DEN,1,-10,13.22,5,4,2,2,1,2,2,4,0,0,0,1,6,11,2
2021-04-07,ORL,WAS,0,-15,24.78,12,7,4,3,2,2,4,8,1,1,2,2,0,19,2
2021-04-09,ORL,IND,0,-5,22.2,10,4,5,2,4,6,1,6,2,0,3,2,2,14,-4
2021-04-11,ORL,MIL,0,-37,20.83,11,8,6,5,0,1,1,5,0,0,1,2,2,21,-25
2021-04-12,ORL,SAS,0,-23,3.22,2,0,1,0,0,0,1,1,0,0,0,0,0,0,-12
2021-04-18,ORL,HOU,0,-4,16.42,9,5,3,1,0,0,2,9,2,0,1,1,2,11,10
2021-04-20,ORL,ATL,1,-16,19.4,5,1,4,0,0,0,1,8,1,0,1,1,2,2,-20
2021-04-22,ORL,NOP,0,-35,27.82,15,6,7,2,3,3,5,12,0,0,2,1,4,17,-17
2021-04-25,ORL,IND,0,-19,24.88,9,6,4,2,3,4,2,7,2,2,1,0,2,17,-12
2021-04-26,ORL,LAL,0,-11,19.05,3,2,1,1,1,1,1,7,1,0,2,1,3,6,10
2021-04-28,ORL,CLE,1,5,24.27,9,4,5,1,0,0,3,7,2,1,2,2,2,9,-1
2021-04-30,ORL,MEM,1,-17,23.23,9,6,3,2,1,2,2,11,1,0,4,3,2,15,-2
2021-05-01,ORL,MEM,0,1,21.05,6,2,1,0,0,0,0,4,1,1,2,0,3,4,7
2021-05-03,ORL,DET,1,7,28.62,15,9,4,0,4,5,5,15,2,0,1,2,2,22,-8
2021-05-05,ORL,BOS,0,-36,30.75,11,5,7,1,8,10,4,15,1,3,4,3,1,19,-26
2021-05-07,ORL,CHO,1,-10,33.5,11,4,1,0,1,2,7,18,1,1,4,0,3,9,-7
2021-05-09,ORL,MIN,0,-32,19.73,6,1,3,0,1,2,0,5,2,0,2,0,3,3,-19
2021-05-14,ORL,PHI,1,-25,19.12,10,4,5,1,2,2,0,5,0,0,1,1,2,11,-6
2021-05-16,ORL,PHI,1,-11,22.92,10,3,5,2,1,2,2,6,4,0,0,1,3,9,-16
