Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,LAL,LAC,0,-7,32.25,7,6,0,0,5,7,4,10,3,0,1,1,1,17,-3
2020-12-25,LAL,DAL,0,23,28.43,13,10,1,0,2,5,5,7,2,1,0,2,4,22,15
2020-12-27,LAL,MIN,0,36,19.68,10,6,1,0,0,0,0,1,2,1,1,1,2,12,12
2020-12-28,LAL,POR,0,-8,27.27,5,3,0,0,3,3,2,6,1,0,0,1,1,9,-20
2020-12-30,LAL,SAS,1,14,23.4,5,2,0,0,6,8,3,9,1,0,0,2,3,10,6
2021-01-01,LAL,SAS,1,6,23.43,6,2,0,0,0,0,2,11,1,1,0,2,1,4,0
2021-01-03,LAL,MEM,1,14,20.83,11,7,0,0,2,2,4,9,0,2,0,1,2,16,12
2021-01-05,LAL,MEM,1,2,20.15,9,4,1,0,1,1,3,7,1,1,0,1,2,9,-13
2021-01-07,LAL,SAS,0,-9,18.23,7,5,0,0,0,1,2,6,0,0,0,0,1,10,-1
2021-01-08,LAL,CHI,0,2,29.3,13,7,0,0,3,3,7,14,0,0,1,2,2,17,-11
2021-01-10,LAL,HOU,1,18,23.25,11,7,0,0,2,2,2,8,0,1,1,2,3,16,15
2021-01-12,LAL,HOU,1,17,26.67,8,4,0,0,6,8,2,4,1,0,2,0,2,14,0
2021-01-13,LAL,OKC,1,29,24.92,12,8,1,0,5,8,2,6,0,0,1,1,2,21,13
2021-01-15,LAL,NOP,0,17,20.87,10,8,0,0,0,1,3,5,1,1,0,0,1,16,17
2021-01-18,LAL,GSW,0,-2,28.15,8,7,0,0,3,5,2,8,1,0,2,0,2,17,2
2021-01-21,LAL,MIL,1,7,26.05,7,4,0,0,4,4,2,5,2,1,0,0,2,12,-3
2021-01-23,LAL,CHI,1,11,29.02,6,3,0,0,4,4,1,5,2,0,0,3,5,10,0
2021-01-25,LAL,CLE,1,7,25.52,9,6,0,0,3,4,3,6,1,0,1,0,3,15,18
2021-01-27,LAL,PHI,1,-1,14.75,1,0,0,0,0,0,0,1,0,3,0,0,4,0,-6
2021-01-28,LAL,DET,1,-15,23.0,10,4,0,0,0,1,1,3,1,1,1,3,2,8,-9
2021-01-30,LAL,BOS,1,1,29.87,10,8,0,0,0,0,3,5,1,2,3,2,0,16,0
2021-02-01,LAL,ATL,1,8,28.55,9,8,0,0,3,4,2,3,0,2,1,0,0,19,-3
2021-02-04,LAL,DEN,0,21,24.3,8,6,0,0,1,3,0,4,1,0,0,1,4,13,12
2021-02-06,LAL,DET,0,6,24.27,3,2,0,0,3,3,1,9,1,2,1,2,3,7,-1
2021-02-08,LAL,OKC,0,7,30.07,14,9,0,0,3,3,1,8,2,0,1,3,2,21,15
2021-02-10,LAL,OKC,0,1,32.65,10,8,0,0,4,5,2,4,3,0,2,3,4,20,1
2021-02-12,LAL,MEM,0,10,16.13,8,4,0,0,6,10,4,7,0,0,1,0,0,14,15
2021-02-14,LAL,DEN,1,-17,24.25,3,2,0,0,0,1,0,6,1,0,0,1,3,4,-1
2021-02-16,LAL,MIN,1,8,18.28,7,5,0,0,7,7,3,6,3,1,1,3,2,17,13
2021-02-18,LAL,BRK,0,-11,15.28,8,5,0,0,0,0,1,4,0,0,0,0,2,10,-19
2021-02-20,LAL,MIA,0,-2,23.52,12,7,1,0,4,4,1,10,1,2,0,1,1,18,-7
2021-02-22,LAL,WAS,0,-3,23.22,17,10,0,0,6,7,4,9,2,0,2,1,5,26,-5
2021-02-24,LAL,UTA,1,-25,22.4,12,7,0,0,2,3,2,6,0,0,1,0,0,16,-15
2021-02-26,LAL,POR,0,9,30.0,12,7,0,0,3,4,5,9,2,0,1,0,1,17,22
2021-02-28,LAL,GSW,0,26,11.35,7,3,0,0,0,0,1,3,0,2,0,0,1,6,18
2021-03-02,LAL,PHO,0,-10,18.5,4,2,0,0,2,2,2,2,1,0,1,0,2,6,-15
2021-03-03,LAL,SAC,1,-3,32.78,22,13,1,0,0,0,7,12,1,0,1,2,2,26,-2
2021-03-12,LAL,IND,0,5,32.15,11,8,1,0,1,2,1,6,1,1,3,0,3,17,2
2021-03-15,LAL,GSW,1,31,25.07,14,11,1,0,5,6,0,5,1,3,0,2,4,27,16
2021-03-16,LAL,MIN,0,16,29.28,16,11,0,0,3,4,4,4,6,1,1,0,1,25,17
2021-03-18,LAL,CHO,0,11,21.72,6,2,1,0,3,6,5,11,0,0,0,1,1,7,16
2021-03-20,LAL,ATL,0,-5,32.57,13,10,0,0,3,4,5,11,1,0,1,2,3,23,14
2021-03-21,LAL,PHO,1,-17,34.37,13,10,0,0,3,8,1,10,0,0,1,0,0,23,-7
2021-03-23,LAL,NOP,1,-17,33.97,10,5,0,0,8,12,1,6,0,0,2,2,1,18,-18
2021-03-25,LAL,PHI,0,-8,32.72,13,8,0,0,4,8,3,8,1,1,0,3,2,20,2
2021-03-26,LAL,CLE,0,14,29.72,15,10,0,0,4,8,7,10,2,2,0,2,4,24,2
2021-03-28,LAL,ORL,0,3,27.52,13,8,0,0,2,4,4,11,0,2,2,0,0,18,14
2021-03-31,LAL,MIL,0,-15,25.75,11,6,1,0,7,7,3,5,1,1,0,3,3,19,-9
2021-04-02,LAL,SAC,1,21,16.7,7,2,0,0,1,2,5,10,0,0,0,0,1,5,3
2021-04-04,LAL,LAC,1,-18,26.95,12,7,0,0,5,6,1,6,2,0,2,1,0,19,-4
2021-04-06,LAL,TOR,1,9,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-08,LAL,MIA,1,-6,21.15,4,3,0,0,4,6,3,9,1,2,0,3,3,10,-5
2021-04-10,LAL,BRK,1,25,23.03,10,4,0,0,2,4,2,8,2,1,2,1,2,10,5
2021-04-12,LAL,NYK,1,-15,15.15,4,0,0,0,0,0,0,2,1,0,1,1,2,0,-12
2021-04-13,LAL,CHO,1,8,23.67,3,2,0,0,2,2,0,5,1,0,0,1,0,6,13
2021-04-15,LAL,BOS,0,-8,20.08,11,5,0,0,2,2,3,8,3,1,1,0,0,12,-14
2021-04-17,LAL,UTA,0,12,20.65,7,5,0,0,2,2,2,7,2,0,0,2,0,12,-7
2021-04-19,LAL,UTA,0,-14,12.93,4,1,0,0,0,0,0,2,1,0,0,0,0,2,-3
2021-04-22,LAL,DAL,1,-5,17.33,8,7,0,0,0,0,2,6,0,1,0,1,5,14,-19
2021-04-26,LAL,ORL,1,11,22.85,10,7,0,0,4,4,4,5,0,3,0,1,4,18,5
2021-04-28,LAL,WAS,1,-9,17.32,5,5,0,0,2,4,1,3,2,1,1,1,3,12,-8
2021-04-30,LAL,SAC,0,-4,14.0,4,3,0,0,3,6,2,3,0,1,1,1,0,9,-11
2021-05-02,LAL,TOR,0,-7,17.12,3,3,0,0,3,4,0,3,1,0,2,1,3,9,5
2021-05-03,LAL,DEN,0,4,9.5,4,2,0,0,1,1,2,5,0,0,2,1,1,5,-2
2021-05-06,LAL,LAC,1,-24,19.63,9,4,0,0,6,10,3,6,4,0,0,0,1,14,-6
2021-05-09,LAL,PHO,0,13,14.62,6,4,0,0,4,6,2,3,0,0,0,0,0,12,-9
2021-05-11,LAL,NYK,0,2,4.73,3,2,0,0,1,1,0,1,0,0,0,0,0,5,1
2021-05-12,LAL,HOU,0,2,26.15,14,8,0,0,0,0,1,2,1,1,0,1,1,16,-8
2021-05-15,LAL,IND,1,7,18.9,6,3,0,0,3,4,2,9,0,0,0,2,3,9,-3
