Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-31,OKC,NOP,0,-33,3.13,1,0,0,0,0,2,0,2,0,0,1,0,0,0,-6
2021-01-04,OKC,MIA,1,-28,5.8,1,1,0,0,3,8,1,3,0,1,0,0,0,5,1
2021-01-10,OKC,BRK,1,13,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2021-01-13,OKC,LAL,0,-29,5.98,3,2,0,0,2,2,1,3,1,0,1,0,2,6,-7
2021-01-19,OKC,DEN,1,-18,5.67,2,2,0,0,2,2,0,2,0,0,0,0,1,6,0
2021-01-29,OKC,BRK,0,-22,4.73,2,2,0,0,0,0,1,1,2,0,0,0,0,4,1
2021-02-01,OKC,HOU,0,-30,5.05,1,0,0,0,0,0,1,4,0,0,2,1,1,0,-2
2021-03-11,OKC,DAL,0,8,19.25,8,3,0,0,2,2,5,12,0,0,1,1,2,8,1
2021-03-13,OKC,NYK,0,-22,26.65,5,4,0,0,1,2,2,9,0,1,1,1,4,9,-18
2021-03-14,OKC,MEM,0,6,24.18,6,5,0,0,3,3,2,4,1,1,1,1,6,13,2
2021-03-16,OKC,CHI,1,-21,29.8,16,9,0,0,2,3,8,16,0,0,5,1,6,20,-18
2021-03-18,OKC,ATL,1,-23,23.47,6,2,0,0,1,2,2,3,0,1,1,0,1,5,-2
2021-03-21,OKC,HOU,1,2,28.05,8,5,0,0,3,6,8,14,0,1,0,2,3,13,2
2021-03-22,OKC,MIN,1,9,33.87,6,2,0,0,0,0,5,18,0,1,3,2,3,4,10
2021-03-24,OKC,MEM,0,-9,30.97,9,7,0,0,5,9,2,12,0,2,2,1,1,19,7
2021-03-27,OKC,BOS,0,-17,32.73,10,8,0,0,5,8,6,23,0,0,0,2,0,21,-5
2021-03-29,OKC,DAL,0,-21,29.63,5,1,0,0,4,10,3,9,0,2,2,1,0,6,-24
2021-03-31,OKC,TOR,0,10,30.08,10,6,0,0,8,9,7,12,0,0,1,0,1,20,-2
2021-04-02,OKC,PHO,1,-37,23.77,4,0,0,0,1,2,3,7,0,1,1,1,1,1,-19
2021-04-03,OKC,POR,1,-48,23.07,7,4,0,0,2,4,6,14,0,0,0,1,5,10,-39
2021-04-05,OKC,DET,0,-24,25.98,7,4,0,0,3,4,2,5,0,0,2,1,3,11,-27
2021-04-07,OKC,CHO,0,-11,27.05,8,2,0,0,1,3,7,10,0,0,1,2,2,5,-7
2021-04-08,OKC,CLE,0,-27,31.15,10,6,0,0,1,1,2,11,0,1,1,1,2,13,-9
2021-04-10,OKC,PHI,0,-24,19.08,5,3,0,0,0,0,2,6,0,0,0,1,2,6,-15
2021-04-13,OKC,UTA,1,-10,26.15,8,4,0,0,4,4,5,15,0,2,1,2,4,12,10
2021-04-14,OKC,GSW,0,-38,28.03,13,8,0,0,2,3,7,12,0,2,2,4,3,18,-15
2021-04-16,OKC,DET,1,-6,24.25,9,5,0,0,2,3,4,8,0,0,2,1,2,12,-19
2021-04-18,OKC,TOR,1,-6,20.25,3,0,0,0,0,0,1,4,0,0,0,1,3,0,-19
2021-04-19,OKC,WAS,1,-12,16.38,3,0,0,0,0,0,2,6,0,1,1,1,4,0,-14
2021-04-21,OKC,IND,1,-6,16.5,8,5,0,0,2,2,6,11,1,2,0,1,0,12,-1
2021-04-23,OKC,WAS,0,-20,6.83,2,1,0,0,0,0,1,1,0,1,1,0,4,2,-8
2021-04-26,OKC,PHI,1,-31,27.32,8,5,0,0,1,2,3,8,1,1,0,3,2,11,-13
2021-04-27,OKC,BOS,1,4,12.07,4,3,0,0,2,2,3,7,0,0,0,1,1,8,1
2021-04-29,OKC,NOP,0,-14,32.25,5,2,0,0,1,2,4,18,1,2,0,3,4,5,-7
2021-05-01,OKC,IND,0,-57,17.92,9,7,0,0,2,3,5,7,0,0,0,1,3,16,-24
2021-05-02,OKC,PHO,0,-3,14.38,3,2,0,0,0,2,3,6,0,1,1,0,1,4,6
2021-05-04,OKC,SAC,0,-4,29.53,8,3,0,0,0,0,7,17,0,2,0,0,1,6,-4
2021-05-06,OKC,GSW,1,-21,27.55,3,1,0,0,0,0,2,8,0,1,1,1,4,2,-18
2021-05-08,OKC,GSW,1,-39,19.72,8,2,0,0,2,4,5,8,0,0,1,1,2,6,-21
2021-05-09,OKC,SAC,1,-28,25.95,4,3,0,0,6,7,3,8,0,2,3,0,4,12,-27
2021-05-11,OKC,SAC,1,-16,27.43,7,3,0,0,4,8,6,13,0,1,1,3,0,10,-1
2021-05-14,OKC,UTA,0,-16,19.75,4,2,0,0,1,2,3,8,0,1,0,0,5,5,-15
2021-05-16,OKC,LAC,0,5,37.85,19,12,0,0,0,0,8,18,3,0,7,0,0,24,0
