Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-07,POR,MIN,0, +18,7:47,1,1,0,0,1,0,0,1,1,1,2
2021-01-09,POR,SAC,1, +26,5:33,2,1,1,1,2,0,0,0,0,1,3
2021-01-14,POR,IND,0, -24,4:10,0,0,0,0,0,0,0,0,1,0,0
2021-01-18,POR,SAS,0, -21,8:55,2,0,1,0,4,0,0,0,0,1,1
2021-01-24,POR,NYK,0, +3,5:55,0,0,0,0,1,1,0,0,0,0,0
2021-01-25,POR,OKC,0, -3,21:33,5,1,2,0,4,0,0,1,1,2,4
2021-01-28,POR,HOU,1, -3,4:01,0,0,0,0,0,0,0,0,1,1,0
2021-01-30,POR,CHI,1, +1,13:37,1,1,1,1,3,0,1,0,0,0,5
2021-02-01,POR,MIL,1, -28,29:39,18,11,7,5,6,1,1,2,1,2,30
2021-02-12,POR,CLE,0, +19,13:47,3,1,1,0,1,0,0,0,0,1,2
2021-02-14,POR,DAL,1, +3,5:00,2,1,1,1,1,0,0,0,1,0,3
2021-02-16,POR,OKC,1, +11,16:34,5,5,3,3,3,1,0,0,1,2,13
2021-02-17,POR,NOP,1, +2,4:31,1,0,1,0,0,0,0,0,0,0,0
2021-02-20,POR,WAS,0, -7,4:58,2,1,1,0,0,0,0,0,0,0,2
2021-02-22,POR,PHO,1, -32,16:03,7,4,6,3,5,0,1,1,2,2,18
2021-02-23,POR,DEN,1, -5,14:26,1,0,1,0,4,1,0,0,0,1,0
2021-02-26,POR,LAL,1, -9,11:42,1,0,1,0,3,0,0,0,0,2,0
2021-03-01,POR,CHO,0, +12,19:51,7,4,4,2,2,2,0,0,1,3,11
2021-03-03,POR,GSW,0, +2,12:55,4,0,2,0,2,1,0,0,0,1,2
2021-03-04,POR,SAC,0, +4,17:36,8,2,4,1,3,0,0,0,0,1,9
2021-03-11,POR,PHO,0, -6,20:50,4,3,1,1,4,1,0,0,0,0,7
2021-03-13,POR,MIN,1, +4,22:08,7,3,4,0,4,0,0,1,0,3,6
2021-03-14,POR,MIN,1, -2,19:22,5,2,3,0,4,1,0,0,1,2,4
2021-03-16,POR,NOP,0, +1,17:45,1,0,1,0,4,1,0,2,0,1,2
2021-03-18,POR,NOP,0, +8,15:35,2,0,2,0,6,1,1,1,0,2,2
2021-03-19,POR,DAL,0, +6,10:42,1,1,1,1,0,0,0,0,0,0,3
2021-03-21,POR,DAL,0, -40,21:28,9,4,5,2,2,1,0,0,0,3,14
2021-03-25,POR,MIA,1, +3,20:06,4,2,2,1,3,1,0,2,1,0,5
2021-03-26,POR,ORL,1, +7,17:54,4,0,2,0,2,0,0,0,0,0,0
2021-04-03,POR,OKC,0, +48,23:55,7,5,4,2,8,2,0,0,1,1,13
2021-04-06,POR,LAC,1, -17,12:06,5,2,3,1,6,0,0,1,0,2,5
2021-04-08,POR,UTA,1, -19,10:10,7,4,2,0,3,0,0,0,0,1,8
2021-04-10,POR,DET,0, +15,23:55,5,5,1,1,0,0,0,0,1,4,11
2021-04-11,POR,MIA,0, -9,12:28,1,0,0,0,1,2,0,0,0,1,2
2021-04-13,POR,BOS,0, -1,6:50,0,0,0,0,1,0,0,0,0,1,0
2021-04-16,POR,SAS,1, +1,10:45,1,0,1,0,2,0,1,0,0,1,0
2021-04-18,POR,CHO,1, -8,16:26,3,1,1,0,6,0,0,0,0,1,2
2021-04-20,POR,LAC,0, -1,24:14,7,3,3,1,10,3,0,1,0,0,7
2021-04-21,POR,DEN,0, -1,12:41,2,0,1,0,3,0,0,0,0,2,0
2021-04-25,POR,MEM,0, -7,8:10,1,0,0,0,2,0,0,0,0,3,0
2021-04-27,POR,IND,1, +21,16:53,5,0,2,0,2,1,0,0,1,1,1
2021-04-28,POR,MEM,1, +21,5:30,3,1,2,0,0,0,0,0,1,0,3
2021-04-30,POR,BRK,1, +19,8:14,1,0,0,0,1,1,0,0,0,0,0
2021-05-03,POR,ATL,1, -9,5:13,3,1,0,0,2,0,0,0,0,0,2
2021-05-05,POR,CLE,1, +36,14:06,3,3,1,1,2,0,0,0,0,0,8
2021-05-08,POR,SAS,0, +22,13:34,4,3,1,0,3,0,0,0,1,0,6
2021-05-10,POR,HOU,0, +11,4:32,0,0,0,0,1,0,0,0,1,0,0
2021-05-16,POR,DEN,0, +16,6:16,2,2,0,0,1,1,0,0,0,1,4
