Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIN,DET,0, +10,17:34,5,2,1,0,5,1,0,3,0,0,8
2020-12-26,MIN,UTA,1, +5,17:36,8,3,4,2,2,2,1,0,1,1,8
2020-12-27,MIN,LAL,1, -36,27:48,13,5,4,1,5,4,2,0,1,5,11
2020-12-29,MIN,LAC,1, -23,19:54,6,4,1,1,3,1,0,0,0,3,11
2021-01-01,MIN,WAS,0, -21,24:18,10,7,3,1,6,1,1,2,2,4,17
2021-01-03,MIN,DEN,0, -15,23:02,9,6,2,0,4,1,0,1,2,5,13
2021-01-05,MIN,DEN,1, -7,10:12,2,1,0,0,0,0,0,0,2,5,2
2021-01-07,MIN,POR,1, -18,16:01,7,4,3,1,5,1,0,1,0,4,13
2021-01-09,MIN,SAS,0, -3,16:00,8,6,4,3,7,1,0,3,2,1,16
2021-01-10,MIN,SAS,0, +8,29:24,7,3,4,1,7,1,0,1,3,3,11
2021-01-13,MIN,MEM,0, -11,13:35,6,3,3,1,3,0,0,0,2,2,9
2021-01-18,MIN,ATL,1, -11,27:50,9,4,2,1,2,1,2,1,2,2,9
2021-01-20,MIN,ORL,0, -1,29:10,8,5,4,2,3,1,0,3,1,1,14
2021-01-22,MIN,ATL,0, -18,25:06,7,6,2,1,8,2,1,4,0,3,13
2021-01-23,MIN,NOP,0, +10,27:23,10,5,4,2,4,2,0,1,1,4,20
2021-01-25,MIN,GSW,1, -22,24:02,16,5,6,1,10,1,0,2,2,6,11
2021-01-27,MIN,GSW,1, -12,27:24,10,6,2,1,7,1,3,5,3,3,19
2021-02-01,MIN,CLE,1, -2,13:14,11,5,3,2,3,0,0,0,0,5,12
2021-02-03,MIN,SAS,1, -3,32:06,7,3,3,2,11,3,2,0,1,4,8
2021-02-05,MIN,OKC,1, +3,27:43,12,8,1,0,9,1,0,1,0,4,17
2021-02-06,MIN,OKC,1, -2,27:04,21,12,4,1,6,0,2,0,3,3,29
2021-02-08,MIN,DAL,1, -5,20:59,12,3,4,0,2,2,1,0,1,5,6
2021-02-10,MIN,LAC,0, -7,19:51,13,9,3,2,3,0,1,2,0,2,23
