Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,SAC,DEN,1, +2,15:56,8,3,1,0,4,2,0,0,1,3,10
2020-12-26,SAC,PHO,0, +3,15:39,6,5,0,0,1,2,0,1,0,3,12
2020-12-27,SAC,PHO,0, -16,11:07,3,1,1,1,3,2,0,0,0,0,3
2020-12-29,SAC,DEN,0, +10,20:57,8,4,4,2,5,1,0,0,1,3,12
2020-12-31,SAC,HOU,1, -3,15:47,4,3,1,1,5,2,0,0,3,2,8
2021-01-02,SAC,HOU,1, -8,14:57,2,0,2,0,7,1,0,1,3,2,1
2021-01-04,SAC,GSW,1, -31,15:55,4,0,3,0,3,2,0,0,1,0,2
2021-01-06,SAC,CHI,0, +4,19:15,7,3,4,1,4,5,0,0,0,2,12
2021-01-08,SAC,TOR,0, -21,9:49,4,1,2,0,1,1,0,0,1,0,2
2021-01-09,SAC,POR,0, -26,11:45,5,1,3,0,3,1,0,0,2,5,4
2021-02-12,SAC,ORL,0, -11,28:00,8,5,3,1,9,6,0,0,1,1,15
2021-02-14,SAC,MEM,0, -14,26:43,8,4,2,1,4,3,0,0,3,3,9
2021-02-15,SAC,BRK,0, -11,4:52,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,SAC,MIA,0, -8,34:52,21,11,9,2,8,3,2,0,2,3,25
2021-02-20,SAC,CHI,1, -8,11:52,7,3,3,1,3,1,0,0,0,0,9
2021-02-26,SAC,DET,1, +3,12:06,4,3,1,1,4,3,1,0,0,0,8
2021-02-28,SAC,CHO,0, -1,21:31,6,5,1,1,2,1,1,0,1,2,11
2021-03-03,SAC,LAL,0, +3,24:03,3,1,2,1,5,6,1,0,3,5,6
2021-03-04,SAC,POR,1, -4,26:49,12,5,3,2,9,0,1,0,2,2,12
2021-03-11,SAC,HOU,0, +20,12:33,3,1,1,0,2,1,0,0,0,3,4
2021-03-13,SAC,ATL,1, -15,18:00,5,2,0,0,3,2,1,0,0,2,4
2021-03-15,SAC,CHO,1, -6,16:54,8,4,4,1,4,1,0,0,1,2,9
2021-03-17,SAC,WAS,1, +2,14:33,5,0,4,0,6,2,0,0,0,2,0
2021-03-19,SAC,BOS,1, +11,14:16,1,0,1,0,2,1,0,0,2,2,0
2021-03-20,SAC,PHI,1, -24,11:38,5,3,1,0,2,0,1,0,0,1,6
2021-03-22,SAC,CLE,1, +14,9:06,3,1,2,1,1,0,0,0,1,0,3
2021-03-29,MIA,NYK,1, +10,5:02,0,0,0,0,1,0,0,0,1,2,0
2021-03-31,MIA,IND,1, +5,5:32,0,0,0,0,1,0,0,0,0,1,0
2021-04-01,MIA,GSW,0, +7,17:05,6,3,5,2,2,0,1,0,1,3,8
2021-04-03,MIA,CLE,0, +14,24:11,10,4,5,1,7,5,0,0,1,3,10
2021-04-06,MIA,MEM,0, -12,13:30,5,2,3,0,2,1,1,0,0,3,4
2021-04-08,MIA,LAL,0, +6,9:36,1,0,1,0,2,2,0,2,0,2,0
2021-04-13,MIA,PHO,1, -20,5:57,2,0,2,0,0,1,0,0,0,0,0
2021-04-16,MIA,MIN,1, -8,5:46,0,0,0,0,1,0,0,0,0,1,0
2021-04-26,MIA,CHI,0, -8,11:04,1,0,0,0,1,1,1,0,0,1,1
2021-05-15,MIA,MIL,1, -14,20:31,8,3,5,3,4,4,2,0,0,1,11
2021-05-16,MIA,DET,1, +13,37:56,13,8,6,4,6,6,2,1,2,3,21
