Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,LAC,LAL,1,7,28.18,4,1,3,1,6,6,2,0,1,2,3
2020-12-25,LAC,DEN,1,13,36.32,8,5,5,2,10,4,1,1,2,5,13
2020-12-27,LAC,DAL,0,-51,21.5,4,2,1,0,6,1,0,0,1,2,4
2020-12-29,LAC,MIN,0,23,23.72,6,2,4,1,5,3,1,0,1,3,7
2020-12-30,LAC,POR,0,23,26.43,6,4,2,2,5,3,1,0,0,1,11
2021-01-01,LAC,UTA,1,-6,34.85,4,1,2,1,7,0,0,0,0,5,9
2021-01-03,LAC,PHO,1,5,30.68,9,5,7,4,1,3,1,0,0,1,14
2021-01-05,LAC,SAS,0,-3,35.82,12,8,5,2,9,3,1,1,2,2,21
2021-01-06,LAC,GSW,1,7,26.3,9,4,6,3,5,0,1,0,1,2,13
2021-01-08,LAC,GSW,1,-10,30.28,10,4,8,2,6,6,2,0,0,1,10
2021-01-10,LAC,CHI,0,3,27.53,3,2,3,2,2,3,4,1,0,2,8
2021-01-13,LAC,NOP,0,5,27.5,7,3,7,3,2,4,0,0,0,5,9
2021-01-15,LAC,SAC,1,38,21.15,5,2,3,1,6,2,3,0,0,1,6
2021-01-17,LAC,IND,0,33,24.93,8,3,5,2,5,0,0,0,0,0,10
2021-01-20,LAC,SAC,0,19,26.25,7,4,5,3,3,0,3,1,1,0,11
2021-01-22,LAC,OKC,0,14,33.18,6,5,4,4,1,2,1,2,2,2,14
2021-01-24,LAC,OKC,0,8,35.8,7,3,5,1,3,2,1,0,0,1,7
2021-01-26,LAC,ATL,1,-9,32.78,7,2,5,1,4,5,0,0,3,1,5
2021-01-28,LAC,MIA,1,4,31.12,12,6,9,6,6,2,2,0,0,2,18
2021-01-29,LAC,ORL,1,26,27.57,4,1,4,1,4,3,0,0,0,0,3
2021-02-02,LAC,BRK,1,-4,37.9,10,7,8,5,6,0,1,0,0,1,21
2021-02-03,LAC,CLE,1,22,23.75,5,3,3,1,1,2,0,0,1,1,7
2021-02-05,LAC,BOS,0,-4,39.3,11,6,7,4,7,1,2,0,2,3,16
2021-02-07,LAC,SAC,0,-3,27.33,6,2,4,1,4,3,3,1,1,2,5
2021-02-10,LAC,MIN,1,7,35.37,6,2,4,2,10,2,2,1,0,1,8
2021-02-12,LAC,CHI,1,19,30.9,4,2,3,1,6,1,3,1,1,0,7
2021-02-14,LAC,CLE,0,17,29.8,3,1,3,1,2,2,2,1,0,0,3
2021-02-19,LAC,UTA,0,4,30.9,2,0,2,0,3,0,1,1,0,1,0
2021-02-21,LAC,BRK,0,-4,29.85,6,1,3,1,6,2,0,1,1,0,3
2021-02-23,LAC,WAS,0,19,24.35,4,2,1,0,3,4,1,0,1,1,4
2021-02-25,LAC,MEM,1,-28,23.53,4,1,3,1,2,2,0,1,0,1,4
2021-02-26,LAC,MEM,1,20,25.02,8,5,5,3,6,3,1,0,2,3,13
2021-02-28,LAC,MIL,1,-5,30.45,6,3,4,2,6,2,0,0,0,2,8
2021-03-02,LAC,BOS,1,-5,30.47,6,4,4,2,5,3,0,0,0,0,10
2021-03-04,LAC,WAS,1,-2,30.4,10,2,8,2,4,5,2,0,3,5,9
2021-03-11,LAC,GSW,0,26,15.8,5,3,3,2,2,1,0,0,1,4,8
2021-03-14,LAC,NOP,1,-20,19.77,8,3,4,0,4,1,2,0,1,0,6
2021-03-15,LAC,DAL,1,10,25.92,6,4,6,4,7,1,0,0,0,1,12
2021-03-17,LAC,DAL,1,-16,29.0,3,1,2,1,2,2,2,0,1,2,3
2021-03-20,LAC,CHO,0,27,27.73,5,3,2,0,5,2,2,0,1,1,11
2021-03-22,LAC,ATL,0,9,23.03,4,0,3,0,4,3,0,0,0,1,0
2021-03-24,LAC,SAS,1,33,26.2,5,3,4,3,4,4,0,2,1,3,13
2021-03-25,LAC,SAS,1,13,30.47,8,2,7,2,8,1,2,0,0,0,6
2021-03-27,LAC,PHI,0,10,34.58,6,3,3,1,6,5,0,0,2,3,7
2021-03-29,LAC,MIL,0,24,26.7,7,3,5,2,7,1,1,1,1,1,8
2021-03-30,LAC,ORL,0,-7,33.88,4,1,3,0,10,5,0,1,4,0,2
2021-04-01,LAC,DEN,0,-7,29.97,7,2,4,2,5,3,3,0,0,2,6
2021-04-04,LAC,LAL,0,18,17.87,2,1,2,1,5,4,1,1,0,1,4
2021-04-06,LAC,POR,0,17,20.57,5,2,4,1,6,2,1,0,0,2,5
2021-04-08,LAC,PHO,0,10,27.0,8,4,3,0,4,1,0,0,0,2,8
