Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-02-23,BRK,SAC,0, +9,13:46,2,1,0,0,1,1,0,1,1,0,5
2021-02-25,BRK,ORL,0, +37,15:09,7,4,0,0,3,1,4,2,0,1,10
2021-02-27,BRK,DAL,0, -17,12:57,3,1,0,0,2,1,0,1,1,2,2
2021-03-01,BRK,SAS,1, +11,17:18,9,7,1,0,3,1,1,3,0,2,17
2021-03-03,BRK,HOU,1, +18,16:25,8,7,0,0,8,1,0,0,0,3,16
2021-03-11,BRK,BOS,0, +12,17:40,3,2,0,0,4,0,0,1,0,3,4
2021-03-13,BRK,DET,0, +5,17:44,6,3,1,0,3,2,1,2,2,2,8
2021-03-15,BRK,NYK,0, +5,16:17,3,3,0,0,4,1,1,2,1,2,6
2021-03-17,BRK,IND,1, +9,22:33,10,5,0,0,8,1,0,2,0,3,11
2021-03-19,BRK,ORL,1, -8,22:37,6,3,0,0,4,2,1,1,0,1,7
2021-03-21,BRK,WAS,0, +7,26:12,10,7,0,0,3,0,1,3,2,2,16
2021-03-23,BRK,POR,1, +4,21:33,10,8,0,0,9,0,0,1,1,2,16
2021-03-24,BRK,UTA,1, -30,23:24,5,1,2,1,3,0,1,0,0,1,4
2021-03-26,BRK,DET,1, +2,25:39,4,1,0,0,7,0,0,1,0,2,3
2021-03-29,BRK,MIN,0, +5,14:56,5,1,0,0,5,1,0,3,0,0,2
2021-03-31,BRK,HOU,0, +12,20:47,7,6,0,0,8,1,1,1,0,2,12
2021-04-01,BRK,CHO,0, +22,13:38,2,1,0,0,7,3,0,0,2,3,3
2021-04-04,BRK,CHI,1, -8,8:18,1,0,0,0,3,0,0,0,1,2,0
2021-04-05,BRK,NYK,0, +2,16:32,3,0,0,0,6,3,1,1,0,2,0
2021-04-07,BRK,NOP,0, +28,14:50,2,1,0,0,2,1,1,1,1,5,2
2021-04-10,BRK,LAL,0, -25,14:57,3,2,0,0,5,1,0,1,0,1,7
2021-04-13,BRK,MIN,1, +30,20:38,4,3,0,0,8,2,1,1,0,4,6
2021-04-14,BRK,PHI,1, -6,21:32,3,1,0,0,3,1,1,0,2,4,3
2021-04-16,BRK,CHO,0, +15,23:17,1,0,1,0,9,2,2,1,0,2,0
2021-04-18,BRK,MIA,1, -2,23:40,3,2,0,0,6,1,2,1,0,1,4
2021-05-04,BRK,MIL,1, -6,5:02,0,0,0,0,2,0,0,0,0,1,0
2021-05-06,BRK,DAL,1, -4,18:59,1,1,0,0,8,0,1,0,0,0,2
2021-05-08,BRK,DEN,1, +6,13:55,1,1,0,0,4,0,2,1,0,4,4
2021-05-11,BRK,CHI,1, +8,23:13,7,5,0,0,10,1,0,2,0,1,10
2021-05-12,BRK,SAS,0, +12,22:40,8,7,0,0,5,0,1,2,3,4,18
2021-05-15,BRK,CHI,0, +14,25:28,4,4,0,0,8,0,0,3,0,4,10
2021-05-16,BRK,CLE,0, +14,22:42,4,2,0,0,5,0,0,2,1,2,4
