Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NOP,TOR,1, +14,13:31,4,0,3,0,2,2,1,0,1,0,0
2020-12-25,NOP,MIA,1, -13,9:22,2,0,1,0,0,0,0,0,0,2,1
2020-12-29,NOP,PHO,1, -25,15:41,4,2,3,1,8,1,0,0,2,2,5
2020-12-31,NOP,OKC,1, +33,16:37,2,1,2,1,2,3,1,0,1,0,5
2021-01-02,NOP,TOR,0, +4,3:38,1,0,1,0,1,0,0,0,0,0,0
2021-01-08,NOP,CHO,0, -8,1:36,0,0,0,0,0,1,0,0,0,1,0
2021-01-13,NOP,LAC,1, -5,19:22,4,1,4,1,3,1,1,0,0,2,3
2021-01-15,NOP,LAL,1, -17,20:52,3,0,2,0,4,1,1,1,0,2,0
2021-01-21,NOP,UTA,1, -11,1:59,0,0,0,0,1,0,0,0,0,0,0
2021-01-29,NOP,MIL,0, +5,15:50,4,2,3,1,2,2,1,0,1,3,5
2021-01-30,NOP,HOU,0, -14,10:32,3,1,2,1,4,0,0,0,0,1,4
2021-02-03,NOP,PHO,0, +22,5:39,0,0,0,0,0,0,1,0,1,3,0
2021-02-16,NOP,MEM,1, +31,2:50,1,1,1,1,0,1,0,0,0,0,3
2021-02-19,NOP,PHO,0, -18,2:26,0,0,0,0,0,0,0,0,0,0,0
2021-02-21,NOP,BOS,0, +5,17:00,7,1,7,1,3,0,2,0,0,3,3
2021-02-27,NOP,SAS,1, -3,6:13,0,0,0,0,1,0,0,0,0,1,0
2021-03-04,NOP,MIA,0, -10,23:12,5,0,4,0,7,4,0,0,1,2,0
2021-03-11,NOP,MIN,0, -30,6:42,2,1,0,0,5,0,0,0,0,1,2
2021-03-12,NOP,CLE,0, +34,19:27,8,3,1,0,6,3,0,0,0,2,8
2021-03-14,NOP,LAC,0, +20,6:57,4,1,0,0,3,2,0,0,0,0,2
2021-03-21,NOP,DEN,1, +5,13:06,4,1,2,0,4,4,1,0,0,2,2
2021-03-23,NOP,LAL,0, +17,8:45,1,0,1,0,1,0,0,0,0,1,0
2021-03-29,DAL,OKC,1, +21,11:27,4,3,1,0,3,0,1,0,0,0,6
2021-03-31,DAL,BOS,1, +5,5:37,3,1,1,1,1,1,0,0,0,1,3
2021-04-02,DAL,NYK,1, +13,11:37,1,0,1,0,1,1,0,0,0,3,0
2021-04-03,DAL,WAS,1, +22,28:18,4,4,1,1,8,3,0,0,0,2,10
2021-04-05,DAL,UTA,0, +8,32:05,7,0,5,0,7,1,1,1,1,4,0
2021-04-07,DAL,HOU,1, -9,23:56,3,0,1,0,3,0,0,0,0,2,2
2021-04-08,DAL,MIL,0, +15,6:44,2,2,2,2,0,0,0,0,0,0,6
2021-04-11,DAL,SAS,0, -2,22:16,5,2,5,2,1,0,0,0,1,5,6
2021-04-12,DAL,PHI,0, -18,10:28,3,0,2,0,2,1,0,0,0,2,0
2021-04-18,DAL,SAC,0, -14,0:59,0,0,0,0,0,0,0,0,0,0,0
2021-04-21,DAL,DET,0, +10,5:33,0,0,0,0,1,0,0,0,0,1,0
2021-04-24,DAL,LAL,0, +15,14:28,3,2,2,1,5,1,1,1,0,1,6
2021-04-26,DAL,SAC,1, -7,20:26,3,0,2,0,6,1,1,0,1,1,0
2021-04-27,DAL,GSW,1, +30,12:00,8,5,2,1,2,1,0,0,0,0,13
2021-05-01,DAL,WAS,0, +1,10:27,1,1,1,1,0,0,0,0,0,2,3
2021-05-02,DAL,SAC,0, -12,6:24,4,1,2,1,1,0,0,0,0,0,4
2021-05-04,DAL,MIA,1, +14,15:05,4,0,2,0,4,3,0,0,0,1,0
2021-05-06,DAL,BRK,0, +4,6:11,2,0,1,0,2,0,0,0,0,1,0
2021-05-09,DAL,CLE,1, +27,21:17,5,3,3,1,4,3,0,0,0,3,9
2021-05-11,DAL,MEM,1, -29,16:02,7,2,3,1,3,0,0,0,1,1,7
2021-05-12,DAL,NOP,0, +18,7:26,1,0,0,0,2,0,0,0,0,0,0
2021-05-14,DAL,TOR,0, +4,21:05,6,2,6,2,4,1,0,0,1,0,6
2021-05-16,DAL,MIN,1, -15,15:01,6,3,5,2,5,2,1,0,0,0,10
