Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,DEN,SAC,0,-2,41.83,18,11,2,1,6,9,3,15,14,0,2,6,3,29,5
2020-12-25,DEN,LAC,0,-13,38.48,13,7,4,1,9,11,3,9,10,1,0,5,2,24,-20
2020-12-28,DEN,HOU,0,13,34.12,11,8,1,1,2,3,4,12,18,3,1,3,2,19,20
2020-12-29,DEN,SAC,1,-10,38.55,14,9,3,1,7,7,1,10,12,2,0,10,4,26,1
2021-01-01,DEN,PHO,0,-3,29.52,13,7,5,3,0,0,3,9,11,1,0,1,5,17,1
2021-01-03,DEN,MIN,1,15,31.7,12,8,1,0,3,3,3,12,12,0,0,7,5,19,27
2021-01-05,DEN,MIN,0,7,36.57,20,12,1,1,10,12,5,15,6,3,1,4,5,35,13
2021-01-07,DEN,DAL,0,-7,41.22,31,14,10,4,6,10,1,11,4,2,0,3,4,38,-6
2021-01-09,DEN,PHI,1,12,29.03,8,6,0,0,3,3,1,9,12,0,0,4,2,15,24
2021-01-10,DEN,NYK,1,25,30.07,15,9,3,1,3,3,3,10,5,1,1,2,1,22,8
2021-01-12,DEN,BRK,1,-6,34.33,17,8,4,1,6,6,1,8,11,7,1,1,2,23,-11
2021-01-14,DEN,GSW,0,10,35.9,16,8,4,0,7,7,1,14,10,3,0,3,4,23,10
2021-01-17,DEN,UTA,0,-4,39.83,23,14,6,3,4,4,8,14,9,2,1,6,4,35,6
2021-01-19,DEN,OKC,0,18,28.4,21,12,4,0,3,3,5,12,6,1,1,1,2,27,12
2021-01-22,DEN,PHO,1,4,39.7,27,15,3,1,0,1,6,10,8,3,0,3,4,31,-13
2021-01-23,DEN,PHO,1,8,42.0,21,9,0,0,11,14,7,22,6,1,0,6,3,29,8
2021-01-25,DEN,DAL,1,4,33.92,13,8,2,0,4,4,3,10,4,2,1,6,2,20,-10
