Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,HOU,POR,1,-2,42.52,10,3,4,1,11,1,1,1,4,3,7
2020-12-28,HOU,DEN,1,-13,26.98,4,3,4,3,3,4,2,0,0,2,9
2020-12-31,HOU,SAC,0,3,32.43,0,0,0,0,6,0,3,2,0,3,0
2021-01-02,HOU,SAC,0,8,33.18,3,2,2,1,4,1,0,0,3,4,5
2021-01-04,HOU,DAL,0,-13,35.27,1,0,1,0,4,0,0,0,2,3,0
2021-01-06,HOU,IND,1,-7,32.6,4,3,2,2,6,0,1,1,2,6,10
2021-01-08,HOU,ORL,0,42,28.55,7,5,7,5,4,5,0,2,0,3,15
2021-01-10,HOU,LAL,0,-18,29.58,4,1,4,1,1,0,2,1,1,3,4
2021-01-12,HOU,LAL,0,-17,22.88,1,0,1,0,1,1,2,1,0,2,0
2021-01-14,HOU,SAS,1,4,35.13,4,3,2,2,6,2,1,0,1,4,10
2021-01-16,HOU,SAS,1,-12,36.83,9,1,6,0,9,2,1,2,2,4,4
2021-01-18,HOU,CHI,1,-5,33.57,2,1,1,0,3,3,0,0,1,3,2
2021-01-20,HOU,PHO,0,-6,21.35,2,1,0,0,0,0,1,0,2,3,2
2021-01-22,HOU,DET,1,1,33.12,8,5,5,3,7,1,0,2,1,4,15
2021-01-23,HOU,DAL,1,25,24.8,5,3,1,0,6,1,0,0,0,3,6
2021-01-26,HOU,WAS,0,19,34.17,1,0,1,0,2,0,1,0,0,3,0
2021-01-28,HOU,POR,0,3,31.45,4,1,2,0,6,0,0,2,0,2,2
2021-01-30,HOU,NOP,1,14,24.88,6,2,3,0,3,2,2,0,1,2,5
2021-02-01,HOU,OKC,1,30,26.95,4,2,4,2,5,2,2,0,1,2,6
2021-02-03,HOU,OKC,1,-17,24.95,2,0,1,0,5,1,0,0,0,2,0
2021-02-04,HOU,MEM,1,12,33.62,8,1,7,1,8,2,1,0,1,2,3
2021-02-06,HOU,SAS,0,-5,29.98,3,0,2,0,5,2,0,0,0,3,2
2021-02-08,HOU,CHO,1,-25,23.38,3,0,3,0,0,2,1,0,2,3,0
2021-02-09,HOU,NOP,1,-29,28.43,7,3,2,1,4,3,0,0,0,5,7
2021-02-11,HOU,MIA,0,-7,22.42,6,2,4,2,3,0,1,0,1,2,8
2021-02-13,HOU,NYK,1,-22,30.78,4,0,4,0,8,1,0,0,2,3,0
2021-02-22,HOU,CHI,0,-20,22.58,3,0,2,0,2,0,1,0,0,1,0
2021-02-24,HOU,CLE,1,-16,30.93,2,0,1,0,7,2,0,0,2,2,0
2021-02-26,HOU,TOR,1,-11,33.38,8,4,5,2,7,2,2,1,1,3,11
2021-02-28,HOU,MEM,0,-49,22.03,1,0,1,0,5,1,1,2,2,1,1
2021-03-01,HOU,CLE,0,-11,38.87,3,2,2,1,4,1,2,0,1,1,7
2021-03-03,HOU,BRK,0,-18,31.3,2,0,2,0,3,3,1,1,0,4,0
2021-03-20,MIL,SAS,0,7,12.73,1,0,1,0,3,0,0,1,0,0,0
2021-03-22,MIL,IND,0,27,11.98,0,0,0,0,0,1,0,0,0,2,0
2021-03-24,MIL,BOS,0,2,18.8,3,1,3,1,3,0,0,1,0,0,3
2021-04-14,MIL,MIN,1,25,9.95,0,0,0,0,3,1,1,0,0,0,0
2021-04-15,MIL,ATL,1,11,16.3,4,3,3,2,3,1,0,0,0,1,8
2021-04-17,MIL,MEM,0,-13,21.75,6,2,3,1,6,0,1,0,0,1,5
2021-04-19,MIL,PHO,0,-1,21.48,2,1,1,1,3,0,0,0,0,1,3
2021-04-22,MIL,PHI,0,7,22.83,2,0,1,0,2,1,1,0,0,3,0
2021-04-24,MIL,PHI,0,38,18.17,4,1,3,1,3,1,0,0,2,2,3
2021-04-27,MIL,CHO,1,10,25.58,3,2,2,1,4,0,1,0,0,1,5
2021-04-29,MIL,HOU,1,-7,30.03,3,2,3,2,6,0,2,0,1,4,6
2021-04-30,MIL,CHI,1,10,21.63,2,1,0,0,3,0,0,0,0,2,2
2021-05-02,MIL,BRK,0,3,23.37,1,1,1,1,2,2,1,0,1,5,3
2021-05-04,MIL,BRK,0,6,20.15,2,1,2,1,3,2,1,0,0,4,3
2021-05-05,MIL,WAS,0,1,20.45,1,0,1,0,1,0,1,0,2,3,0
2021-05-07,MIL,HOU,0,8,18.73,2,1,2,1,2,3,0,0,1,2,3
2021-05-10,MIL,SAS,1,-21,20.5,4,1,3,1,0,1,0,0,0,0,3
2021-05-11,MIL,ORL,0,12,20.13,0,0,0,0,5,0,0,0,0,1,0
2021-05-13,MIL,IND,1,9,18.07,3,1,1,0,2,2,0,0,0,1,3
2021-05-15,MIL,MIA,0,14,24.05,3,0,3,0,2,1,1,0,0,1,2
