Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,CHO,CLE,1, -7,21:23,5,1,1,0,2,2,0,1,0,1,4
2020-12-26,CHO,OKC,0, -2,29:09,15,7,3,1,8,1,2,3,2,3,18
2020-12-27,CHO,BRK,0, +2,34:35,16,6,2,0,12,5,2,0,3,5,14
2020-12-30,CHO,DAL,1, +19,17:35,6,4,2,1,2,3,0,0,2,5,11
2021-01-01,CHO,MEM,0, -15,22:38,6,3,4,2,4,0,1,0,6,3,10
2021-01-02,CHO,PHI,1, -15,21:31,8,2,2,1,5,2,2,0,1,2,9
2021-01-04,CHO,PHI,1, -17,26:49,10,4,5,2,8,5,0,0,1,5,12
2021-01-06,CHO,ATL,1, +8,37:33,8,3,2,1,10,4,2,3,3,1,9
2021-01-08,CHO,NOP,1, +8,27:35,8,3,4,1,4,5,2,2,1,3,9
2021-01-09,CHO,ATL,0, +8,36:29,11,7,4,2,7,1,0,6,1,4,22
2021-01-11,CHO,NYK,0, +21,30:39,11,4,5,2,5,2,0,1,1,2,13
2021-01-13,CHO,DAL,0, -11,32:19,17,6,7,2,10,6,1,0,2,4,16
2021-01-14,CHO,TOR,1, -3,33:12,14,7,3,1,11,1,1,2,3,4,20
2021-01-16,CHO,TOR,1, -3,33:43,13,6,3,1,12,5,0,2,4,3,14
2021-01-22,CHO,CHI,0, -13,32:41,14,7,6,0,4,2,0,1,2,1,16
2021-01-24,CHO,ORL,1, +3,31:42,8,4,4,1,3,1,3,2,2,0,9
2021-01-25,CHO,ORL,1, -9,23:07,6,1,2,0,6,4,0,0,2,3,2
2021-01-27,CHO,IND,0, -10,31:33,14,6,6,1,8,4,0,0,3,2,18
2021-01-29,CHO,IND,0, +3,34:57,8,7,4,3,9,3,2,1,3,0,19
2021-01-30,CHO,MIL,0, +12,25:36,3,2,2,2,7,3,1,3,0,5,6
2021-02-01,CHO,MIA,1, +8,24:13,12,3,2,0,7,3,2,1,1,2,6
2021-02-07,CHO,WAS,0, +22,28:07,7,1,2,1,5,4,1,1,2,5,3
2021-02-08,CHO,HOU,0, +25,25:00,4,1,2,1,5,3,0,1,2,1,3
2021-02-10,CHO,MEM,1, -16,28:35,7,2,2,0,3,4,0,1,2,1,5
2021-02-20,CHO,GSW,0, +2,32:05,8,6,5,3,5,2,0,1,2,2,15
2021-02-22,CHO,UTA,1, -22,30:41,9,5,5,3,3,4,4,0,5,3,17
2021-02-24,CHO,PHO,1, +3,24:01,8,4,3,1,1,0,0,0,1,3,10
2021-02-26,CHO,GSW,1, -9,29:14,7,3,4,2,10,4,4,0,2,4,15
2021-02-28,CHO,SAC,1, +1,41:32,22,15,8,5,8,2,2,2,1,4,42
2021-03-01,CHO,POR,1, -12,30:02,8,1,1,0,3,2,0,1,4,0,3
2021-03-03,CHO,MIN,1, +33,31:36,12,6,4,2,9,3,2,1,1,2,16
2021-03-11,CHO,DET,0, +3,32:10,10,6,4,2,9,3,1,2,2,1,20
2021-03-13,CHO,TOR,0, +10,25:52,9,3,5,2,6,3,2,1,4,6,11
2021-03-15,CHO,SAC,0, +6,25:54,6,4,3,2,2,5,0,0,1,5,10
2021-03-17,CHO,DEN,1, -25,24:04,6,3,2,2,6,0,0,1,2,1,8
2021-03-18,CHO,LAL,1, -11,39:24,12,7,4,3,9,1,0,4,3,3,18
2021-03-20,CHO,LAC,1, -27,29:04,10,3,2,0,3,1,0,2,3,2,6
2021-03-22,CHO,SAS,1, +3,41:33,14,4,6,1,13,5,1,2,5,2,10
