Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DEN,SAC,0, -2,14:39,5,3,1,0,5,2,0,2,1,1,7
2020-12-25,DEN,LAC,0, -13,19:07,5,3,2,1,2,0,0,0,1,2,7
2020-12-28,DEN,HOU,0, +13,19:39,5,1,0,0,5,1,1,1,1,1,3
2020-12-29,DEN,SAC,1, -10,16:41,4,3,2,2,4,1,0,2,0,0,8
2021-01-01,DEN,PHO,0, -3,23:29,7,2,2,0,4,1,0,0,1,0,6
2021-01-03,DEN,MIN,1, +15,19:42,8,3,3,1,4,0,0,0,0,0,7
2021-01-05,DEN,MIN,0, +7,16:14,3,1,1,0,5,1,0,1,2,3,3
2021-01-07,DEN,DAL,0, -7,26:07,8,3,4,1,3,1,1,0,1,4,9
2021-01-09,DEN,PHI,1, +12,18:55,5,2,2,1,8,1,0,1,1,3,5
2021-01-10,DEN,NYK,1, +25,17:16,6,4,4,3,5,2,1,1,1,3,12
2021-01-12,DEN,BRK,1, -6,27:12,9,2,3,0,4,3,0,0,1,4,4
2021-01-14,DEN,GSW,0, +10,22:58,6,4,0,0,6,2,0,0,1,1,10
2021-01-17,DEN,UTA,0, -4,27:52,5,3,3,2,4,3,3,1,0,2,9
2021-01-19,DEN,OKC,0, +18,19:02,7,3,5,2,2,0,1,0,1,0,11
2021-01-22,DEN,PHO,1, +4,14:23,5,3,2,0,3,2,1,0,0,1,6
2021-01-23,DEN,PHO,1, +8,17:33,3,2,1,0,4,3,0,0,0,3,6
2021-01-25,DEN,DAL,1, +4,9:14,3,2,2,2,2,0,1,1,1,1,8
2021-02-27,DEN,OKC,1, +30,14:30,7,3,4,1,6,1,0,1,1,0,9
2021-03-01,DEN,CHI,1, +6,18:15,4,1,2,1,1,2,0,1,1,2,5
2021-03-02,DEN,MIL,1, +31,22:39,17,8,5,2,2,1,0,0,0,4,19
2021-03-04,DEN,IND,1, +10,22:49,5,2,3,1,3,8,2,1,1,1,5
2021-03-12,DEN,MEM,1, +1,21:41,6,1,4,1,4,1,0,0,1,1,3
2021-03-13,DEN,DAL,0, -13,23:15,7,2,3,1,3,1,1,0,0,2,5
2021-03-15,DEN,IND,0, +15,24:34,5,3,1,1,4,3,0,1,3,0,9
2021-03-17,DEN,CHO,0, +25,22:22,8,5,5,3,5,0,0,0,1,2,13
2021-03-19,DEN,CHI,0, +4,17:59,6,2,2,0,2,0,1,0,1,3,4
2021-03-21,DEN,NOP,0, -5,22:16,6,3,3,1,0,3,2,0,3,3,9
2021-03-23,DEN,ORL,1, +11,27:58,11,6,3,0,6,2,0,0,0,3,14
2021-03-24,DEN,TOR,1, -24,20:04,7,2,5,2,2,1,0,1,0,2,6
2021-03-26,DEN,NOP,1, +5,21:10,6,1,1,0,6,1,0,0,0,1,2
2021-03-28,DEN,ATL,0, +24,19:02,5,1,2,0,2,3,0,0,0,4,2
2021-03-30,DEN,PHI,0, +9,20:13,6,1,3,1,3,2,1,1,1,2,3
2021-04-01,DEN,LAC,1, +7,16:22,3,0,1,0,3,1,1,0,1,1,0
2021-04-04,DEN,ORL,0, +10,9:08,2,0,2,0,1,0,0,0,1,1,0
2021-04-06,DEN,DET,0, +15,28:39,9,3,4,0,6,5,3,0,1,5,8
2021-04-07,DEN,SAS,0, +10,28:00,6,2,2,1,7,1,2,0,0,0,8
2021-04-09,DEN,SAS,0, +2,19:06,8,4,2,1,5,2,0,0,1,1,9
2021-04-11,DEN,BOS,0, -18,17:05,6,3,2,1,1,0,0,0,0,1,7
2021-04-12,DEN,GSW,1, -9,7:39,2,1,1,0,0,0,0,0,2,1,3
2021-04-14,DEN,MIA,0, +17,28:00,10,6,5,3,2,4,3,0,1,1,15
2021-04-16,DEN,HOU,1, +29,23:55,14,5,6,1,4,2,0,0,2,1,11
2021-04-19,DEN,MEM,0, +2,37:16,9,3,4,0,5,5,0,1,3,1,10
2021-04-21,DEN,POR,1, +1,25:18,10,3,5,1,7,2,1,1,1,2,7
2021-04-23,DEN,GSW,1, -21,29:41,11,4,4,1,2,5,3,0,1,2,9
2021-04-24,DEN,HOU,0, +13,27:48,13,10,5,3,7,3,2,2,0,3,23
2021-04-26,DEN,MEM,0, +24,26:28,12,4,3,0,3,3,0,1,0,1,9
2021-04-28,DEN,NOP,0, +2,31:42,7,3,6,2,2,2,0,0,2,0,8
2021-04-29,DEN,TOR,0, +10,27:43,12,4,6,1,1,3,0,1,0,3,10
2021-05-01,DEN,LAC,1, +6,33:59,15,7,6,1,5,1,0,0,4,1,16
2021-05-03,DEN,LAL,1, -4,21:39,6,1,2,1,2,1,0,0,0,2,3
