Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,TOR,NOP,0,-14,38.68,17,8,7,3,6,6,0,0,4,1,20
2020-12-26,TOR,SAS,1,-5,43.03,16,6,5,0,15,8,1,1,5,5,16
2020-12-29,TOR,PHI,1,-7,34.78,23,8,9,4,6,0,2,1,2,6,20
2021-01-02,TOR,NOP,1,-4,24.73,10,4,4,0,4,1,1,0,3,6,10
2021-01-04,TOR,BOS,0,-12,32.95,15,7,5,2,6,3,0,1,1,5,22
2021-01-06,TOR,PHO,1,-8,38.13,21,11,4,1,9,3,1,1,1,3,32
2021-01-08,TOR,SAC,1,21,33.15,11,7,2,1,9,12,1,1,2,5,17
2021-01-10,TOR,GSW,1,-1,40.45,19,9,4,2,11,3,0,0,2,2,25
2021-01-11,TOR,POR,1,-1,36.75,17,9,2,0,13,10,1,0,3,5,22
2021-01-14,TOR,CHO,0,3,37.7,15,6,6,2,7,4,3,1,2,3,15
2021-01-16,TOR,CHO,0,3,32.07,14,4,5,0,5,4,0,2,3,4,9
2021-01-18,TOR,DAL,0,23,33.83,19,7,4,0,3,5,0,0,3,2,19
2021-01-20,TOR,MIA,0,-9,36.77,15,7,3,0,6,2,1,0,2,3,18
2021-01-22,TOR,MIA,0,20,33.33,12,6,3,1,14,5,1,0,4,1,15
2021-01-27,TOR,MIL,0,-7,35.12,12,5,4,1,9,3,0,0,2,2,11
2021-01-29,TOR,SAC,0,-2,37.83,20,11,1,0,4,2,1,0,3,2,32
2021-01-31,TOR,ORL,0,13,33.9,23,12,2,0,10,3,3,1,2,1,30
2021-02-02,TOR,ORL,1,15,36.4,11,4,2,0,5,8,1,0,4,1,12
2021-02-05,TOR,BRK,1,6,38.6,23,12,2,0,11,6,3,1,0,3,33
2021-02-06,TOR,ATL,1,-11,32.92,15,6,3,1,6,3,3,2,0,4,15
2021-02-08,TOR,MEM,1,15,39.03,18,11,8,5,5,6,1,1,1,3,32
2021-02-10,TOR,WAS,1,22,34.47,18,9,4,3,5,2,1,1,1,3,26
2021-02-11,TOR,BOS,1,-14,35.12,14,8,4,2,4,2,1,0,1,2,23
2021-02-14,TOR,MIN,0,-4,36.72,19,6,3,1,8,6,2,1,3,4,18
2021-02-16,TOR,MIL,1,11,38.77,23,8,8,2,13,6,1,0,2,2,23
2021-02-18,TOR,MIL,1,14,37.97,18,9,4,2,6,5,1,2,1,1,27
2021-02-19,TOR,MIN,1,5,35.17,10,4,2,0,9,6,1,3,2,1,10
2021-02-21,TOR,PHI,0,7,40.57,18,8,3,1,7,8,1,0,2,4,23
2021-02-23,TOR,PHI,0,-7,42.33,18,9,6,1,6,7,3,1,1,5,22
2021-02-24,TOR,MIA,1,-8,24.13,6,1,3,1,2,4,0,0,3,4,5
2021-03-17,TOR,DET,1,-4,30.28,11,3,3,0,5,3,0,1,2,3,13
2021-03-19,TOR,UTA,0,-3,33.43,22,9,10,4,5,9,1,0,1,3,27
2021-03-21,TOR,CLE,1,-11,24.52,12,4,3,1,3,2,2,0,2,2,9
2021-03-22,TOR,HOU,1,-18,35.77,18,9,3,1,10,3,1,1,2,5,21
2021-03-24,TOR,DEN,0,24,34.63,16,8,7,3,8,6,1,1,1,4,27
2021-03-26,TOR,PHO,0,-4,37.97,17,8,6,0,11,6,1,1,2,3,26
2021-03-28,TOR,POR,0,-5,39.13,16,8,3,2,8,2,0,0,2,4,26
2021-03-29,TOR,DET,1,-14,28.33,14,5,3,0,6,5,0,0,2,6,14
2021-03-31,TOR,OKC,1,-10,37.67,9,2,3,1,7,4,1,0,2,3,14
2021-04-02,TOR,GSW,0,53,31.13,24,14,9,4,7,5,2,0,0,2,36
2021-04-05,TOR,WAS,0,2,36.13,16,10,4,0,5,3,2,1,3,3,22
2021-04-06,TOR,LAL,0,-9,40.85,21,7,6,0,7,2,2,1,1,3,27
2021-04-08,TOR,CHI,0,-9,38.3,17,10,2,1,8,1,0,2,2,3,27
2021-04-11,TOR,NYK,1,-6,35.6,18,5,5,1,0,7,0,2,5,6,16
2021-04-13,TOR,ATL,0,-5,40.42,19,13,5,1,6,7,0,2,5,4,30
2021-04-14,TOR,SAS,0,5,37.42,20,7,1,0,11,6,2,1,2,4,20
2021-04-21,TOR,BRK,0,11,37.55,19,10,5,2,9,6,2,0,2,2,27
2021-04-24,TOR,NYK,1,-17,40.62,19,8,9,5,7,5,1,0,3,3,26
2021-04-26,TOR,CLE,0,16,31.33,19,11,5,2,5,4,0,1,3,5,25
2021-04-27,TOR,BRK,0,-13,35.13,16,2,5,0,7,2,1,0,3,3,10
2021-04-29,TOR,DEN,1,-10,31.83,11,5,1,1,5,2,1,0,2,0,11
2021-05-01,TOR,UTA,1,-4,40.0,18,7,3,1,7,0,3,0,4,3,15
2021-05-02,TOR,LAL,1,7,38.45,26,15,8,4,13,4,2,2,4,2,39
2021-05-04,TOR,LAC,1,-5,41.68,24,10,5,1,7,2,3,0,4,2,24
2021-05-06,TOR,WAS,0,-2,42.22,28,17,6,2,11,7,1,0,4,3,44
2021-05-08,TOR,MEM,0,-10,30.3,21,8,4,0,3,4,0,0,2,0,18
