Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,MIL,BOS,1, -1,23:08,3,2,3,2,1,1,0,0,1,1,6
2020-12-25,MIL,GSW,0, +39,18:53,3,1,1,0,7,2,0,0,0,0,2
2020-12-27,MIL,NYK,1, -20,15:57,8,2,5,0,3,1,0,1,0,2,4
2020-12-29,MIL,MIA,1, +47,12:13,3,1,2,1,2,3,1,1,0,0,3
2020-12-30,MIL,MIA,1, -11,17:27,6,4,6,4,3,0,1,0,0,0,12
2021-01-01,MIL,CHI,0, +30,15:33,5,3,3,3,5,1,1,0,0,1,11
2021-01-09,MIL,CLE,0, +10,10:53,5,2,3,2,4,0,0,0,0,1,6
2021-01-11,MIL,ORL,1, +22,18:12,4,3,2,1,4,0,2,2,0,2,7
2021-01-13,MIL,DET,1, +9,15:43,7,3,5,3,3,1,1,0,0,3,9
2021-01-15,MIL,DAL,0, +3,21:14,3,0,3,0,6,5,2,0,0,2,0
2021-01-18,MIL,BRK,1, -2,17:35,5,3,5,3,6,2,0,0,1,1,9
2021-01-21,MIL,LAL,0, -7,23:50,3,1,1,0,5,3,1,0,0,1,4
2021-01-24,MIL,ATL,0, +14,16:28,5,1,3,0,4,1,1,1,1,3,2
2021-01-27,MIL,TOR,1, +7,13:30,4,1,3,0,3,0,0,0,1,2,2
2021-01-29,MIL,NOP,1, -5,20:22,6,4,2,1,7,3,0,1,0,0,9
2021-01-30,MIL,CHO,1, -12,29:13,8,5,8,5,6,0,1,1,0,3,15
2021-02-01,MIL,POR,0, +28,15:50,7,3,5,1,4,1,0,0,0,1,7
2021-02-03,MIL,IND,0, +20,10:24,5,1,4,1,1,0,0,0,0,0,3
2021-02-05,MIL,CLE,1, +18,18:07,3,0,1,0,2,2,0,0,0,0,0
2021-02-06,MIL,CLE,1, +25,14:34,4,3,1,0,3,2,0,0,0,1,6
2021-02-08,MIL,DEN,1, +13,21:01,3,1,3,1,2,1,0,1,0,2,4
2021-02-10,MIL,PHO,1, -1,20:54,3,0,2,0,1,1,1,0,0,1,0
2021-02-12,MIL,UTA,1, -14,28:52,2,1,0,0,1,3,4,1,1,3,2
2021-02-14,MIL,OKC,1, -5,23:14,8,3,5,1,7,1,1,0,1,1,7
2021-02-16,MIL,TOR,0, -11,31:21,15,8,10,4,5,1,0,3,1,2,20
2021-02-18,MIL,TOR,0, -14,29:21,4,2,3,1,3,2,0,0,0,3,7
2021-02-19,MIL,OKC,0, +13,27:32,6,2,4,2,5,1,1,1,1,4,6
2021-02-21,MIL,SAC,0, +13,28:14,4,3,2,1,6,2,1,0,0,3,12
2021-02-23,MIL,MIN,0, +27,26:49,5,1,4,1,6,3,2,1,0,2,3
2021-02-25,MIL,NOP,0, +4,26:02,4,3,3,2,1,1,0,0,3,4,8
2021-02-28,MIL,LAC,0, +5,27:13,5,2,3,1,8,0,0,0,0,0,7
2021-03-02,MIL,DEN,0, -31,26:37,9,3,5,2,8,2,0,0,0,1,8
2021-03-04,MIL,MEM,1, +1,30:19,11,6,7,3,9,0,1,1,1,2,15
2021-03-11,MIL,NYK,0, +33,19:37,6,1,6,1,1,0,2,0,0,2,3
2021-03-13,MIL,WAS,1, +6,26:13,6,4,5,3,5,2,1,0,1,3,11
2021-03-15,MIL,WAS,1, +11,29:37,2,1,0,0,1,0,0,0,1,2,2
2021-03-17,MIL,PHI,1, +4,34:01,4,2,2,0,12,2,2,0,1,2,6
2021-03-20,MIL,SAS,0, +7,28:45,7,4,6,3,6,0,0,0,1,1,11
2021-03-22,MIL,IND,0, +27,33:01,9,7,7,6,9,2,0,0,1,0,20
2021-03-24,MIL,BOS,0, +2,27:37,4,2,3,1,6,3,1,1,0,2,5
2021-03-26,MIL,BOS,0, -8,27:42,7,1,4,1,11,2,1,0,2,3,6
2021-03-27,MIL,NYK,0, -6,28:51,9,4,6,3,4,2,1,1,1,0,12
2021-03-29,MIL,LAC,1, -24,30:56,3,2,2,1,7,1,1,0,0,3,5
2021-03-31,MIL,LAL,1, +15,27:20,5,2,3,1,5,0,0,0,1,1,5
2021-04-02,MIL,POR,1, +18,27:50,7,2,5,0,6,0,0,0,0,1,4
2021-04-03,MIL,SAC,1, +1,31:10,8,3,3,0,6,2,1,0,0,0,9
2021-04-06,MIL,GSW,1, -1,25:25,6,1,4,0,8,2,0,0,0,0,3
2021-04-08,MIL,DAL,1, -15,22:43,5,2,2,0,7,1,2,0,0,1,4
