Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-22,LAC,LAL,1,7,22.12,9,4,5,2,6,3,0,0,2,4,10
2020-12-25,LAC,DEN,1,13,21.55,6,3,5,2,2,0,2,0,1,5,9
2020-12-27,LAC,DAL,0,-51,21.92,2,0,2,0,2,0,0,0,1,4,2
2020-12-29,LAC,MIN,0,23,21.95,7,4,5,4,3,1,1,0,1,2,12
2020-12-30,LAC,POR,0,23,20.98,6,3,2,1,4,0,2,0,0,4,7
2021-01-01,LAC,UTA,1,-6,27.97,7,2,5,2,1,0,0,2,0,3,6
2021-01-03,LAC,PHO,1,5,27.52,3,2,1,1,9,0,0,0,1,4,7
2021-01-05,LAC,SAS,0,-3,32.62,10,7,9,6,8,8,0,2,1,5,20
2021-01-06,LAC,GSW,1,7,30.25,8,2,5,1,1,3,1,1,0,3,7
2021-01-08,LAC,GSW,1,-10,27.98,8,2,3,1,6,1,2,0,2,4,7
2021-01-10,LAC,CHI,0,3,25.32,9,3,6,1,3,5,0,3,1,4,7
2021-01-13,LAC,NOP,0,5,36.63,8,3,7,3,6,2,2,2,1,3,10
2021-01-17,LAC,IND,0,33,26.38,7,3,4,2,5,6,0,1,0,2,11
2021-01-20,LAC,SAC,0,19,24.08,6,2,4,2,3,0,1,1,1,4,6
2021-01-22,LAC,OKC,0,14,29.65,2,0,2,0,8,2,3,0,0,4,1
2021-01-24,LAC,OKC,0,8,13.05,7,2,5,1,4,3,2,0,0,1,7
2021-02-10,LAC,MIN,1,7,18.17,4,2,1,0,3,1,0,1,0,4,6
2021-02-12,LAC,CHI,1,19,11.72,4,2,1,1,0,1,0,0,1,1,6
2021-02-14,LAC,CLE,0,17,20.1,8,5,6,4,6,5,2,0,1,3,16
2021-02-17,LAC,UTA,0,-18,23.25,3,3,1,1,4,2,2,2,1,3,8
2021-02-19,LAC,UTA,0,4,24.75,7,5,5,3,2,2,0,1,1,1,17
2021-02-21,LAC,BRK,0,-4,28.27,6,2,4,1,4,4,1,0,4,6,5
2021-02-23,LAC,WAS,0,19,20.07,4,2,3,1,0,1,0,0,1,2,5
2021-02-25,LAC,MEM,1,-28,22.47,7,2,5,1,3,2,0,0,1,2,5
2021-02-26,LAC,MEM,1,20,21.0,8,4,7,3,2,3,1,2,1,2,11
2021-02-28,LAC,MIL,1,-5,25.68,8,2,6,1,3,2,1,0,1,4,5
2021-03-02,LAC,BOS,1,-5,27.12,3,2,2,1,6,2,2,2,0,1,8
2021-03-04,LAC,WAS,1,-2,25.73,10,6,5,3,3,1,0,2,3,5,17
2021-03-11,LAC,GSW,0,26,10.77,4,1,3,1,0,0,0,1,0,1,3
2021-04-06,LAC,POR,0,17,20.13,7,2,5,2,4,3,1,0,0,4,8
2021-04-08,LAC,PHO,0,10,16.87,2,0,1,0,0,2,0,1,0,2,0
2021-05-04,LAC,TOR,0,5,14.87,5,3,3,2,1,3,1,0,1,3,8
2021-05-06,LAC,LAL,0,24,17.35,5,1,2,1,0,2,1,1,3,3,5
2021-05-09,LAC,NYK,0,-6,16.03,4,1,3,1,1,1,0,0,2,2,3
2021-05-11,LAC,TOR,1,19,21.17,4,0,4,0,6,1,0,0,1,1,0
2021-05-13,LAC,CHO,1,23,18.1,4,1,2,0,0,0,1,2,0,1,2
2021-05-16,LAC,OKC,1,-5,18.87,8,5,2,0,0,4,0,1,0,1,11
