Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,DEN,SAC,0,-2,36.1,13,7,5,2,0,0,2,7,3,0,0,1,3,16,-6
2020-12-25,DEN,LAC,0,-13,21.88,5,3,2,1,1,2,0,1,0,0,0,0,4,8,-10
2020-12-28,DEN,HOU,0,13,24.73,8,7,4,3,2,3,0,3,1,0,0,3,1,19,1
2020-12-29,DEN,SAC,1,-10,27.93,4,1,0,0,3,5,0,4,2,0,0,1,0,5,5
2021-01-01,DEN,PHO,0,-3,18.67,9,5,3,1,4,5,1,5,1,1,0,1,4,15,0
2021-01-03,DEN,MIN,1,15,25.22,7,4,7,4,0,2,1,4,1,0,0,1,3,12,-6
2021-01-05,DEN,MIN,0,7,15.5,9,5,2,0,0,0,2,3,1,0,0,2,4,10,-2
2021-01-07,DEN,DAL,0,-7,28.63,6,1,2,0,3,3,2,5,4,2,0,2,1,5,5
2021-01-09,DEN,PHI,1,12,21.65,8,3,3,1,2,2,1,5,0,2,1,1,0,9,12
2021-01-10,DEN,NYK,1,25,21.42,9,3,6,2,2,3,0,5,0,2,0,1,2,10,0
2021-01-12,DEN,BRK,1,-6,21.87,3,3,2,2,2,2,1,4,1,0,1,2,1,10,0
2021-01-14,DEN,GSW,0,10,23.18,7,4,4,2,2,2,3,4,4,3,1,1,1,12,0
2021-01-17,DEN,UTA,0,-4,20.97,6,2,1,0,0,0,4,9,1,0,1,1,2,4,2
2021-01-19,DEN,OKC,0,18,26.37,10,5,5,2,1,2,4,12,3,2,1,1,3,13,21
2021-01-22,DEN,PHO,1,4,19.87,7,4,1,0,4,4,3,5,0,1,0,0,0,12,-10
2021-01-23,DEN,PHO,1,8,19.9,6,1,1,0,0,0,2,8,1,0,0,0,3,2,-9
2021-01-25,DEN,DAL,1,4,18.68,3,1,1,0,0,2,1,3,3,0,0,0,2,2,-6
2021-01-27,DEN,MIA,1,27,24.42,9,5,4,1,0,0,3,7,3,1,0,2,2,11,9
2021-01-29,DEN,SAS,1,-10,22.78,2,1,1,0,6,8,1,5,2,0,1,0,1,8,7
2021-01-31,DEN,UTA,0,11,21.82,6,4,2,2,0,0,1,3,0,1,0,0,2,10,5
2021-02-04,DEN,LAL,1,-21,31.63,13,3,5,0,0,0,4,10,1,2,0,1,5,6,-8
