Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-31,TOR,NYK,0,17,2.8,1,0,1,0,1,0,0,0,0,0,0
2021-01-04,TOR,BOS,0,-12,3.05,0,0,0,0,1,0,0,1,0,1,0
2021-01-08,TOR,SAC,1,21,2.28,1,1,0,0,1,0,0,0,0,0,2
2021-01-18,TOR,DAL,0,23,2.07,1,1,1,1,2,0,0,0,0,0,3
2021-01-22,TOR,MIA,0,20,2.38,1,1,1,1,0,0,0,0,0,0,3
2021-01-25,TOR,IND,1,-15,4.23,1,1,1,1,0,0,0,0,0,1,3
2021-01-27,TOR,MIL,0,-7,5.05,1,0,0,0,0,0,0,0,1,3,0
2021-01-29,TOR,SAC,0,-2,0.17,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,TOR,ORL,0,13,8.45,3,2,3,2,1,1,0,0,0,0,6
2021-02-02,TOR,ORL,1,15,2.62,2,1,2,1,2,0,0,0,0,0,3
2021-02-08,TOR,MEM,1,15,3.67,0,0,0,0,0,0,0,0,0,1,0
2021-02-10,TOR,WAS,1,22,2.45,1,0,0,0,0,0,0,1,0,0,0
2021-02-11,TOR,BOS,1,-14,2.88,2,2,2,2,1,1,0,0,0,1,6
2021-02-18,TOR,MIL,1,14,1.02,1,0,1,0,0,0,0,0,0,0,0
2021-03-03,TOR,DET,0,-24,18.87,3,0,3,0,4,0,0,0,0,0,0
2021-03-04,TOR,BOS,1,-7,12.35,2,1,2,1,1,0,0,0,0,2,3
2021-03-11,TOR,ATL,0,-1,20.38,6,1,4,1,5,1,1,0,0,1,3
2021-03-13,TOR,CHO,1,-10,27.45,10,5,6,2,1,2,2,0,1,3,12
2021-03-14,TOR,CHI,1,-23,27.42,4,1,3,0,2,2,1,0,3,5,3
2021-03-17,TOR,DET,1,-4,21.47,3,1,2,1,4,0,1,0,0,2,3
2021-03-19,TOR,UTA,0,-3,14.57,0,0,0,0,1,1,0,0,1,4,1
2021-03-21,TOR,CLE,1,-11,5.43,1,1,1,1,0,1,0,0,0,0,3
2021-03-22,TOR,HOU,1,-18,22.15,4,2,4,2,2,0,0,0,0,4,6
2021-03-24,TOR,DEN,0,24,20.92,7,4,7,4,6,2,0,0,0,3,12
2021-04-14,TOR,SAS,0,5,14.65,4,3,3,2,2,0,0,0,1,0,9
2021-04-16,TOR,ORL,0,11,25.63,13,10,11,8,4,1,1,1,1,3,30
2021-04-18,TOR,OKC,0,6,22.23,10,0,6,0,4,5,0,0,1,2,0
