Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,BOS,MIL,0, +1,13:00,4,1,2,1,1,0,1,0,0,1,3
2020-12-25,BOS,BRK,0, -28,25:06,5,3,2,1,2,1,2,0,3,3,7
2020-12-27,BOS,IND,1, -1,23:00,5,5,3,3,0,2,2,0,2,0,13
2020-12-29,BOS,IND,1, +5,27:10,8,4,2,0,5,5,1,0,3,1,10
2020-12-30,BOS,MEM,0, +19,21:14,6,4,0,0,2,3,2,0,1,3,8
2021-01-01,BOS,DET,1, -3,16:00,3,0,3,0,0,2,2,2,2,0,0
2021-01-03,BOS,DET,1, +2,27:35,6,2,3,1,4,4,1,1,2,5,5
2021-01-04,BOS,TOR,1, +12,32:22,13,8,4,2,2,8,0,0,3,2,23
2021-01-06,BOS,MIA,1, +2,20:23,10,3,4,0,6,4,0,0,0,3,6
2021-01-08,BOS,WAS,0, +9,23:13,4,3,3,3,2,2,2,0,3,2,11
2021-01-15,BOS,ORL,0, +27,25:16,13,6,8,4,4,3,0,1,0,2,16
2021-01-17,BOS,NYK,0, -30,17:23,3,1,3,1,5,0,0,1,2,1,3
2021-01-20,BOS,PHI,1, -8,19:19,3,1,2,1,0,2,0,0,1,2,3
2021-01-22,BOS,PHI,1, -12,2:16,1,0,1,0,0,0,0,0,0,0,0
2021-02-05,BOS,LAC,1, +4,19:18,4,3,3,2,2,2,0,0,0,1,8
2021-02-07,BOS,PHO,1, -9,22:54,9,4,9,4,5,1,0,0,0,2,12
2021-02-09,BOS,UTA,1, -14,15:24,4,1,4,1,0,1,0,0,0,3,3
2021-02-11,BOS,TOR,0, +14,29:06,10,6,8,6,5,1,0,0,2,2,20
2021-02-12,BOS,DET,0, -6,28:43,5,1,3,0,3,1,0,0,1,3,2
2021-02-14,BOS,WAS,1, -13,17:27,7,2,3,0,3,2,0,0,0,1,4
2021-02-16,BOS,DEN,0, +13,22:49,5,3,3,1,1,7,0,0,1,2,8
2021-02-17,BOS,ATL,0, -8,22:51,11,5,5,1,2,2,0,0,2,5,11
2021-02-19,BOS,ATL,0, +12,17:20,7,0,5,0,1,0,0,0,1,1,0
2021-02-21,BOS,NOP,1, -5,16:53,3,2,1,0,0,3,1,0,1,1,4
2021-02-23,BOS,DAL,1, -3,19:08,7,2,4,1,1,3,0,0,1,2,7
2021-02-24,BOS,ATL,1, -15,17:00,5,1,1,0,1,0,1,0,0,1,3
2021-02-26,BOS,IND,0, +6,30:19,6,4,1,1,4,1,0,0,0,2,9
2021-02-28,BOS,WAS,0, +1,20:39,9,3,2,1,5,2,0,0,1,2,7
2021-03-02,BOS,LAC,0, +5,23:19,8,5,7,4,2,3,1,0,1,2,14
2021-03-04,BOS,TOR,0, +7,24:24,4,3,3,2,2,4,2,0,1,4,10
2021-03-11,BOS,BRK,1, -12,13:27,5,1,3,1,0,2,0,0,0,0,3
2021-03-14,BOS,HOU,1, +27,13:30,6,3,5,3,0,3,0,0,1,3,9
2021-03-16,BOS,UTA,0, -8,11:57,0,0,0,0,0,1,0,0,0,1,0
2021-03-17,BOS,CLE,1, -7,18:47,4,3,1,0,1,1,1,0,0,1,7
2021-03-19,BOS,SAC,0, -11,19:45,6,2,3,2,4,0,1,0,0,1,6
2021-03-21,BOS,ORL,0, +16,10:52,4,2,3,1,0,0,0,0,1,2,5
2021-03-22,BOS,MEM,1, -6,16:44,6,2,4,2,2,3,0,1,0,1,6
2021-03-24,BOS,MIL,1, -2,4:07,3,1,3,1,0,0,0,0,0,2,3
2021-03-26,BOS,MIL,1, +8,19:43,6,2,5,2,3,1,1,0,1,1,7
2021-03-27,BOS,OKC,1, +17,23:12,10,6,1,0,7,2,1,0,0,3,12
2021-03-29,BOS,NOP,0, -6,15:16,6,4,4,3,5,0,1,1,1,2,11
2021-03-31,BOS,DAL,0, -5,15:54,4,2,4,2,2,0,0,0,0,2,8
2021-04-02,BOS,HOU,0, +16,15:14,2,0,2,0,0,1,1,0,0,2,0
2021-04-04,BOS,CHO,0, +30,17:02,8,2,4,1,3,2,1,0,0,2,5
2021-04-06,BOS,PHI,0, -10,8:36,3,2,3,2,1,0,1,0,1,1,6
2021-04-07,BOS,NYK,0, +2,16:27,4,1,3,0,2,3,0,0,1,0,2
2021-04-09,BOS,MIN,0, +9,12:22,5,3,2,1,0,1,1,0,0,0,7
2021-04-11,BOS,DEN,1, +18,9:41,1,0,0,0,2,0,0,0,1,0,0
2021-04-13,BOS,POR,1, +1,11:54,7,1,3,0,2,1,0,0,1,1,2
2021-04-15,BOS,LAL,1, +8,19:49,11,5,6,3,7,3,0,0,1,1,15
2021-04-17,BOS,GSW,0, +5,21:59,9,4,6,3,3,1,0,1,0,1,11
2021-04-19,BOS,CHI,0, -6,31:26,8,5,3,2,1,3,1,0,2,1,14
2021-04-22,BOS,PHO,0, +13,20:41,8,3,7,2,4,0,1,0,0,0,10
2021-04-23,BOS,BRK,1, -5,23:37,12,8,7,6,3,2,0,1,0,1,22
