Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-28,DEN,HOU,0,13,4.12,1,1,0,0,1,0,0,0,0,1,2
2020-12-29,DEN,SAC,1,-10,0.4,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,DEN,PHO,0,-3,1.62,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,DEN,MIN,1,15,0.92,1,0,0,0,1,0,0,0,1,0,0
2021-01-05,DEN,MIN,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,DEN,PHI,1,12,5.37,2,1,1,0,0,0,0,0,0,0,2
2021-01-10,DEN,NYK,1,25,3.73,1,1,0,0,0,0,0,0,0,1,2
2021-01-12,DEN,BRK,1,-6,0.02,0,0,0,0,0,0,0,0,0,0,0
2021-01-19,DEN,OKC,0,18,6.65,2,0,0,0,2,0,0,0,1,0,2
2021-01-25,DEN,DAL,1,4,5.75,1,0,0,0,1,0,0,0,0,1,0
2021-01-27,DEN,MIA,1,27,7.67,2,0,1,0,0,0,2,0,1,1,0
2021-01-29,DEN,SAS,1,-10,0.57,1,1,0,0,0,0,0,0,0,0,2
2021-01-31,DEN,UTA,0,11,6.0,0,0,0,0,1,0,1,0,2,0,0
2021-02-04,DEN,LAL,1,-21,2.88,1,0,0,0,1,1,0,0,1,1,0
2021-02-06,DEN,SAC,1,-5,27.48,6,3,1,1,10,2,0,1,1,2,7
2021-02-08,DEN,MIL,0,-13,16.75,2,1,1,1,7,2,0,0,0,0,3
2021-02-10,DEN,CLE,0,38,19.08,7,4,2,1,4,3,2,1,1,0,9
2021-02-12,DEN,OKC,0,2,18.88,6,3,4,1,4,1,0,0,1,2,7
2021-02-14,DEN,LAL,0,17,20.38,6,1,3,0,4,1,0,0,1,3,4
2021-02-16,DEN,BOS,1,-13,23.92,6,2,2,0,4,0,0,0,0,3,4
2021-02-17,DEN,WAS,1,-2,7.3,2,1,1,1,0,0,0,0,0,1,3
2021-02-19,DEN,CLE,1,17,20.38,4,2,2,0,2,1,0,0,0,3,5
2021-02-21,DEN,ATL,1,-8,10.73,2,1,0,0,2,1,0,0,1,2,2
2021-02-27,DEN,OKC,1,30,9.23,5,2,0,0,3,0,0,0,0,0,6
2021-03-24,DEN,TOR,1,-24,13.27,2,1,0,0,3,2,0,0,0,1,4
2021-03-28,ORL,LAL,1,-3,17.15,8,4,2,1,3,1,1,0,2,1,10
2021-03-30,ORL,LAC,1,7,13.68,5,2,1,0,3,1,0,0,0,0,5
2021-04-01,ORL,NOP,1,5,17.5,6,3,1,0,4,1,1,0,1,1,8
2021-04-03,ORL,UTA,1,-46,30.8,14,5,2,0,8,2,1,1,2,1,12
2021-04-04,ORL,DEN,1,-10,32.73,13,7,5,2,4,3,2,0,1,3,16
2021-04-07,ORL,WAS,0,-15,27.5,10,5,5,3,6,1,0,0,0,2,14
2021-04-09,ORL,IND,0,-5,18.6,4,3,1,0,2,0,1,1,3,1,6
2021-04-11,ORL,MIL,0,-37,26.03,11,3,5,1,3,3,2,0,3,1,7
2021-04-12,ORL,SAS,0,-23,26.48,10,7,2,1,8,0,0,0,2,2,16
2021-04-14,ORL,CHI,1,9,17.78,4,0,3,0,1,0,1,1,0,1,2
2021-04-16,ORL,TOR,1,-11,19.1,8,3,2,0,4,1,1,0,1,1,7
2021-04-18,ORL,HOU,0,-4,21.53,7,2,2,0,3,6,0,0,3,1,7
2021-04-20,ORL,ATL,1,-16,21.0,8,3,3,1,5,1,0,0,2,3,8
2021-04-22,ORL,NOP,0,-35,26.93,13,5,1,0,3,2,2,1,1,3,10
2021-04-25,ORL,IND,0,-19,28.97,10,5,4,2,2,2,0,0,1,2,14
2021-04-26,ORL,LAL,0,-11,24.63,4,1,2,0,2,1,0,0,3,4,5
2021-04-28,ORL,CLE,1,5,20.35,5,2,1,0,7,2,1,0,0,2,4
2021-04-30,ORL,MEM,1,-17,22.85,8,3,4,1,4,1,0,0,5,2,11
2021-05-01,ORL,MEM,0,1,30.27,14,7,3,2,7,5,2,1,0,1,18
2021-05-03,ORL,DET,1,7,35.18,11,5,2,1,7,10,1,2,1,0,16
2021-05-05,ORL,BOS,0,-36,31.37,14,6,2,1,10,5,0,0,1,0,18
2021-05-07,ORL,CHO,1,-10,29.7,15,7,3,0,5,3,0,0,0,3,16
2021-05-09,ORL,MIN,0,-32,28.8,13,7,4,2,5,3,0,0,1,2,19
2021-05-11,ORL,MIL,1,-12,24.73,12,5,1,0,4,5,0,0,3,2,11
2021-05-13,ORL,ATL,1,-23,31.73,15,7,5,4,8,5,0,1,3,0,18
2021-05-14,ORL,PHI,1,-25,29.62,11,4,3,0,11,9,0,0,3,0,12
