Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NYK,IND,1, -14,34:22,15,11,3,3,8,5,0,0,1,3,26
2020-12-26,NYK,PHI,0, -20,37:04,15,2,6,0,6,4,0,0,4,0,10
2020-12-27,NYK,MIL,0, +20,38:15,17,7,4,0,8,4,1,0,2,4,17
2020-12-29,NYK,CLE,1, +9,38:45,15,4,3,0,7,2,2,0,2,2,12
2020-12-31,NYK,TOR,1, -17,36:56,19,4,8,0,8,3,1,0,2,2,12
2021-01-02,NYK,IND,1, +4,42:16,15,8,5,4,5,3,0,0,1,1,25
2021-01-04,NYK,ATL,1, +5,43:45,19,10,5,1,11,5,2,0,0,2,26
2021-01-06,NYK,UTA,0, +12,33:20,14,4,3,0,5,1,3,1,2,3,9
2021-01-08,NYK,OKC,0, -12,44:14,21,7,5,1,8,2,1,1,0,4,19
2021-01-10,NYK,DEN,0, -25,33:21,13,4,3,0,9,4,0,0,3,1,9
2021-01-11,NYK,CHO,1, -21,34:52,18,5,5,0,9,5,0,0,1,2,11
2021-01-13,NYK,BRK,0, -7,38:06,15,7,4,1,5,3,0,0,0,2,20
2021-01-15,NYK,CLE,1, -3,32:58,12,7,4,2,4,3,0,2,3,2,20
2021-01-17,NYK,BOS,1, +30,29:14,11,5,4,2,11,3,2,0,4,3,19
2021-01-18,NYK,ORL,0, +7,38:19,19,9,3,0,10,4,0,1,3,2,22
2021-01-21,NYK,GSW,1, +15,36:45,17,10,3,2,2,5,0,0,2,4,28
2021-01-22,NYK,SAC,1, -9,35:53,17,8,2,2,7,3,0,0,3,4,21
2021-01-24,NYK,POR,1, -3,22:46,9,4,2,0,4,2,0,0,0,2,8
2021-01-26,NYK,UTA,1, -14,40:22,11,7,3,3,3,4,1,0,1,2,17
2021-01-29,NYK,CLE,0, +21,39:49,19,8,5,2,4,2,2,0,3,5,24
2021-01-31,NYK,LAC,0, -14,30:31,14,9,1,0,2,2,2,0,2,3,23
2021-02-01,NYK,CHI,1, -8,30:18,17,7,3,0,8,3,0,0,2,5,14
