Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,WAS,PHI,1,-6,9.7,1,0,0,0,2,3,0,0,1,0,0,0,0,2,-14
2020-12-26,WAS,ORL,0,-10,9.15,4,4,3,3,0,0,0,0,0,0,0,1,2,11,-9
2020-12-27,WAS,ORL,0,-7,32.22,17,10,8,2,0,0,2,4,5,3,0,2,2,22,1
2020-12-29,WAS,CHI,0,-8,14.73,7,1,6,0,0,0,0,1,0,0,0,0,1,2,-11
2020-12-31,WAS,CHI,0,-3,21.8,7,5,3,3,2,2,0,4,1,3,0,0,2,15,3
2021-01-01,WAS,MIN,1,21,22.33,7,5,2,2,0,0,0,0,2,2,0,1,0,12,16
2021-01-03,WAS,BRK,1,1,14.37,4,2,1,1,0,0,0,0,1,0,0,0,2,5,-3
2021-01-06,WAS,PHI,1,-5,11.57,4,2,2,1,0,0,0,0,2,1,0,0,3,5,10
2021-01-08,WAS,BOS,1,-9,5.78,1,1,0,0,0,0,0,0,1,0,0,1,2,2,-7
2021-01-09,WAS,MIA,0,-4,20.0,9,2,2,0,2,3,1,3,3,2,0,2,0,6,-9
2021-01-11,WAS,PHO,0,21,24.6,13,7,6,2,0,1,0,2,2,0,0,2,2,16,2
2021-01-26,WAS,HOU,1,-19,22.45,10,3,6,2,0,0,2,5,1,3,1,1,1,8,-12
2021-01-27,WAS,NOP,1,-18,20.47,7,1,2,0,0,0,2,4,2,0,0,0,1,2,-7
2021-01-29,WAS,ATL,0,-16,19.87,5,2,1,1,0,0,1,2,1,0,0,1,1,5,-1
2021-02-07,WAS,CHO,1,-22,16.25,10,4,5,2,0,0,0,2,1,2,0,0,1,10,7
2021-02-08,WAS,CHI,1,4,16.72,6,3,1,0,0,0,0,1,4,0,0,0,0,6,-9
2021-02-10,WAS,TOR,0,-22,27.28,7,2,5,1,1,2,0,6,4,1,0,1,2,6,-5
2021-02-12,WAS,NYK,0,-18,14.97,5,2,0,0,0,0,0,4,2,1,1,0,2,4,-2
2021-02-14,WAS,BOS,0,13,24.47,3,1,1,0,2,2,1,3,1,1,0,0,1,4,3
2021-02-15,WAS,HOU,0,12,26.6,9,4,2,0,4,4,1,4,0,1,0,1,2,12,10
2021-02-17,WAS,DEN,0,2,20.28,5,5,1,1,3,3,0,2,1,1,0,0,0,14,2
2021-02-20,WAS,POR,1,7,23.85,5,1,3,1,2,2,0,6,3,1,0,1,1,5,2
2021-02-22,WAS,LAL,1,3,21.78,8,2,2,0,0,0,2,5,3,2,0,0,0,4,5
2021-02-23,WAS,LAC,1,-19,20.13,6,4,2,2,1,2,0,1,1,0,0,0,0,11,-7
2021-02-25,WAS,DEN,1,2,28.23,10,5,3,1,4,4,0,2,4,5,0,0,4,15,5
