Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NYK,IND,1,-14,25.63,10,4,8,3,1,2,1,0,0,3,11
2020-12-26,NYK,PHI,0,-20,27.38,7,2,4,1,3,2,0,0,0,4,6
2020-12-27,NYK,MIL,0,20,16.88,5,2,2,1,3,1,0,0,1,2,7
2020-12-29,NYK,CLE,1,9,40.98,13,6,9,5,7,0,1,1,3,3,17
2020-12-31,NYK,TOR,1,-17,38.08,15,3,9,0,5,3,1,1,1,5,6
2021-01-02,NYK,IND,1,4,33.33,6,2,5,2,7,1,1,0,1,4,6
2021-01-04,NYK,ATL,1,5,25.85,6,3,2,0,3,3,0,0,2,1,7
2021-01-06,NYK,UTA,0,12,29.57,8,5,3,2,7,0,1,0,0,2,12
2021-01-08,NYK,OKC,0,-12,24.4,8,3,2,0,7,0,1,0,0,2,6
2021-01-10,NYK,DEN,0,-25,24.85,8,3,1,1,3,1,0,0,1,2,7
2021-01-15,NYK,CLE,1,-3,30.87,5,2,2,0,1,2,2,0,1,2,4
2021-01-17,NYK,BOS,1,30,28.17,9,4,8,3,7,0,1,0,1,2,11
2021-01-18,NYK,ORL,0,7,30.33,11,4,8,2,3,2,1,0,1,0,13
2021-01-21,NYK,GSW,1,15,17.05,8,4,5,4,2,0,1,0,0,4,12
2021-01-22,NYK,SAC,1,-9,21.0,3,0,1,0,3,2,0,0,0,3,0
2021-01-31,NYK,LAC,0,-14,26.08,6,3,3,2,1,1,0,1,0,1,8
2021-02-01,NYK,CHI,1,-8,21.82,7,1,4,0,2,1,1,0,0,1,4
2021-02-03,NYK,CHI,1,4,27.42,7,4,3,1,4,0,0,0,2,2,9
2021-02-06,NYK,POR,0,11,26.07,6,4,4,2,1,1,0,2,0,1,10
2021-02-07,NYK,MIA,0,-6,31.07,17,7,14,7,3,2,4,0,2,3,21
2021-02-09,NYK,MIA,1,-2,23.17,4,3,2,1,3,3,0,0,0,4,9
2021-02-12,NYK,WAS,1,18,18.5,7,2,5,2,3,1,1,0,0,5,6
2021-02-13,NYK,HOU,0,22,25.18,5,3,5,3,3,1,0,0,0,2,9
2021-02-15,NYK,ATL,0,11,22.17,7,3,5,2,2,2,0,0,1,3,8
2021-02-17,NYK,ORL,1,-18,33.17,2,1,1,0,3,3,1,1,1,1,4
2021-02-21,NYK,MIN,0,4,30.98,8,3,6,1,2,0,0,0,1,0,10
2021-02-23,NYK,GSW,0,-8,18.5,6,2,3,1,4,0,0,0,0,1,7
2021-02-25,NYK,SAC,0,19,19.72,8,4,6,2,1,1,1,0,1,1,10
2021-02-27,NYK,IND,0,3,26.87,11,4,4,1,5,2,0,0,1,3,9
2021-02-28,NYK,DET,1,19,21.8,5,3,3,3,5,3,0,0,1,1,9
2021-03-02,NYK,SAS,1,-26,21.72,3,1,2,1,1,0,0,1,1,0,3
2021-03-04,NYK,DET,0,10,32.52,13,4,9,2,4,2,1,0,0,1,12
2021-03-11,NYK,MIL,1,-33,20.58,6,2,6,2,1,0,0,0,0,3,8
2021-03-13,NYK,OKC,1,22,36.97,12,5,11,4,2,1,0,0,0,3,14
2021-03-15,NYK,BRK,1,-5,42.35,12,7,10,5,6,1,1,0,1,4,19
2021-03-16,NYK,PHI,1,-3,29.1,7,4,5,3,5,0,2,0,2,5,12
2021-03-18,NYK,ORL,0,1,35.65,16,7,13,6,3,3,3,0,1,1,20
2021-03-21,NYK,PHI,0,-1,46.6,5,2,3,2,4,3,2,0,2,3,6
2021-03-23,NYK,WAS,0,18,30.83,7,3,7,3,2,3,1,1,0,1,10
2021-03-29,NYK,MIA,0,-10,22.13,5,1,4,0,3,0,0,0,1,3,3
2021-03-31,NYK,MIN,1,-1,38.65,6,4,4,2,4,3,2,0,1,1,10
2021-04-02,NYK,DAL,0,-13,22.42,10,4,9,4,2,1,0,0,0,2,13
2021-04-03,NYK,DET,1,44,27.75,12,8,10,6,5,1,1,0,0,0,22
2021-04-05,NYK,BRK,1,-2,31.33,11,6,10,5,3,2,0,0,0,4,21
2021-04-07,NYK,BOS,1,-2,25.9,8,2,7,2,3,1,1,0,1,1,6
2021-04-09,NYK,MEM,0,4,20.45,5,3,4,2,1,1,0,0,0,1,8
2021-04-11,NYK,TOR,0,6,27.37,11,4,8,2,3,0,4,0,1,1,10
2021-04-12,NYK,LAL,0,15,30.97,12,4,10,3,2,3,2,0,0,3,12
2021-04-14,NYK,NOP,1,10,35.12,10,6,7,4,4,2,0,0,1,2,16
2021-04-16,NYK,DAL,1,8,40.72,10,4,6,2,5,1,1,0,2,3,11
2021-04-18,NYK,NOP,0,10,36.68,8,6,5,3,4,1,0,0,0,6,15
2021-04-20,NYK,CHO,0,12,37.62,12,5,12,5,4,4,1,1,1,1,16
2021-04-21,NYK,ATL,0,10,40.23,11,6,11,6,3,4,1,0,1,2,18
2021-04-24,NYK,TOR,0,17,37.03,10,6,7,3,3,2,0,0,0,0,16
2021-04-26,NYK,PHO,0,-8,29.27,11,6,8,4,3,2,1,0,1,5,17
2021-04-28,NYK,CHI,0,19,36.0,8,4,5,3,4,2,0,0,0,0,13
2021-05-02,NYK,HOU,1,25,26.28,7,4,6,3,3,1,1,0,0,3,11
2021-05-03,NYK,MEM,1,14,33.55,9,4,6,2,5,1,1,0,1,3,13
2021-05-05,NYK,DEN,1,-16,24.02,9,4,7,3,2,2,1,0,1,2,14
2021-05-07,NYK,PHO,1,-23,37.62,11,3,8,2,3,3,0,0,1,3,12
2021-05-09,NYK,LAC,1,6,45.58,17,8,12,5,4,3,2,1,1,1,24
2021-05-11,NYK,LAL,1,-2,45.72,9,2,5,1,5,1,0,0,1,4,5
2021-05-13,NYK,SAS,0,4,38.85,9,3,8,2,4,3,3,0,1,5,8
2021-05-15,NYK,CHO,0,9,40.43,12,6,9,5,6,0,0,0,0,0,17
2021-05-16,NYK,BOS,0,4,34.38,9,6,7,4,3,2,1,1,0,1,16
