Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,LAC,LAL,1,7,3.35,3,0,2,0,0,0,0,1,0,0,0,0,1,0,-1
2020-12-25,LAC,DEN,1,13,13.05,6,2,4,1,0,0,0,1,3,0,0,0,2,5,-4
2020-12-27,LAC,DAL,0,-51,20.9,6,3,5,2,0,0,0,3,1,0,0,2,0,8,-21
2020-12-29,LAC,MIN,0,23,26.05,9,4,4,2,1,2,1,4,4,4,1,0,2,11,10
2020-12-30,LAC,POR,0,23,21.62,6,4,4,2,1,3,0,1,2,0,0,0,3,11,-1
2021-01-01,LAC,UTA,1,-6,3.37,1,0,1,0,0,0,0,0,0,0,0,1,0,0,-12
2021-01-03,LAC,PHO,1,5,15.68,4,3,1,1,0,0,0,2,6,0,0,0,1,7,16
2021-01-05,LAC,SAS,0,-3,15.95,7,3,4,2,0,0,0,1,1,0,0,2,3,8,-21
2021-01-06,LAC,GSW,1,7,8.22,5,3,1,0,0,0,0,2,3,0,0,0,1,6,3
2021-01-08,LAC,GSW,1,-10,6.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2
2021-01-15,LAC,SAC,1,38,18.12,9,4,6,3,0,0,0,4,3,1,0,0,2,11,19
2021-01-17,LAC,IND,0,33,13.95,8,3,2,0,0,0,0,3,3,0,0,3,2,6,12
2021-01-20,LAC,SAC,0,19,2.33,2,0,1,0,0,0,0,0,1,0,0,0,0,0,4
2021-01-24,LAC,OKC,0,8,19.72,8,4,4,2,4,6,0,0,1,0,0,1,1,14,-6
2021-01-26,LAC,ATL,1,-9,39.17,16,8,6,2,2,2,1,7,8,2,1,2,3,20,-1
2021-01-28,LAC,MIA,1,4,36.62,15,6,8,3,1,2,0,8,6,1,0,3,4,16,4
2021-01-29,LAC,ORL,1,26,24.6,7,4,4,2,0,0,1,4,3,2,0,1,2,10,23
2021-01-31,LAC,NYK,1,14,25.67,12,6,6,3,3,4,2,5,3,0,0,0,2,18,8
2021-02-02,LAC,BRK,1,-4,34.7,9,3,6,2,1,1,0,5,4,2,0,2,3,9,-6
2021-02-03,LAC,CLE,1,22,23.42,3,0,1,0,0,0,0,5,3,0,0,0,0,0,19
2021-02-05,LAC,BOS,0,-4,20.97,4,0,1,0,2,2,0,2,5,0,0,2,3,2,-5
2021-02-07,LAC,SAC,0,-3,30.63,14,6,5,2,0,0,1,2,4,1,1,0,1,14,-5
2021-02-10,LAC,MIN,1,7,26.95,6,4,2,1,6,7,0,1,4,0,0,3,4,15,7
2021-02-12,LAC,CHI,1,19,23.97,11,5,3,1,0,0,0,1,4,1,0,0,0,11,6
2021-02-14,LAC,CLE,0,17,31.52,10,3,3,0,2,3,2,5,3,3,0,1,2,8,7
2021-02-15,LAC,MIA,0,7,24.08,6,2,3,0,2,2,0,1,8,0,0,0,4,6,-3
2021-02-17,LAC,UTA,0,-18,31.15,12,5,5,1,4,5,1,4,5,1,0,2,4,15,-13
2021-02-19,LAC,UTA,0,4,14.78,3,2,1,1,0,0,0,1,2,0,0,2,0,5,1
2021-02-21,LAC,BRK,0,-4,4.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2021-02-23,LAC,WAS,0,19,28.1,12,6,5,3,2,2,2,5,2,1,0,0,4,17,18
2021-02-25,LAC,MEM,1,-28,21.4,9,5,3,2,0,0,1,3,2,0,0,4,3,12,-8
2021-02-26,LAC,MEM,1,20,10.63,3,1,2,1,0,0,0,2,1,0,0,0,1,3,9
2021-02-28,LAC,MIL,1,-5,3.17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2021-03-02,LAC,BOS,1,-5,36.87,14,10,6,5,0,0,0,3,7,0,0,3,3,25,-10
2021-03-04,LAC,WAS,1,-2,28.17,10,5,6,2,0,0,1,4,1,0,0,1,2,12,-9
2021-03-11,LAC,GSW,0,26,23.33,7,1,3,1,2,2,0,6,4,0,0,1,3,5,29
2021-03-14,LAC,NOP,1,-20,24.0,12,7,6,4,0,0,0,1,2,0,0,1,1,18,-21
2021-03-15,LAC,DAL,1,10,25.98,11,5,4,2,0,0,0,3,3,1,0,0,0,12,22
2021-03-17,LAC,DAL,1,-16,19.27,8,2,3,0,1,2,0,2,1,2,0,1,2,5,-13
2021-03-20,LAC,CHO,0,27,20.5,5,3,3,1,0,0,0,5,2,0,0,2,3,7,23
2021-03-22,LAC,ATL,0,9,17.98,5,1,4,1,0,0,0,1,1,0,0,0,1,3,-5
2021-03-24,LAC,SAS,1,33,18.37,6,3,3,2,1,2,0,3,4,1,0,0,2,9,15
2021-03-25,LAC,SAS,1,13,39.28,16,8,10,5,7,7,1,4,4,0,0,2,2,28,14
2021-03-27,LAC,PHI,0,10,28.63,7,5,2,2,0,0,1,1,3,1,0,3,4,12,9
2021-03-29,LAC,MIL,0,24,21.88,15,8,6,4,0,0,0,2,3,0,0,3,1,20,14
2021-03-30,LAC,ORL,0,-7,33.77,18,6,11,3,0,0,0,3,7,1,0,2,4,15,-13
2021-04-01,LAC,DEN,0,-7,26.35,8,3,5,1,0,0,0,3,2,0,1,2,2,7,-7
2021-04-04,LAC,LAL,0,18,21.28,8,2,1,0,2,2,1,3,1,2,0,1,1,6,16
2021-04-06,LAC,POR,0,17,25.57,12,8,6,4,3,3,0,3,2,1,1,0,4,23,25
2021-04-08,LAC,PHO,0,10,23.63,7,3,4,2,0,0,1,3,3,0,0,1,2,8,13
2021-04-09,LAC,HOU,0,17,30.07,14,10,9,6,0,1,0,4,7,1,0,0,4,26,29
2021-04-11,LAC,DET,0,7,28.53,8,4,1,0,4,4,0,5,7,0,1,4,2,12,-13
2021-04-13,LAC,IND,1,11,29.48,7,1,3,0,4,5,1,5,4,2,0,1,3,6,13
2021-04-14,LAC,DET,1,2,37.07,24,12,6,3,2,2,1,6,1,0,0,1,3,29,3
2021-04-16,LAC,PHI,1,-3,37.33,13,4,7,4,1,2,0,4,4,0,0,2,2,13,1
2021-04-18,LAC,MIN,0,19,21.1,9,4,5,3,2,2,1,3,4,1,0,0,2,13,32
2021-04-20,LAC,POR,1,1,26.37,9,3,4,3,0,0,1,4,6,0,0,0,2,9,5
2021-04-23,LAC,HOU,1,5,31.85,17,7,6,3,2,2,2,5,5,2,0,1,2,19,8
2021-04-26,LAC,NOP,1,-17,19.83,9,4,3,1,0,0,0,1,5,0,0,1,2,9,-18
2021-04-28,LAC,PHO,1,-8,30.52,11,4,5,2,0,0,0,2,4,0,0,4,2,10,-14
