Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,SAC,DEN,1,2,22.98,6,3,0,0,9,1,0,1,1,6,6
2020-12-26,SAC,PHO,0,3,24.03,5,3,0,0,9,1,1,0,4,4,11
2020-12-27,SAC,PHO,0,-16,24.88,5,3,0,0,11,0,2,1,2,4,8
2020-12-29,SAC,DEN,0,10,32.0,13,10,0,0,5,3,2,1,1,2,20
2020-12-31,SAC,HOU,1,-3,35.97,13,10,0,0,13,2,2,1,1,5,22
2021-01-02,SAC,HOU,1,-8,33.03,8,4,0,0,9,0,0,2,0,3,11
2021-01-04,SAC,GSW,1,-31,18.75,4,2,0,0,3,0,1,0,1,5,4
2021-01-06,SAC,CHI,0,4,29.68,11,10,1,0,8,5,1,0,1,5,24
2021-01-08,SAC,TOR,0,-21,23.57,7,5,0,0,0,2,1,3,0,4,10
2021-01-11,SAC,IND,0,5,35.85,11,6,1,1,10,3,1,6,3,5,16
2021-01-13,SAC,POR,0,-6,34.68,6,6,0,0,9,6,0,1,0,4,17
2021-01-15,SAC,LAC,0,-38,30.48,11,8,1,0,5,1,0,0,1,4,17
2021-01-17,SAC,NOP,0,-5,42.18,12,7,1,0,7,1,1,2,0,5,16
2021-01-20,SAC,LAC,1,-19,35.33,7,4,0,0,7,4,1,1,2,2,8
2021-01-22,SAC,NYK,0,9,37.03,8,5,0,0,14,0,0,6,0,4,10
2021-01-27,SAC,ORL,1,14,31.78,11,8,0,0,12,3,0,0,2,5,20
2021-01-29,SAC,TOR,1,2,26.18,4,1,0,0,5,2,1,2,4,6,5
2021-01-30,SAC,MIA,1,-1,28.03,4,2,0,0,6,1,1,1,0,2,4
2021-02-01,SAC,NOP,1,9,33.12,7,6,0,0,10,3,0,6,4,4,17
2021-02-03,SAC,BOS,0,5,30.25,8,3,1,0,7,0,0,1,1,5,7
2021-02-06,SAC,DEN,0,5,30.25,13,9,0,0,10,1,0,2,1,3,21
2021-02-07,SAC,LAC,1,3,31.37,10,6,0,0,10,2,0,2,3,5,12
2021-02-09,SAC,PHI,0,-8,22.05,9,5,0,0,5,1,0,1,1,5,10
2021-02-12,SAC,ORL,0,-11,23.75,8,4,0,0,7,2,2,0,3,3,10
2021-02-14,SAC,MEM,0,-14,21.92,9,6,0,0,2,1,0,1,2,3,13
2021-02-21,SAC,MIL,1,-13,21.38,7,5,0,0,11,2,0,0,1,4,11
2021-02-23,SAC,BRK,1,-9,26.28,12,9,0,0,11,1,1,1,1,3,18
2021-02-25,SAC,NYK,1,-19,28.02,6,4,0,0,6,1,1,0,0,2,9
2021-02-26,SAC,DET,1,3,33.15,8,6,0,0,17,1,0,2,1,5,19
2021-02-28,SAC,CHO,0,-1,33.7,8,5,1,0,8,1,2,1,0,4,13
2021-03-03,SAC,LAL,0,3,29.98,12,8,0,0,9,1,0,1,1,2,16
2021-03-04,SAC,POR,1,-4,30.77,12,6,0,0,11,3,2,2,1,4,12
2021-03-11,SAC,HOU,0,20,34.53,11,9,0,0,11,2,0,1,0,1,20
2021-03-13,SAC,ATL,1,-15,35.35,15,9,0,0,12,1,0,1,3,4,20
2021-03-15,SAC,CHO,1,-6,40.98,13,8,0,0,15,6,2,4,1,3,17
2021-03-17,SAC,WAS,1,2,26.63,13,8,0,0,7,0,0,2,0,6,18
2021-03-19,SAC,BOS,1,11,32.22,11,7,1,1,11,2,2,3,0,2,25
2021-03-20,SAC,PHI,1,-24,29.97,10,4,0,0,4,2,0,0,2,4,10
2021-03-22,SAC,CLE,1,14,35.42,9,8,0,0,16,3,1,2,1,4,17
2021-03-24,SAC,ATL,0,2,29.73,12,7,1,0,8,1,1,2,0,4,16
2021-03-25,SAC,GSW,0,22,32.0,14,10,0,0,11,1,0,2,0,0,25
2021-03-27,SAC,CLE,0,2,33.9,11,5,0,0,14,0,0,5,3,3,10
2021-03-29,SAC,SAS,1,17,33.43,11,8,0,0,12,3,1,3,0,3,23
2021-03-31,SAC,SAS,1,-14,31.23,8,6,0,0,15,0,0,2,1,3,14
2021-04-02,SAC,LAL,0,-21,24.3,10,4,0,0,7,0,0,0,0,2,11
2021-04-03,SAC,MIL,0,-1,26.68,7,5,0,0,9,2,0,1,3,3,12
2021-04-05,SAC,MIN,1,-10,34.82,10,5,1,0,6,2,1,3,0,4,11
2021-04-08,SAC,DET,0,-12,25.05,8,5,0,0,9,1,2,2,2,4,15
2021-04-10,SAC,UTA,1,-16,33.65,13,10,1,0,10,1,1,1,2,3,25
2021-04-12,SAC,NOP,1,-7,16.42,2,0,0,0,4,1,0,0,0,2,0
2021-04-25,SAC,GSW,1,-4,22.23,6,4,0,0,5,0,0,1,0,0,11
2021-04-26,SAC,DAL,0,7,25.47,12,9,0,0,6,0,0,3,2,3,24
2021-04-28,SAC,UTA,0,-49,22.83,15,9,0,0,2,0,0,0,1,3,18
2021-04-30,SAC,LAL,1,4,30.57,14,9,1,0,9,3,0,1,2,4,22
2021-05-02,SAC,DAL,1,12,24.68,10,7,0,0,7,2,0,0,2,4,17
2021-05-04,SAC,OKC,1,4,30.88,12,6,0,0,7,3,0,1,3,2,13
2021-05-05,SAC,IND,1,11,31.28,11,6,0,0,3,2,2,2,2,5,12
2021-05-07,SAC,SAS,0,-9,32.72,12,7,0,0,5,5,1,2,1,6,15
2021-05-09,SAC,OKC,0,28,24.93,9,7,0,0,4,0,1,1,1,1,15
2021-05-11,SAC,OKC,0,16,26.48,6,4,0,0,7,1,1,0,0,3,13
2021-05-13,SAC,MEM,1,-6,10.68,5,1,0,0,2,2,0,3,0,0,3
