Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,MIN,DET,0,10,25.42,4,1,1,0,1,2,0,1,3,2,0,1,3,3,17
2020-12-26,MIN,UTA,1,5,26.7,8,3,3,1,2,2,0,4,6,1,0,1,4,9,6
2020-12-27,MIN,LAL,1,-36,18.1,8,4,4,1,0,0,1,4,4,0,0,0,1,9,-9
2020-12-29,MIN,LAC,1,-23,25.55,8,6,3,2,3,3,0,0,5,1,0,3,3,17,-13
2021-01-01,MIN,WAS,0,-21,25.25,4,1,2,1,0,0,1,2,5,2,0,3,2,3,-22
2021-01-03,MIN,DEN,0,-15,17.92,7,3,3,0,0,0,0,2,4,0,0,1,1,6,-3
2021-01-05,MIN,DEN,1,-7,21.37,3,0,1,0,0,0,0,4,2,1,0,2,5,0,-18
2021-01-07,MIN,POR,1,-18,28.55,4,0,1,0,2,2,1,5,10,5,0,2,2,2,-4
2021-01-09,MIN,SAS,0,-3,33.53,7,3,0,0,0,0,1,5,8,0,0,2,2,6,-5
2021-01-10,MIN,SAS,0,8,21.97,5,2,1,0,4,4,0,2,6,3,0,0,1,8,0
2021-01-13,MIN,MEM,0,-11,24.48,5,1,2,0,4,4,0,2,6,0,0,3,0,6,-16
2021-01-22,MIN,ATL,0,-18,14.72,6,2,2,0,0,1,0,4,5,3,0,3,0,4,-13
2021-01-23,MIN,NOP,0,10,28.48,4,1,1,0,7,10,1,7,7,1,0,4,2,9,2
2021-01-25,MIN,GSW,1,-22,25.6,8,1,1,0,4,4,2,4,11,1,0,4,1,6,-24
2021-01-27,MIN,GSW,1,-12,21.55,7,2,2,0,1,2,0,1,5,0,0,3,1,5,-15
2021-01-29,MIN,PHI,0,-24,18.25,6,2,0,0,0,0,0,2,4,1,0,4,3,4,-5
2021-01-31,MIN,CLE,0,5,20.45,4,2,0,0,4,4,0,3,8,1,0,1,1,8,2
2021-02-01,MIN,CLE,1,-2,19.47,4,1,1,0,0,0,0,5,4,0,0,1,2,2,0
2021-02-03,MIN,SAS,1,-3,27.68,10,4,1,0,0,0,0,7,7,1,0,2,2,8,-6
2021-02-05,MIN,OKC,1,3,23.88,4,1,1,0,1,1,0,4,8,3,0,4,1,3,2
2021-02-06,MIN,OKC,1,-2,24.33,6,3,1,0,2,2,0,3,6,1,0,3,3,8,-4
2021-02-08,MIN,DAL,1,-5,33.82,9,3,5,2,1,2,0,4,7,4,0,1,4,9,10
2021-02-10,MIN,LAC,0,-7,29.35,4,2,2,1,0,0,1,4,10,2,0,3,5,5,-2
2021-02-12,MIN,CHO,1,-6,28.07,8,2,3,0,1,1,1,4,9,0,0,2,5,5,0
2021-02-14,MIN,TOR,1,4,29.72,13,6,8,4,0,0,0,1,5,0,0,0,2,16,9
2021-02-16,MIN,LAL,0,-8,29.23,12,5,3,1,2,4,2,4,8,0,0,2,3,13,2
2021-02-17,MIN,IND,0,-6,35.27,13,6,6,3,5,5,0,3,13,1,0,1,1,20,-10
2021-02-19,MIN,TOR,0,-5,26.0,6,2,4,1,2,3,0,3,4,1,0,3,2,7,-2
2021-02-21,MIN,NYK,1,-4,27.33,12,7,5,3,1,3,0,0,6,1,0,1,2,18,-9
2021-02-23,MIN,MIL,1,-27,22.92,8,4,4,2,2,2,0,4,4,0,0,1,5,12,-7
2021-02-24,MIN,CHI,1,-7,32.72,6,2,1,0,5,5,1,1,10,0,0,0,2,9,1
2021-02-27,MIN,WAS,1,-16,25.47,4,1,1,1,3,4,1,2,3,2,0,2,3,6,-8
2021-02-28,MIN,PHO,0,-19,25.22,8,2,3,0,2,2,0,2,6,3,0,2,2,6,-12
2021-03-03,MIN,CHO,0,-33,24.37,11,7,6,4,2,2,1,4,9,1,0,5,1,20,-10
2021-03-11,MIN,NOP,1,30,27.38,6,1,2,0,4,4,1,1,8,2,1,2,0,6,10
2021-03-13,MIN,POR,0,-4,32.77,4,3,1,0,4,5,0,4,8,2,0,3,3,10,-4
2021-03-14,MIN,POR,0,2,29.5,10,3,5,1,8,8,0,5,7,0,0,1,3,15,-3
2021-03-16,MIN,LAL,1,-16,27.83,11,8,5,2,1,3,0,2,12,3,0,1,2,19,-9
2021-03-18,MIN,PHO,1,4,29.3,5,1,1,0,4,4,0,1,5,3,0,2,4,6,5
2021-03-19,MIN,PHO,1,-12,33.08,10,7,6,3,4,5,1,5,10,0,0,0,0,21,-9
2021-03-22,MIN,OKC,0,-9,33.88,10,4,5,1,2,2,2,5,11,2,0,1,1,11,5
2021-03-24,MIN,DAL,0,-20,30.5,7,1,5,1,0,0,1,2,7,1,0,3,3,3,-11
2021-03-26,MIN,HOU,0,6,27.27,7,0,3,0,2,2,0,3,8,1,0,1,2,2,5
2021-03-27,MIN,HOU,0,-22,26.57,5,1,4,1,1,1,0,4,10,3,1,2,2,4,-2
2021-03-29,MIN,BRK,1,-5,26.33,7,2,3,0,2,2,0,4,5,2,0,1,4,6,-6
2021-03-31,MIN,NYK,0,1,27.8,9,3,5,1,2,2,1,4,7,2,0,1,1,9,4
2021-04-05,MIN,SAC,0,10,26.65,5,1,3,0,2,2,0,1,5,1,1,2,1,4,-3
2021-04-07,MIN,IND,1,-4,29.83,11,4,3,1,8,9,0,5,7,3,0,0,1,17,7
