Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,POR,UTA,0,-20,21.42,3,0,3,0,1,2,0,4,3,1,0,0,2,1,-18
2020-12-26,POR,HOU,0,2,38.47,7,3,4,1,2,2,1,8,0,2,0,2,3,9,16
2020-12-28,POR,LAL,1,8,37.82,9,2,6,0,0,0,1,6,2,3,1,0,2,4,-5
2020-12-30,POR,LAC,1,-23,24.83,4,3,3,2,0,0,0,3,1,1,1,2,5,8,-22
2021-01-01,POR,GSW,1,25,36.48,8,2,7,2,2,2,0,11,2,1,1,1,0,8,29
2021-01-03,POR,GSW,1,-15,27.22,4,2,2,2,0,0,0,2,1,2,0,2,3,6,-8
2021-01-05,POR,CHI,0,-3,36.53,10,5,9,4,0,0,1,6,1,1,1,0,5,14,6
2021-01-07,POR,MIN,0,18,23.4,4,1,3,1,0,0,0,4,3,1,0,2,3,3,16
2021-01-09,POR,SAC,1,26,27.57,4,2,4,2,0,0,0,8,4,1,0,0,1,6,34
2021-01-11,POR,TOR,0,1,33.87,9,2,8,1,2,2,1,8,2,2,1,2,4,7,4
2021-01-13,POR,SAC,1,6,31.37,12,4,7,4,0,0,2,6,0,0,0,2,4,12,0
2021-01-14,POR,IND,0,-24,26.53,7,1,5,1,0,0,0,1,1,2,1,2,1,3,-10
2021-01-16,POR,ATL,0,6,27.97,13,1,7,1,0,0,2,10,3,1,1,1,3,3,0
2021-01-18,POR,SAS,0,-21,28.77,8,4,5,1,0,0,0,3,1,3,0,1,5,9,2
2021-01-24,POR,NYK,0,3,27.85,7,1,6,0,2,2,0,3,2,0,2,0,2,4,8
2021-01-30,POR,CHI,1,1,34.38,5,3,3,1,2,2,0,2,4,4,0,0,3,9,19
2021-02-01,POR,MIL,1,-28,27.87,9,2,5,1,0,0,2,8,2,2,0,2,2,5,-19
2021-02-02,POR,WAS,1,11,36.95,10,6,8,5,2,2,2,9,1,1,0,1,3,19,12
2021-02-04,POR,PHI,1,16,34.63,9,4,4,1,0,0,2,6,1,4,0,2,2,9,5
2021-02-06,POR,NYK,1,-11,36.42,10,4,9,3,2,2,2,10,1,2,1,1,1,13,-10
2021-02-09,POR,ORL,0,9,35.1,6,2,5,1,0,0,0,11,4,1,2,2,2,5,11
2021-02-11,POR,PHI,0,4,25.47,5,2,4,1,0,0,0,5,2,1,1,0,1,5,-2
2021-02-12,POR,CLE,0,19,22.0,3,1,3,1,0,0,0,4,0,0,1,1,2,3,27
2021-02-14,POR,DAL,1,3,38.55,7,5,4,4,1,2,2,5,0,4,0,0,3,15,4
2021-02-16,POR,OKC,1,11,36.65,7,2,5,2,0,0,2,9,5,0,6,0,3,6,7
2021-02-17,POR,NOP,1,2,38.23,6,5,3,2,0,0,0,8,1,2,4,1,3,12,12
2021-02-20,POR,WAS,0,-7,35.37,11,4,6,2,1,2,4,11,1,2,4,1,3,11,-5
2021-02-22,POR,PHO,1,-32,23.95,4,2,3,2,0,0,2,5,2,1,2,4,1,6,-18
2021-02-23,POR,DEN,1,-5,25.57,5,0,4,0,0,0,0,7,1,0,1,1,1,0,-1
2021-02-26,POR,LAL,1,-9,39.72,8,1,5,0,2,2,0,10,0,1,0,2,3,4,-6
2021-03-01,POR,CHO,0,12,38.43,11,8,7,5,0,0,1,10,2,2,2,2,2,21,18
2021-03-03,POR,GSW,0,2,37.87,12,5,9,3,2,4,0,9,1,2,3,0,2,15,-3
2021-03-04,POR,SAC,0,4,36.92,6,2,5,1,2,2,0,6,1,3,3,3,5,7,6
2021-03-11,POR,PHO,0,-6,34.38,11,5,6,3,0,0,0,6,2,2,1,0,2,13,8
2021-03-13,POR,MIN,1,4,31.5,4,3,4,3,0,0,0,6,3,0,1,1,0,9,4
2021-03-14,POR,MIN,1,-2,38.53,13,7,7,4,1,1,1,7,5,1,1,2,5,19,4
2021-03-16,POR,NOP,0,1,37.27,8,3,7,3,0,0,0,5,0,3,2,1,5,9,11
2021-03-18,POR,NOP,0,8,36.22,7,4,5,2,0,0,1,10,1,1,2,1,3,10,5
2021-03-19,POR,DAL,0,6,36.02,10,4,8,3,0,0,1,7,0,3,0,2,5,11,-2
2021-03-21,POR,DAL,0,-40,31.18,5,2,4,2,0,0,0,6,2,2,1,1,2,6,-25
2021-03-23,POR,BRK,0,-4,24.95,8,4,6,4,1,2,1,9,2,2,2,0,5,13,0
2021-03-25,POR,MIA,1,3,34.28,5,3,5,3,1,2,0,6,0,1,0,0,2,10,-14
2021-03-26,POR,ORL,1,7,30.1,6,4,5,3,4,4,1,8,5,1,4,1,2,15,1
2021-03-28,POR,TOR,1,5,36.0,11,4,8,3,2,2,3,12,2,3,4,1,5,13,3
2021-03-31,POR,DET,1,23,30.47,8,6,5,4,0,0,0,6,1,3,1,1,2,16,22
2021-04-02,POR,MIL,0,-18,34.23,11,6,11,6,0,0,0,7,0,0,0,0,3,18,-15
