Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,BOS,MIL,0,1,12.47,2,2,0,0,4,0,0,1,1,1,4
2020-12-27,BOS,IND,1,-1,21.57,7,6,0,0,4,1,4,2,1,3,12
2020-12-29,BOS,IND,1,5,10.8,4,4,0,0,5,0,0,0,1,1,8
2020-12-30,BOS,MEM,0,19,22.82,4,3,0,0,10,2,1,4,2,2,6
2021-01-01,BOS,DET,1,-3,11.35,2,0,1,0,5,0,0,1,0,0,0
2021-01-03,BOS,DET,1,2,17.17,4,2,0,0,5,2,2,1,2,1,5
2021-01-04,BOS,TOR,1,12,19.67,5,4,0,0,15,0,1,2,3,1,11
2021-01-06,BOS,MIA,1,2,14.67,3,3,0,0,4,0,1,1,1,1,8
2021-01-22,BOS,PHI,1,-12,15.82,2,0,0,0,4,1,0,1,1,2,2
2021-01-24,BOS,CLE,0,38,14.55,6,4,0,0,6,1,0,3,1,2,9
2021-01-25,BOS,CHI,1,16,9.87,1,0,0,0,4,0,0,1,1,1,0
2021-01-27,BOS,SAS,1,-4,13.22,3,3,0,0,7,1,1,1,1,1,6
2021-01-30,BOS,LAL,0,-1,18.48,5,5,0,0,7,2,2,2,1,4,10
2021-02-02,BOS,GSW,1,4,8.48,1,0,0,0,2,0,0,0,1,2,0
2021-02-03,BOS,SAC,1,-5,18.95,4,4,0,0,8,2,2,1,3,2,9
2021-02-05,BOS,LAC,1,4,15.4,8,5,0,0,2,0,2,0,0,1,10
2021-02-07,BOS,PHO,1,-9,10.02,1,0,0,0,2,0,0,0,0,0,1
2021-02-09,BOS,UTA,1,-14,12.57,3,2,0,0,4,0,0,0,0,2,6
2021-02-14,BOS,WAS,1,-13,10.52,3,1,0,0,2,1,1,1,1,3,5
2021-02-16,BOS,DEN,0,13,20.03,4,4,0,0,8,2,5,0,1,3,8
2021-02-17,BOS,ATL,0,-8,19.05,5,4,0,0,3,1,0,2,0,1,8
2021-02-19,BOS,ATL,0,12,16.45,8,6,0,0,7,0,2,4,0,4,12
2021-02-21,BOS,NOP,1,-5,21.12,6,4,0,0,13,3,0,4,1,3,8
2021-02-23,BOS,DAL,1,-3,14.08,3,2,0,0,3,0,0,1,0,1,4
2021-02-24,BOS,ATL,1,-15,14.42,5,3,0,0,4,1,0,1,0,1,6
2021-02-26,BOS,IND,0,6,22.03,8,6,0,0,11,4,1,2,1,3,14
2021-02-28,BOS,WAS,0,1,17.53,5,3,0,0,6,2,1,0,2,4,6
2021-03-02,BOS,LAC,0,5,21.68,5,4,0,0,8,4,0,3,1,1,13
2021-03-04,BOS,TOR,0,7,23.07,5,4,0,0,7,1,0,3,1,2,10
2021-03-11,BOS,BRK,1,-12,16.55,4,1,0,0,4,4,1,6,0,2,2
2021-03-14,BOS,HOU,1,27,19.25,7,7,0,0,13,1,1,3,2,2,16
2021-03-16,BOS,UTA,0,-8,21.75,10,7,0,0,9,1,0,2,2,1,14
2021-03-17,BOS,CLE,1,-7,26.58,7,6,0,0,14,3,2,4,1,4,13
2021-03-19,BOS,SAC,0,-11,22.45,8,6,0,0,8,2,0,2,3,2,12
2021-03-21,BOS,ORL,0,16,14.22,3,2,0,0,7,2,0,1,0,3,4
2021-03-22,BOS,MEM,1,-6,27.72,9,7,0,0,6,4,1,4,0,1,17
2021-03-24,BOS,MIL,1,-2,19.8,4,3,0,0,5,1,0,0,1,2,6
2021-03-26,BOS,MIL,1,8,27.0,5,3,0,0,9,6,2,5,0,2,7
2021-03-27,BOS,OKC,1,17,25.97,5,2,0,0,14,2,2,2,1,2,9
2021-03-29,BOS,NOP,0,-6,32.35,5,3,0,0,10,5,0,3,2,4,7
2021-04-02,BOS,HOU,0,16,25.82,9,9,0,0,9,8,1,2,0,1,20
2021-04-04,BOS,CHO,0,30,25.38,9,7,0,0,8,2,2,1,0,5,16
2021-04-06,BOS,PHI,0,-10,13.93,2,2,0,0,9,1,0,1,3,6,4
2021-04-07,BOS,NYK,0,2,24.83,7,3,0,0,10,0,0,2,1,2,6
2021-04-09,BOS,MIN,0,9,24.53,5,3,0,0,7,5,0,2,1,3,6
2021-04-11,BOS,DEN,1,18,26.63,6,5,0,0,8,1,1,2,2,3,10
2021-04-13,BOS,POR,1,1,25.67,12,8,1,0,7,4,0,0,1,2,16
2021-04-28,BOS,CHO,0,9,16.83,3,2,0,0,9,0,2,2,2,1,4
2021-04-30,BOS,SAS,0,3,23.45,6,4,0,0,9,3,0,1,0,0,10
2021-05-02,BOS,POR,0,-10,24.05,3,2,0,0,5,5,1,2,1,2,5
2021-05-05,BOS,ORL,1,36,21.22,5,4,0,0,6,1,1,2,1,2,8
2021-05-09,BOS,MIA,0,-6,11.45,2,2,0,0,2,2,0,0,0,0,4
