Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-27,SAC,PHO,0, -16,2:46,2,1,1,0,1,0,0,0,1,0,2
2021-01-04,SAC,GSW,1, -31,4:45,6,2,1,0,6,0,0,0,0,0,4
2021-01-08,SAC,TOR,0, -21,3:50,1,1,0,0,1,0,0,0,0,0,2
2021-01-09,SAC,POR,0, -26,2:14,1,1,1,1,0,0,0,0,0,0,3
2021-01-15,SAC,LAC,0, -38,2:51,1,1,0,0,0,0,0,0,0,0,2
2021-01-27,SAC,ORL,1, +14,0:39,0,0,0,0,0,0,0,0,0,0,0
2021-03-20,SAC,PHI,1, -24,3:28,1,0,1,0,0,0,0,0,0,1,3
2021-03-25,SAC,GSW,0, +22,1:00,1,0,0,0,0,0,0,0,0,0,0
2021-03-29,SAC,SAS,1, +17,1:11,0,0,0,0,1,0,0,1,0,0,0
2021-03-31,SAC,SAS,1, -14,2:46,0,0,0,0,2,0,0,0,0,0,0
2021-04-02,SAC,LAL,0, -21,3:11,1,1,0,0,0,0,0,1,0,1,2
2021-05-14,SAC,MEM,1, -1,5:32,2,0,2,0,2,1,0,0,0,1,0
2021-05-16,SAC,UTA,0, -22,11:09,4,1,0,0,3,1,0,1,0,1,2
