Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,POR,UTA,0, -20,13:50,3,0,0,0,3,2,0,0,0,0,0
2020-12-26,POR,HOU,0, +2,15:45,2,1,2,1,0,1,2,0,1,2,3
2020-12-28,POR,LAL,1, +8,15:32,6,2,2,1,1,3,1,0,1,1,5
2020-12-30,POR,LAC,1, -23,15:03,3,1,2,1,2,1,0,0,2,0,3
2021-01-01,POR,GSW,1, +25,5:22,0,0,0,0,1,0,0,0,0,0,0
2021-01-07,POR,MIN,0, +18,16:01,6,1,3,0,1,2,0,1,0,1,2
2021-01-09,POR,SAC,1, +26,14:57,5,0,3,0,2,4,2,0,1,3,0
2021-01-11,POR,TOR,0, +1,13:44,2,1,1,0,0,1,1,0,1,0,2
2021-01-13,POR,SAC,1, +6,10:10,2,0,0,0,0,0,0,1,0,2,0
2021-01-14,POR,IND,0, -24,10:28,1,0,1,0,1,0,0,0,0,2,0
2021-01-16,POR,ATL,0, +6,13:08,6,1,2,1,3,1,0,0,0,0,3
2021-01-18,POR,SAS,0, -21,25:25,14,9,6,2,2,2,1,0,3,0,21
2021-01-24,POR,NYK,0, +3,27:01,6,3,3,1,2,1,3,0,2,0,7
2021-01-28,POR,HOU,1, -3,19:40,5,1,1,0,2,1,1,0,0,3,2
2021-01-30,POR,CHI,1, +1,27:22,6,3,1,0,3,1,1,0,0,4,6
2021-02-01,POR,MIL,1, -28,16:50,5,2,2,1,1,1,1,0,1,0,5
2021-02-02,POR,WAS,1, +11,35:06,12,5,6,3,2,2,0,0,0,2,15
2021-02-04,POR,PHI,1, +16,34:12,14,7,2,2,5,3,1,0,2,2,16
2021-02-06,POR,NYK,1, -11,33:54,10,3,6,1,1,0,0,0,1,4,7
2021-02-09,POR,ORL,0, +9,16:59,2,0,0,0,1,1,1,0,0,1,0
2021-02-11,POR,PHI,0, +4,23:51,10,4,2,0,4,1,0,0,1,3,8
2021-02-12,POR,CLE,0, +19,12:28,5,2,0,0,1,0,0,0,1,3,4
2021-02-17,POR,NOP,1, +2,18:44,6,2,2,0,1,0,0,0,1,0,5
2021-02-20,POR,WAS,0, -7,16:59,3,0,3,0,1,1,1,0,2,2,1
2021-02-22,POR,PHO,1, -32,19:47,6,4,2,1,2,1,1,0,0,1,9
2021-02-23,POR,DEN,1, -5,17:24,5,1,1,0,0,0,0,1,2,1,2
2021-02-26,POR,LAL,1, -9,18:03,6,2,5,2,1,1,0,0,0,2,6
2021-03-01,POR,CHO,0, +12,24:02,6,3,3,2,2,1,0,0,1,2,8
2021-03-03,POR,GSW,0, +2,27:22,6,2,5,1,3,0,0,0,1,0,5
2021-03-04,POR,SAC,0, +4,16:11,5,2,1,0,2,0,0,0,1,1,4
2021-03-11,POR,PHO,0, -6,20:35,5,2,1,0,2,5,2,0,1,1,6
2021-03-13,POR,MIN,1, +4,21:48,4,2,2,0,0,1,0,1,1,2,6
2021-03-14,POR,MIN,1, -2,24:34,5,2,3,1,2,1,0,0,0,5,5
2021-03-16,POR,NOP,0, +1,10:57,3,1,2,1,1,0,0,0,0,0,3
2021-03-18,POR,NOP,0, +8,11:50,1,0,0,0,3,1,0,0,2,3,0
2021-03-19,POR,DAL,0, +6,22:11,5,2,3,2,8,2,1,0,1,1,6
2021-03-21,POR,DAL,0, -40,18:58,5,1,2,0,4,3,0,0,0,1,2
2021-03-23,POR,BRK,0, -4,20:05,5,1,4,1,3,2,0,0,1,4,3
2021-03-26,TOR,PHO,0, -4,18:05,2,1,1,0,1,0,0,0,1,1,2
2021-03-28,TOR,POR,0, -5,27:13,8,4,5,2,2,0,1,1,1,0,13
2021-03-29,TOR,DET,1, -14,20:25,5,2,3,1,1,0,0,0,0,4,7
2021-03-31,TOR,OKC,1, -10,5:37,1,0,1,0,0,0,0,0,0,1,0
2021-04-10,TOR,CLE,1, +20,17:34,5,2,4,2,4,2,0,1,1,1,6
2021-04-11,TOR,NYK,1, -6,11:16,4,1,3,1,1,0,0,0,0,2,3
2021-04-13,TOR,ATL,0, -5,17:58,10,3,4,1,6,0,0,0,1,1,8
2021-04-14,TOR,SAS,0, +5,14:57,5,2,0,0,3,1,0,0,0,1,4
2021-04-16,TOR,ORL,0, +11,17:07,6,2,3,1,0,1,0,0,0,0,7
2021-04-18,TOR,OKC,0, +6,7:04,0,0,0,0,0,0,0,1,0,0,2
2021-04-26,TOR,CLE,0, +16,6:39,1,0,0,0,2,1,0,0,0,0,0
2021-04-27,TOR,BRK,0, -13,0:26,1,0,0,0,0,0,0,0,0,0,0
2021-04-29,TOR,DEN,1, -10,12:03,2,0,1,0,1,0,1,0,1,2,0
2021-05-02,TOR,LAL,1, +7,11:12,2,1,1,1,3,1,1,0,0,1,7
2021-05-04,TOR,LAC,1, -5,3:28,2,1,1,0,0,0,0,0,0,0,2
2021-05-06,TOR,WAS,0, -2,11:39,3,1,2,0,5,0,0,0,0,1,2
2021-05-08,TOR,MEM,0, -10,13:35,2,1,0,0,1,0,1,0,0,0,3
