Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,UTA,POR,1,20,28.13,10,8,0,0,4,6,4,17,2,1,0,2,2,20,15
2020-12-26,UTA,MIN,0,-5,29.05,10,7,0,0,4,6,7,16,2,0,1,4,4,18,7
2020-12-28,UTA,OKC,1,1,36.82,8,6,0,0,0,0,0,10,4,1,4,1,1,12,5
2020-12-31,UTA,PHO,0,-11,34.18,9,7,0,0,4,8,2,14,0,1,1,1,3,18,-9
2021-01-01,UTA,LAC,0,6,24.47,10,5,0,0,2,4,2,9,1,1,1,0,4,12,0
2021-01-03,UTA,SAS,1,21,27.45,7,2,0,0,3,6,2,16,1,0,6,4,1,7,18
2021-01-05,UTA,BRK,1,-34,27.17,10,3,0,0,4,5,6,11,3,0,2,0,1,10,-15
2021-01-06,UTA,NYK,1,-12,35.0,9,7,0,0,0,3,2,11,2,0,5,0,1,14,-18
2021-01-08,UTA,MIL,1,13,33.1,9,4,0,0,1,4,4,14,0,1,4,2,1,9,13
2021-01-10,UTA,DET,1,10,33.57,5,1,0,0,2,6,6,19,1,0,4,4,2,4,7
2021-01-12,UTA,CLE,1,30,25.35,7,2,0,0,0,2,2,10,0,1,1,2,3,4,13
2021-01-15,UTA,ATL,0,24,28.02,7,6,0,0,3,6,3,13,1,0,4,1,1,15,23
2021-01-17,UTA,DEN,1,4,32.93,5,4,0,0,7,13,4,13,1,0,2,1,3,15,8
2021-01-19,UTA,NOP,0,16,29.83,8,6,0,0,1,6,6,18,1,1,3,0,1,13,22
2021-01-21,UTA,NOP,0,11,29.6,8,6,0,0,0,0,1,11,2,0,4,2,2,12,19
2021-01-23,UTA,GSW,0,19,24.1,6,4,0,0,3,4,4,14,2,0,1,0,1,11,38
2021-01-26,UTA,NYK,0,14,31.5,13,8,0,0,2,2,7,19,2,0,4,0,2,18,27
2021-01-27,UTA,DAL,0,12,37.48,20,11,0,0,7,11,6,20,1,3,3,2,2,29,12
2021-01-29,UTA,DAL,0,19,25.43,7,5,0,0,7,8,5,12,0,0,2,4,5,17,14
2021-01-31,UTA,DEN,1,-11,25.5,7,4,0,0,4,8,6,8,1,0,1,0,2,12,-15
2021-02-02,UTA,DET,0,12,29.48,4,2,0,0,5,6,1,7,2,0,3,3,3,9,-7
2021-02-04,UTA,ATL,1,21,27.15,12,5,0,0,1,2,4,12,2,0,2,1,0,11,14
2021-02-05,UTA,CHO,1,17,26.67,4,4,0,0,4,5,2,15,0,0,4,3,5,12,9
2021-02-07,UTA,IND,1,8,30.8,9,7,0,0,2,9,2,16,0,0,3,1,3,16,4
2021-02-09,UTA,BOS,0,14,36.48,9,8,0,0,2,3,3,12,3,0,3,4,3,18,23
2021-02-12,UTA,MIL,0,14,34.68,12,9,0,0,9,13,4,12,0,0,4,2,5,27,5
2021-02-13,UTA,MIA,0,18,30.2,7,6,1,0,4,5,1,12,0,0,3,2,1,16,17
2021-02-15,UTA,PHI,0,11,31.78,3,3,0,0,5,8,1,9,2,1,2,1,3,11,5
2021-02-17,UTA,LAC,1,18,31.72,12,8,0,0,7,8,5,20,1,1,1,0,0,23,25
2021-02-19,UTA,LAC,1,-4,31.45,7,4,0,0,0,0,4,15,1,0,3,3,2,8,-5
2021-02-22,UTA,CHO,0,22,29.82,4,3,0,0,4,4,3,12,1,0,6,4,3,10,24
2021-02-24,UTA,LAL,0,25,26.9,12,8,0,0,2,3,1,9,0,0,1,3,1,18,14
2021-02-26,UTA,MIA,1,-8,36.85,7,4,0,0,7,7,2,12,1,1,2,1,2,15,-2
2021-02-27,UTA,ORL,1,15,30.27,6,6,0,0,0,4,1,16,3,1,2,3,1,12,16
2021-03-01,UTA,NOP,1,-5,33.37,13,9,0,0,4,6,2,9,1,1,5,0,3,22,2
2021-03-03,UTA,PHI,1,-8,38.47,10,4,0,0,4,6,5,9,4,2,1,3,5,12,-9
2021-03-12,UTA,HOU,0,15,32.4,9,5,0,0,4,6,2,13,1,0,6,2,1,14,9
2021-03-14,UTA,GSW,1,-12,32.47,10,8,0,0,8,13,8,28,1,2,4,0,5,24,11
2021-03-16,UTA,BOS,1,8,33.12,6,5,0,0,6,7,1,12,1,0,4,4,3,16,14
2021-03-18,UTA,WAS,1,-9,33.07,8,4,1,0,2,10,5,13,0,2,2,0,3,10,-4
