Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-31,WAS,CHI,0,-3,25.22,8,5,2,2,5,3,1,0,2,1,17
2021-01-01,WAS,MIN,1,21,19.48,8,3,0,0,4,2,0,0,1,3,11
2021-01-03,WAS,BRK,1,1,33.4,11,6,3,0,2,3,1,0,1,4,15
2021-01-06,WAS,PHI,1,-5,24.15,4,2,1,1,2,0,0,0,0,1,8
2021-01-08,WAS,BOS,1,-9,37.2,12,7,3,1,5,3,2,0,1,3,17
2021-01-09,WAS,MIA,0,-4,25.8,18,8,3,0,5,2,0,0,0,4,17
2021-01-11,WAS,PHO,0,21,28.37,9,4,1,0,9,3,0,1,0,1,10
2021-01-29,WAS,ATL,0,-16,24.08,9,3,2,1,5,1,0,0,1,4,9
2021-01-31,WAS,BRK,0,3,28.65,9,2,4,1,5,2,0,0,0,1,9
2021-02-02,WAS,POR,0,-11,34.0,12,10,4,3,5,1,0,1,1,2,24
2021-02-03,WAS,MIA,1,3,35.4,11,3,2,0,9,5,1,0,3,1,11
2021-02-05,WAS,MIA,1,-27,27.0,13,4,6,2,2,3,0,0,2,1,12
2021-02-07,WAS,CHO,1,-22,22.92,6,1,1,1,6,0,1,0,0,0,5
2021-02-08,WAS,CHI,1,4,36.32,13,7,3,1,10,0,0,0,2,3,19
2021-02-10,WAS,TOR,0,-22,32.28,14,6,5,1,7,3,1,0,2,3,15
2021-02-12,WAS,NYK,0,-18,32.75,11,4,2,0,5,0,0,0,1,3,10
2021-02-14,WAS,BOS,0,13,22.3,9,5,2,0,4,1,1,0,1,2,15
2021-02-15,WAS,HOU,0,12,36.67,8,4,2,0,9,3,3,0,1,3,13
2021-02-17,WAS,DEN,0,2,29.45,11,5,4,1,4,3,1,0,0,0,14
2021-02-20,WAS,POR,1,7,36.92,12,5,2,0,7,0,3,0,1,4,17
2021-02-22,WAS,LAL,1,3,37.23,8,6,2,1,6,0,1,0,1,4,15
2021-02-23,WAS,LAC,1,-19,36.48,8,4,2,2,9,2,0,0,2,2,10
2021-02-25,WAS,DEN,1,2,38.18,16,9,4,1,5,2,0,0,1,0,20
2021-02-27,WAS,MIN,0,16,26.22,9,3,3,0,6,2,0,0,1,3,6
2021-02-28,WAS,BOS,1,-1,25.13,5,1,1,0,6,1,1,0,1,1,2
2021-03-02,WAS,MEM,0,-14,25.32,7,2,3,1,2,1,1,0,0,2,7
2021-03-04,WAS,LAC,0,2,32.1,6,3,2,1,3,1,1,0,2,5,9
2021-03-10,WAS,MEM,1,-15,25.38,10,3,3,1,6,0,0,0,0,0,11
2021-03-12,WAS,PHI,0,-26,21.07,5,3,0,0,0,0,2,0,1,1,9
2021-03-13,WAS,MIL,0,-6,38.33,18,11,5,3,11,1,3,0,2,2,29
2021-03-15,WAS,MIL,0,-11,36.75,18,9,9,4,7,5,1,0,2,2,22
2021-03-17,WAS,SAC,0,-2,37.62,15,7,3,0,9,0,2,0,1,4,17
2021-03-18,WAS,UTA,0,9,39.15,10,5,0,0,7,0,0,0,3,1,12
2021-03-21,WAS,BRK,1,-7,40.22,11,9,2,2,10,0,0,0,1,2,20
2021-03-23,WAS,NYK,1,-18,34.17,13,5,3,1,7,1,0,0,1,3,11
2021-03-25,WAS,NYK,1,-4,41.42,16,9,6,2,9,2,1,1,1,2,21
2021-03-27,WAS,DET,0,14,35.08,11,6,1,0,6,0,1,0,3,3,14
2021-03-29,WAS,IND,0,8,36.42,24,12,1,0,8,3,0,0,3,0,26
2021-03-30,WAS,CHO,0,-10,40.32,25,12,2,1,4,3,0,0,2,2,30
2021-04-01,WAS,DET,1,-29,30.22,12,5,0,0,2,2,1,0,1,3,10
2021-04-07,WAS,ORL,1,15,30.45,9,3,3,0,7,2,3,0,2,2,9
2021-04-09,WAS,GSW,1,3,37.82,16,9,2,1,5,1,0,0,3,1,22
2021-04-10,WAS,PHO,1,-28,24.68,7,2,0,0,7,0,0,0,3,0,6
2021-04-12,WAS,UTA,1,4,30.15,7,2,1,0,6,1,1,0,0,6,4
2021-04-14,WAS,SAC,1,12,34.58,11,6,1,0,4,0,2,0,3,2,12
2021-04-16,WAS,NOP,0,2,42.37,13,3,5,0,3,3,2,0,0,3,6
2021-04-17,WAS,DET,0,21,23.0,7,2,1,1,2,0,1,1,1,2,6
2021-04-26,WAS,SAS,0,-3,31.68,7,5,1,1,6,1,1,1,0,2,13
2021-04-28,WAS,LAL,0,9,29.53,8,4,1,0,1,2,1,0,0,3,12
2021-04-30,WAS,CLE,1,29,22.55,8,3,1,1,5,1,1,0,0,1,11
2021-05-01,WAS,DAL,1,-1,28.57,11,7,2,1,2,0,0,0,2,3,18
2021-05-03,WAS,IND,0,13,31.32,19,12,2,1,7,2,0,1,2,0,27
2021-05-08,WAS,IND,1,1,34.93,13,6,3,0,6,1,0,1,1,2,13
2021-05-10,WAS,ATL,1,-1,27.52,19,9,3,1,3,0,1,0,1,1,20
2021-05-12,WAS,ATL,1,-4,30.38,11,5,2,1,6,3,0,0,0,2,11
2021-05-14,WAS,CLE,0,15,34.17,15,7,2,0,3,1,0,0,1,2,14
2021-05-16,WAS,CHO,0,5,34.35,12,7,3,2,6,0,1,0,0,2,16
