Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2021-01-06,DET,MIL,1,-15,11.95,5,1,1,0,2,4,1,1,1,2,0,3,1,4,3
2021-01-13,DET,MIL,0,-9,13.1,4,2,0,0,0,0,0,0,0,1,0,0,1,4,-6
2021-01-16,DET,MIA,1,20,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2021-01-23,DET,PHI,0,-4,12.32,1,1,0,0,0,0,0,1,4,1,0,0,1,2,2
2021-01-25,DET,PHI,0,15,12.0,1,0,0,0,4,4,0,1,1,0,0,2,3,4,-7
2021-02-05,DET,PHO,1,-17,8.57,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4
2021-02-06,DET,LAL,1,-6,5.87,2,1,0,0,2,2,0,0,1,0,0,0,2,4,7
2021-02-09,DET,BRK,0,11,4.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1
2021-02-21,DET,ORL,1,-9,32.58,7,4,1,0,4,7,0,4,5,3,0,1,4,12,3
2021-02-23,DET,ORL,1,12,28.72,11,8,3,3,2,5,1,3,4,2,0,3,4,21,-1
2021-02-24,DET,NOP,1,-10,21.9,8,5,1,1,2,2,1,2,4,2,1,0,0,13,-4
2021-02-26,DET,SAC,0,-3,21.43,9,4,0,0,0,2,1,4,0,0,1,2,3,8,2
2021-02-28,DET,NYK,0,-19,21.1,5,3,0,0,3,4,0,0,4,0,0,0,2,9,-9
2021-03-03,DET,TOR,1,24,20.85,11,8,0,0,4,5,2,4,7,0,1,2,3,20,13
2021-03-04,DET,NYK,1,-10,21.63,5,1,0,0,3,4,0,3,3,0,1,1,0,5,-9
2021-03-11,DET,CHO,1,-3,4.22,0,0,0,0,0,0,0,1,1,1,0,0,1,0,4
2021-03-13,DET,BRK,1,-5,16.62,3,0,0,0,0,0,1,5,5,0,0,1,2,0,-2
2021-03-15,DET,SAS,0,-10,20.43,8,4,1,0,0,2,1,3,6,0,0,1,1,8,-8
2021-03-17,DET,TOR,0,4,10.38,1,0,0,0,2,2,0,0,2,0,0,2,3,2,-7
2021-03-19,DET,HOU,1,13,12.22,0,0,0,0,2,2,0,1,4,0,0,0,1,2,-1
2021-03-21,DET,CHI,0,-14,7.3,2,1,0,0,1,2,0,0,2,1,0,0,0,3,0
2021-03-24,DET,IND,1,-5,7.42,1,0,0,0,0,0,0,0,4,0,0,0,2,0,-11
2021-03-26,DET,BRK,0,-2,15.5,5,1,2,0,6,10,1,1,3,0,0,0,2,8,-7
2021-03-27,DET,WAS,1,-14,24.47,7,3,0,0,0,0,1,5,5,2,1,1,0,6,-4
2021-03-29,DET,TOR,0,14,26.08,12,7,2,2,3,5,1,3,5,1,1,3,3,19,-2
2021-03-31,DET,POR,0,-23,19.9,4,1,0,0,0,0,1,2,6,0,1,2,1,2,-16
2021-04-01,DET,WAS,0,29,23.5,7,3,1,0,2,2,1,7,3,1,0,1,1,8,24
2021-04-03,DET,NYK,0,-44,12.52,3,1,1,1,0,0,0,1,3,0,0,2,1,3,-22
2021-04-05,DET,OKC,1,24,16.42,5,3,0,0,2,2,0,4,6,1,0,2,2,8,12
2021-04-06,DET,DEN,1,-15,15.32,1,0,1,0,0,0,0,2,7,0,0,1,2,0,-9
2021-04-10,DET,POR,1,-15,5.77,2,1,0,0,2,4,1,2,3,0,0,0,2,4,-6
2021-04-11,DET,LAC,1,-7,16.38,5,2,0,0,0,0,1,2,6,2,0,2,1,4,-9
2021-04-16,DET,OKC,0,6,21.25,3,0,2,0,2,2,1,2,4,3,1,2,0,2,-5
2021-04-17,DET,WAS,1,-21,15.13,4,2,0,0,0,0,0,3,4,2,0,0,3,4,-8
2021-04-19,DET,CLE,0,4,14.57,2,1,0,0,0,0,0,5,6,0,0,3,0,2,3
2021-04-21,DET,DAL,1,-10,12.0,3,2,0,0,2,2,0,2,1,0,0,2,2,6,6
2021-04-22,DET,SAS,1,-15,17.37,5,1,0,0,0,0,0,4,3,0,1,1,4,2,-5
2021-04-26,DET,ATL,0,14,2.68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-4
2021-04-29,DET,DAL,0,-10,18.02,5,1,0,0,0,0,0,1,4,0,0,1,3,2,-3
2021-05-01,DET,CHO,1,-13,16.22,4,1,0,0,0,0,0,1,7,0,0,0,1,2,-4
2021-05-03,DET,ORL,0,-7,20.3,8,4,4,1,0,0,0,1,7,1,0,1,2,9,-6
2021-05-04,DET,CHO,0,-3,19.03,6,2,0,0,0,3,0,3,5,0,0,2,2,4,5
2021-05-06,DET,MEM,0,14,13.17,3,2,1,0,0,0,1,3,4,0,1,3,2,4,0
2021-05-08,DET,PHI,1,-14,10.95,3,1,0,0,0,0,1,1,2,0,0,1,0,2,2
2021-05-09,DET,CHI,0,-12,32.2,10,5,1,0,3,4,1,1,7,2,0,1,4,13,-3
2021-05-11,DET,MIN,0,-19,28.77,9,7,0,0,8,8,1,4,5,2,1,3,1,22,1
2021-05-14,DET,DEN,0,-13,19.03,1,0,0,0,0,0,0,2,2,1,0,1,1,0,0
2021-05-16,DET,MIA,0,-13,27.7,8,5,1,0,0,0,0,2,7,0,1,2,1,10,0
