Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,PHI,WAS,0,6,32.27,8,4,5,1,0,4,2,0,1,4,13
2020-12-26,PHI,NYK,1,20,29.88,8,6,4,3,4,3,1,0,0,0,17
2020-12-27,PHI,CLE,1,-24,24.43,7,2,5,2,1,4,0,0,2,2,8
2020-12-29,PHI,TOR,0,7,32.63,11,5,6,3,6,4,1,1,3,4,17
2020-12-31,PHI,ORL,1,24,24.75,12,7,7,5,1,3,1,0,1,1,21
2021-01-02,PHI,CHO,0,15,34.25,11,8,6,3,0,6,1,1,2,0,21
2021-01-04,PHI,CHO,0,17,25.57,7,4,2,2,1,2,0,1,2,2,11
2021-01-06,PHI,WAS,0,5,36.3,14,11,7,6,5,3,0,0,1,1,28
2021-01-22,PHI,BOS,0,12,27.02,10,6,5,3,0,1,1,0,2,4,15
2021-01-23,PHI,DET,1,4,27.58,11,6,3,0,3,1,2,0,1,2,14
2021-01-25,PHI,DET,1,-15,22.12,10,2,4,1,2,2,1,0,1,0,7
2021-01-27,PHI,LAL,0,1,30.53,6,1,3,0,1,3,1,1,1,3,2
2021-01-29,PHI,MIN,1,24,25.37,7,4,3,2,2,1,1,0,0,2,12
2021-01-31,PHI,IND,1,9,24.85,9,3,4,1,0,1,1,0,1,0,9
2021-02-03,PHI,CHO,1,7,28.57,3,0,2,0,0,3,0,1,1,4,0
2021-02-04,PHI,POR,0,-16,12.08,1,0,0,0,2,1,1,0,0,0,0
2021-02-06,PHI,BRK,0,16,26.68,11,4,3,2,2,4,1,1,0,0,11
2021-02-09,PHI,SAC,1,8,29.25,13,7,6,4,3,1,1,0,3,2,22
2021-02-11,PHI,POR,1,-4,34.5,13,6,7,3,4,2,0,0,0,1,15
2021-02-13,PHI,PHO,1,-9,34.62,9,3,5,1,1,4,0,0,3,1,10
2021-02-15,PHI,UTA,1,-11,37.08,10,5,4,1,2,1,0,0,1,2,11
2021-02-17,PHI,HOU,0,5,36.85,13,8,5,3,2,5,2,0,5,2,25
2021-02-19,PHI,CHI,0,7,38.02,11,2,5,1,4,0,0,0,3,2,9
2021-02-21,PHI,TOR,1,-7,35.32,12,4,7,2,3,6,1,1,3,3,12
2021-02-25,PHI,DAL,0,14,29.03,9,6,3,3,3,2,3,1,1,1,15
2021-02-27,PHI,CLE,0,-3,38.82,13,1,7,1,2,2,1,0,1,1,4
2021-03-01,PHI,IND,0,16,22.58,6,3,3,1,0,5,1,0,1,0,7
2021-03-03,PHI,UTA,0,8,34.93,7,5,4,2,2,3,1,0,1,4,14
2021-03-11,PHI,CHI,1,22,25.4,15,5,6,1,2,7,2,0,1,1,12
2021-03-12,PHI,WAS,1,26,29.95,11,4,3,1,4,3,1,0,2,1,14
2021-03-14,PHI,SAS,0,35,26.25,16,9,6,3,4,4,0,0,0,3,21
2021-03-16,PHI,NYK,0,3,31.78,14,7,7,4,3,2,0,0,1,2,20
2021-03-17,PHI,MIL,0,-4,26.25,11,4,8,2,4,3,2,0,3,1,10
2021-03-25,PHI,LAL,1,8,27.18,13,7,8,4,1,2,0,0,2,1,19
2021-03-27,PHI,LAC,1,-10,27.4,7,3,2,0,2,2,1,0,0,3,7
2021-03-30,PHI,DEN,1,-9,24.0,10,3,7,2,0,1,0,0,2,1,8
2021-04-01,PHI,CLE,1,20,24.2,15,7,10,5,4,4,2,0,0,2,19
2021-04-03,PHI,MIN,0,9,33.85,11,5,5,2,1,5,0,0,0,0,13
2021-04-04,PHI,MEM,0,-16,23.57,6,1,5,1,2,1,0,0,1,1,3
2021-04-06,PHI,BOS,1,10,31.78,9,4,5,1,1,2,1,0,0,3,9
2021-04-09,PHI,NOP,1,-7,26.17,7,0,2,0,3,3,0,0,1,1,0
2021-04-10,PHI,OKC,1,24,28.23,11,5,5,1,3,6,0,0,0,3,11
2021-04-12,PHI,DAL,1,18,24.35,8,3,3,2,2,2,0,0,0,3,8
2021-04-14,PHI,BRK,0,6,25.07,5,2,3,1,2,1,0,0,1,1,5
2021-04-19,PHI,GSW,0,-11,35.17,15,6,7,3,0,5,1,0,1,3,15
2021-04-22,PHI,MIL,1,-7,25.7,6,4,3,3,1,0,1,0,0,2,11
2021-04-24,PHI,MIL,1,-38,25.03,11,5,5,2,3,1,0,0,1,0,13
2021-04-26,PHI,OKC,0,31,23.9,6,3,5,3,1,1,2,0,0,0,9
2021-04-28,PHI,ATL,0,44,25.63,12,8,7,4,3,1,0,0,1,0,20
2021-04-30,PHI,ATL,0,22,23.73,7,1,4,1,6,3,0,0,0,0,7
2021-05-02,PHI,SAS,1,2,35.38,10,8,6,6,5,1,2,0,2,3,22
2021-05-03,PHI,CHI,1,12,35.17,10,7,5,3,4,4,1,0,1,1,20
2021-05-05,PHI,HOU,1,20,21.93,9,4,7,3,3,3,0,0,0,3,11
2021-05-07,PHI,NOP,0,2,32.42,11,6,8,4,6,5,1,0,0,3,16
2021-05-11,PHI,IND,1,-9,34.55,9,4,4,2,4,3,1,0,1,2,10
2021-05-13,PHI,MIA,1,-12,25.27,6,3,4,2,3,1,0,0,2,2,8
2021-05-14,PHI,ORL,0,25,23.13,9,7,5,4,3,2,1,0,1,2,20
