Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,PHI,WAS,0, +6,29:44,11,6,4,2,1,3,3,0,0,3,19
2020-12-26,PHI,NYK,1, +20,22:32,8,4,2,0,1,0,0,0,3,3,10
2020-12-27,PHI,CLE,1, -24,22:29,6,2,3,1,1,2,0,0,1,2,6
2020-12-29,PHI,TOR,0, +7,25:40,10,2,6,1,1,2,2,0,0,3,7
2020-12-31,PHI,ORL,1, +24,24:35,15,6,4,1,4,6,1,2,1,1,14
2021-01-02,PHI,CHO,0, +15,25:14,13,7,8,3,4,1,1,0,1,2,18
2021-01-04,PHI,CHO,0, +17,26:43,11,3,6,1,2,6,1,0,0,2,10
2021-01-06,PHI,WAS,0, +5,19:59,9,6,3,1,0,3,1,0,4,3,19
2021-01-07,PHI,BRK,1, -13,36:19,13,8,4,1,1,7,0,0,3,0,24
2021-01-14,PHI,MIA,0, +17,27:21,15,11,4,3,2,7,2,1,1,2,31
2021-01-16,PHI,MEM,1, -2,32:31,18,10,5,2,3,4,2,0,5,2,28
2021-01-20,PHI,BOS,0, +8,29:05,10,4,2,2,1,1,1,0,4,1,16
2021-01-22,PHI,BOS,0, +12,18:28,7,2,2,0,0,2,1,0,1,3,6
2021-01-23,PHI,DET,1, +4,21:40,9,3,2,1,3,3,0,0,2,3,8
2021-01-25,PHI,DET,1, -15,22:56,10,3,3,0,3,1,0,0,0,5,10
2021-01-27,PHI,LAL,0, +1,20:35,8,4,2,0,3,3,1,0,1,3,9
2021-01-29,PHI,MIN,1, +24,19:56,12,4,1,0,2,2,0,0,2,2,13
2021-01-31,PHI,IND,1, +9,19:01,9,4,1,0,1,2,0,0,1,3,9
2021-02-03,PHI,CHO,1, +7,18:54,12,4,4,1,1,2,0,1,0,2,13
2021-02-04,PHI,POR,0, -16,24:17,9,4,2,0,1,4,0,0,1,1,12
2021-02-06,PHI,BRK,0, +16,26:57,13,6,3,1,4,3,0,0,0,0,15
2021-02-09,PHI,SAC,1, +8,20:39,11,5,1,1,3,2,0,0,3,3,11
2021-02-21,PHI,TOR,1, -7,28:32,11,3,7,3,2,2,0,0,1,1,9
2021-02-23,PHI,TOR,1, +7,29:40,10,4,6,3,1,2,0,1,1,0,11
2021-02-25,PHI,DAL,0, +14,19:15,13,4,3,0,4,6,0,0,2,2,10
2021-02-27,PHI,CLE,0, -3,31:41,8,3,2,0,6,2,1,2,1,5,11
2021-03-01,PHI,IND,0, +16,29:57,14,9,5,3,4,4,0,0,2,4,26
2021-03-03,PHI,UTA,0, +8,28:21,11,4,4,0,1,3,1,0,2,3,12
2021-03-11,PHI,CHI,1, +22,24:09,15,5,2,0,8,3,0,1,2,2,10
2021-03-12,PHI,WAS,1, +26,26:24,14,8,3,1,2,4,2,0,2,2,18
2021-03-14,PHI,SAS,0, +35,14:40,5,2,0,0,1,4,0,0,3,4,4
2021-03-16,PHI,NYK,0, +3,19:02,5,1,2,0,1,3,0,1,0,3,2
2021-03-17,PHI,MIL,0, -4,20:20,15,7,3,1,3,4,1,0,3,3,15
2021-03-20,PHI,SAC,0, +24,35:41,17,9,2,1,1,2,1,0,2,1,28
2021-03-21,PHI,NYK,1, +1,29:19,15,9,3,1,3,3,1,1,2,2,21
2021-03-23,PHI,GSW,1, +10,22:03,14,5,1,0,2,4,0,0,2,2,13
2021-03-25,PHI,LAL,1, +8,20:19,10,4,6,2,2,2,0,1,3,1,12
2021-03-27,PHI,LAC,1, -10,20:36,11,6,1,0,4,1,1,0,3,1,16
2021-03-30,PHI,DEN,1, -9,21:34,8,4,2,1,2,4,1,0,4,3,10
2021-04-01,PHI,CLE,1, +20,27:26,14,10,7,5,5,4,1,0,1,0,27
2021-04-03,PHI,MIN,0, +9,20:42,12,5,4,2,2,3,2,0,1,3,14
2021-04-04,PHI,MEM,0, -16,16:44,11,5,2,0,1,1,0,0,1,0,14
2021-04-06,PHI,BOS,1, +10,19:13,8,3,1,0,3,0,0,0,2,3,6
2021-04-09,PHI,NOP,1, -7,20:31,9,4,3,1,3,2,0,0,2,2,9
2021-04-10,PHI,OKC,1, +24,19:40,14,5,7,2,2,2,0,1,0,0,12
2021-04-12,PHI,DAL,1, +18,24:17,6,3,1,0,3,5,1,0,1,3,10
2021-04-14,PHI,BRK,0, +6,25:13,8,6,4,3,1,4,1,1,1,3,15
2021-04-16,PHI,LAC,0, +3,19:34,7,3,4,2,2,2,1,0,4,5,9
2021-04-19,PHI,GSW,0, -11,19:52,7,1,2,1,1,3,0,0,3,1,5
2021-04-21,PHI,PHO,0, -3,24:12,10,2,4,1,2,2,1,0,4,1,5
2021-04-22,PHI,MIL,1, -7,26:20,14,8,5,3,3,4,0,0,1,1,20
2021-04-24,PHI,MIL,1, -38,26:42,16,6,4,1,3,3,1,0,3,2,15
2021-04-26,PHI,OKC,0, +31,14:36,7,3,1,1,1,2,0,1,1,1,7
2021-04-28,PHI,ATL,0, +44,13:27,8,3,1,0,6,6,2,0,0,3,12
2021-04-30,PHI,ATL,0, +22,21:56,11,5,3,2,1,4,0,0,1,3,13
2021-05-02,PHI,SAS,1, +2,17:57,6,3,0,0,1,2,0,0,1,0,8
2021-05-03,PHI,CHI,1, +12,14:34,5,3,3,2,1,3,0,0,1,0,9
2021-05-05,PHI,HOU,1, +20,23:13,17,8,7,3,2,1,1,2,0,1,19
2021-05-07,PHI,NOP,0, +2,15:30,5,1,4,1,4,3,0,0,3,1,5
2021-05-08,PHI,DET,0, +14,25:47,6,1,3,0,1,4,0,0,2,4,5
2021-05-13,PHI,MIA,1, -12,23:10,8,4,1,0,4,2,2,0,1,1,12
2021-05-14,PHI,ORL,0, +25,17:33,10,7,2,0,3,3,0,0,0,1,15
2021-05-16,PHI,ORL,0, +11,25:36,13,6,6,3,4,9,1,2,0,3,15
