Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,UTA,POR,1, +20,2:49,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,UTA,SAS,1, +21,5:35,4,3,0,0,0,1,0,0,1,0,6
2021-01-05,UTA,BRK,1, -34,7:10,2,1,0,0,1,0,1,0,0,0,3
2021-01-08,UTA,MIL,1, +13,1:15,0,0,0,0,0,0,0,0,0,0,0
2021-01-12,UTA,CLE,1, +30,5:39,1,0,0,0,0,3,1,0,2,1,0
2021-01-15,UTA,ATL,0, +24,4:55,4,0,0,0,4,0,0,0,0,1,0
2021-01-19,UTA,NOP,0, +16,1:49,1,1,0,0,0,0,0,0,1,0,2
2021-01-21,UTA,NOP,0, +11,1:59,3,0,0,0,1,0,0,0,0,0,0
2021-01-23,UTA,GSW,0, +19,9:37,2,1,0,0,2,2,0,0,1,0,2
2021-01-26,UTA,NYK,0, +14,1:04,1,0,0,0,0,0,0,0,0,0,0
2021-01-27,UTA,DAL,0, +12,1:34,1,0,1,0,0,0,0,0,0,1,0
2021-01-29,UTA,DAL,0, +19,1:41,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,UTA,DEN,1, -11,3:05,0,0,0,0,0,1,0,0,0,0,4
2021-02-04,UTA,ATL,1, +21,3:05,0,0,0,0,0,0,0,0,0,0,0
2021-02-13,UTA,MIA,0, +18,1:29,0,0,0,0,1,0,0,0,0,0,0
2021-02-17,UTA,LAC,1, +18,1:41,0,0,0,0,0,1,0,0,0,0,0
2021-02-22,UTA,CHO,0, +22,1:18,1,0,1,0,0,1,0,0,0,0,0
2021-04-16,DEN,HOU,1, +29,3:11,2,1,0,0,0,0,0,0,0,1,2
2021-04-19,DEN,MEM,0, +2,17:02,2,1,0,0,1,1,1,0,1,1,2
2021-04-21,DEN,POR,1, +1,14:24,4,2,1,0,0,1,2,0,0,1,5
2021-04-23,DEN,GSW,1, -21,18:08,4,2,0,0,2,0,2,0,1,1,4
2021-04-24,DEN,HOU,0, +13,14:19,1,1,0,0,1,0,1,0,0,2,2
2021-04-26,DEN,MEM,0, +24,19:09,4,1,1,0,4,1,0,0,0,2,3
2021-04-28,DEN,NOP,0, +2,9:54,4,2,0,0,2,0,2,0,1,1,6
2021-04-29,DEN,TOR,0, +10,18:09,6,3,1,1,5,1,1,1,0,1,11
2021-05-01,DEN,LAC,1, +6,15:13,0,0,0,0,2,1,1,1,0,3,0
2021-05-03,DEN,LAL,1, -4,13:00,3,1,1,1,1,0,0,1,0,2,3
2021-05-05,DEN,NYK,0, +16,26:49,7,2,3,1,5,0,2,0,0,3,7
2021-05-07,DEN,UTA,1, -7,16:18,5,1,2,0,2,2,1,1,1,2,4
2021-05-08,DEN,BRK,0, -6,15:21,3,1,1,0,1,4,0,1,0,1,2
2021-05-11,DEN,CHO,1, +5,17:54,1,0,0,0,4,2,0,0,1,3,1
2021-05-13,DEN,MIN,1, +11,15:24,4,1,1,0,3,0,1,0,0,2,2
2021-05-14,DEN,DET,1, +13,21:12,4,0,2,0,6,1,0,0,1,2,0
2021-05-16,DEN,POR,1, -16,21:11,4,1,1,0,0,2,1,0,0,2,2
