Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-29,NOP,PHO,1,-25,7.28,2,1,1,0,0,0,1,0,0,0,2
2020-12-31,NOP,OKC,1,33,3.13,0,0,0,0,1,0,2,0,0,0,0
2021-01-13,NOP,LAC,1,-5,19.07,3,0,0,0,1,0,1,0,0,2,0
2021-01-19,NOP,UTA,1,-16,2.95,1,0,0,0,0,0,0,0,0,0,0
2021-01-21,NOP,UTA,1,-11,1.98,1,1,1,1,0,1,0,0,0,0,3
2021-01-30,NOP,HOU,0,-14,6.7,3,2,2,1,1,1,0,0,1,0,5
2021-02-03,NOP,PHO,0,22,2.55,0,0,0,0,0,0,0,0,0,1,0
2021-02-05,NOP,IND,1,1,2.33,0,0,0,0,0,0,0,0,0,0,0
2021-02-09,NOP,HOU,0,29,1.77,1,0,1,0,0,0,0,0,0,0,0
2021-02-16,NOP,MEM,1,31,2.83,1,1,1,1,0,0,0,0,0,0,3
2021-02-19,NOP,PHO,0,-18,2.43,1,1,0,0,0,0,0,0,1,0,2
2021-03-11,NOP,MIN,0,-30,6.7,4,1,3,0,1,2,1,0,0,0,2
2021-03-12,NOP,CLE,0,34,6.63,2,0,0,0,1,0,0,1,1,0,0
2021-03-14,NOP,LAC,0,20,6.95,2,0,0,0,0,0,0,0,1,0,0
2021-05-05,ORL,BOS,0,-36,21.28,4,0,2,0,2,1,2,0,0,1,0
2021-05-07,ORL,CHO,1,-10,14.22,1,1,0,0,0,1,2,0,0,2,2
2021-05-09,ORL,MIN,0,-32,21.57,7,1,4,1,1,3,1,0,0,2,3
2021-05-11,ORL,MIL,1,-12,16.18,1,1,1,1,2,1,2,1,2,2,3
2021-05-13,ORL,ATL,1,-23,24.98,7,2,4,1,6,5,1,0,0,1,6
2021-05-14,ORL,PHI,1,-25,26.17,3,1,2,0,0,3,0,0,0,1,3
2021-05-16,ORL,PHI,1,-11,19.12,2,2,1,1,2,3,0,0,1,3,7
