Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,ATL,CHI,1,20,28.4,3,0,3,0,0,0,0,3,0,0,1,3,2,0,-8
2020-12-26,ATL,MEM,1,10,12.97,5,2,2,1,1,1,1,2,0,0,0,0,2,6,3
2020-12-28,ATL,DET,0,8,19.92,8,4,8,4,0,0,0,2,0,1,1,1,3,12,14
2020-12-30,ATL,BRK,1,-4,16.72,6,3,5,3,0,0,1,2,0,0,0,1,3,9,-9
2021-01-01,ATL,BRK,1,18,23.67,9,2,7,2,0,0,0,4,1,1,1,0,1,6,20
2021-01-02,ATL,CLE,0,-5,10.52,2,0,2,0,0,0,0,1,0,0,0,0,4,0,-15
2021-01-04,ATL,NYK,0,-5,10.92,1,0,0,0,2,2,2,2,0,0,0,0,0,2,-1
2021-01-06,ATL,CHO,0,-8,11.28,2,1,1,0,0,0,0,2,2,0,0,1,1,2,1
2021-01-09,ATL,CHO,1,-8,19.62,5,3,5,3,0,0,0,3,3,3,1,0,2,9,-12
2021-01-11,ATL,PHI,0,18,21.82,8,3,7,3,0,0,2,8,0,1,0,0,2,9,2
2021-01-15,ATL,UTA,1,-24,24.42,4,1,3,0,0,0,1,6,2,0,0,0,1,2,-3
2021-01-16,ATL,POR,1,-6,25.68,7,3,4,1,0,0,0,0,1,0,0,0,2,7,-14
2021-01-18,ATL,MIN,0,11,15.73,2,0,1,0,0,0,0,1,1,1,0,3,0,0,-10
2021-01-20,ATL,DET,0,8,39.58,8,2,7,2,0,0,1,5,3,0,0,1,2,6,2
2021-01-22,ATL,MIN,1,18,17.9,1,1,1,1,0,0,0,0,1,2,0,1,2,3,19
2021-01-24,ATL,MIL,1,-14,20.23,5,3,3,1,2,2,0,1,3,1,1,0,2,9,-8
2021-01-26,ATL,LAC,0,9,23.3,2,0,2,0,0,0,0,4,1,2,0,0,1,0,1
2021-01-27,ATL,BRK,0,-4,9.67,1,1,1,1,0,0,0,1,0,0,0,0,1,3,2
2021-01-29,ATL,WAS,1,16,19.53,5,1,4,0,0,0,0,3,0,1,0,0,2,2,4
2021-02-01,ATL,LAL,0,-8,22.08,6,2,5,2,0,0,0,0,0,1,0,2,0,6,-3
2021-02-03,ATL,DAL,0,-6,26.22,2,0,2,0,0,2,2,3,1,1,0,0,0,0,11
2021-02-04,ATL,UTA,0,-21,15.9,4,2,2,1,1,1,0,2,0,0,0,0,1,6,4
2021-02-06,ATL,TOR,0,11,11.72,5,3,4,2,0,0,0,1,1,0,0,0,1,8,5
2021-02-10,ATL,DAL,1,-1,9.63,4,2,4,2,0,0,0,1,0,0,1,0,2,6,-11
2021-02-12,ATL,SAS,0,-11,21.05,4,0,2,0,2,2,0,3,1,2,0,1,2,2,-19
2021-02-13,ATL,IND,0,-12,18.52,5,1,2,0,0,0,1,3,2,0,0,1,2,2,-4
2021-02-15,ATL,NYK,1,-11,17.23,4,2,2,0,0,0,0,1,0,0,0,0,2,4,-6
2021-02-17,ATL,BOS,1,8,17.4,2,1,1,0,0,0,0,1,1,1,0,0,1,2,-2
2021-02-19,ATL,BOS,1,-12,18.25,4,3,1,1,5,5,0,4,1,1,0,0,2,12,12
2021-02-21,ATL,DEN,0,8,14.82,2,0,2,0,0,0,1,1,1,0,0,0,1,0,1
2021-02-23,ATL,CLE,1,-1,22.4,3,2,2,2,2,2,0,4,2,3,0,0,4,8,-23
2021-02-24,ATL,BOS,0,15,17.6,4,1,3,0,0,0,1,1,1,0,0,0,2,2,10
2021-02-26,ATL,OKC,1,-9,18.32,5,1,4,1,0,0,2,3,1,1,0,1,1,3,-12
2021-02-28,ATL,MIA,1,-10,17.85,1,0,1,0,0,0,1,1,2,0,0,1,1,0,-19
2021-03-02,ATL,MIA,1,14,22.22,3,0,2,0,0,0,2,3,1,1,0,3,1,0,16
2021-03-03,ATL,ORL,1,3,22.83,7,3,5,2,0,0,0,0,0,1,0,1,2,8,-11
2021-03-11,ATL,TOR,1,1,22.1,4,2,4,2,3,4,0,2,1,0,0,1,4,9,-10
2021-03-13,ATL,SAC,0,15,21.32,1,0,0,0,0,0,0,0,1,2,0,0,1,0,22
2021-03-14,ATL,CLE,0,18,24.98,1,0,1,0,0,0,1,3,2,0,0,0,2,0,7
2021-03-16,ATL,HOU,1,12,16.53,2,0,1,0,0,0,1,5,0,1,0,0,2,0,14
2021-03-18,ATL,OKC,0,23,18.85,4,2,3,1,0,0,2,4,0,0,0,4,0,5,7
2021-03-20,ATL,LAL,1,5,18.42,7,3,7,3,0,0,0,0,0,1,0,1,3,9,0
2021-03-22,ATL,LAC,1,-9,5.13,1,0,1,0,0,0,1,1,0,0,0,0,0,0,-12
2021-03-26,ATL,GSW,1,16,20.27,4,3,3,2,0,0,0,1,1,2,1,0,1,8,3
2021-03-28,ATL,DEN,1,-24,16.88,4,1,4,1,0,0,0,2,0,0,0,0,1,3,-7
2021-03-30,ATL,PHO,1,-7,18.98,4,3,3,2,0,2,0,1,0,1,0,0,1,8,2
2021-04-01,ATL,SAS,1,5,25.35,4,1,3,1,0,0,0,6,1,0,1,0,1,3,-5
2021-04-02,ATL,NOP,1,23,29.87,6,2,5,1,2,2,1,4,2,0,0,1,0,7,19
2021-04-04,ATL,GSW,0,6,19.02,5,2,4,1,0,2,3,5,3,0,0,1,1,5,-6
2021-04-06,ATL,NOP,0,16,30.35,5,2,3,1,0,0,3,9,3,2,0,1,1,5,29
2021-04-07,ATL,MEM,0,-18,28.67,9,4,5,1,1,1,1,6,1,2,0,0,2,10,-13
2021-04-09,ATL,CHI,0,12,22.05,2,0,1,0,0,0,1,3,1,1,0,0,1,0,-11
2021-04-11,ATL,CHO,1,4,37.68,8,3,5,2,0,0,0,7,2,2,1,0,3,8,19
2021-04-13,ATL,TOR,1,5,30.08,7,2,5,1,2,2,0,1,1,1,0,1,3,7,0
2021-04-15,ATL,MIL,0,-11,33.75,11,6,8,6,0,0,0,5,1,0,1,0,4,18,9
2021-04-18,ATL,IND,0,12,29.48,6,2,3,0,0,0,2,5,0,0,0,2,3,4,4
2021-04-20,ATL,ORL,0,16,29.4,3,0,3,0,0,0,0,6,2,0,0,0,3,0,14
2021-04-21,ATL,NYK,1,-10,28.87,5,2,2,1,0,1,0,1,1,1,0,1,2,5,-7
2021-04-23,ATL,MIA,0,15,35.9,6,3,3,1,2,3,0,4,1,3,0,1,1,9,3
2021-04-25,ATL,MIL,0,7,33.87,8,1,4,0,0,0,1,12,1,0,0,0,3,2,5
2021-04-26,ATL,DET,1,-14,29.38,3,0,2,0,0,0,0,5,2,2,0,1,1,0,-7
2021-04-28,ATL,PHI,1,-44,30.28,10,4,4,2,4,4,3,5,4,0,0,0,4,14,-35
2021-04-30,ATL,PHI,1,-22,35.58,1,0,1,0,3,4,2,9,1,0,1,4,3,3,-11
2021-05-01,ATL,CHI,0,11,12.72,3,0,2,0,0,0,0,1,0,0,0,0,0,0,-6
2021-05-03,ATL,POR,0,9,18.03,3,3,1,1,0,0,0,3,2,0,0,0,0,7,10
