Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,TOR,NOP,0,-14,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-12-29,TOR,PHI,1,-7,21.72,7,3,3,1,0,0,2,8,0,2,1,1,3,7,-9
2020-12-31,TOR,NYK,0,17,12.58,2,0,2,0,0,0,1,4,2,0,0,0,1,0,0
2021-01-02,TOR,NOP,1,-4,11.98,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0
2021-01-04,TOR,BOS,0,-12,10.97,1,0,1,0,0,0,0,2,2,3,0,2,1,0,-3
2021-01-08,TOR,SAC,1,21,15.48,2,0,1,0,0,0,1,4,1,0,0,0,1,0,11
2021-01-10,TOR,GSW,1,-1,9.37,1,1,0,0,1,2,0,3,1,2,0,0,1,3,10
2021-01-11,TOR,POR,1,-1,23.3,6,3,2,1,0,0,3,5,3,1,0,2,2,7,4
2021-01-14,TOR,CHO,0,3,20.82,3,2,3,2,0,0,0,1,3,1,1,2,3,6,2
2021-01-16,TOR,CHO,0,3,13.75,2,2,2,2,0,0,0,4,1,0,1,0,2,6,-14
2021-01-18,TOR,DAL,0,23,21.22,3,2,2,1,1,2,1,3,0,0,1,0,1,6,-3
2021-01-20,TOR,MIA,0,-9,11.48,1,0,0,0,0,0,1,1,0,0,1,0,0,0,-9
2021-01-22,TOR,MIA,0,20,13.75,1,1,1,1,0,0,0,2,3,1,0,0,0,3,7
2021-01-24,TOR,IND,1,5,31.28,6,1,2,0,1,2,0,6,4,1,1,3,4,3,3
2021-01-25,TOR,IND,1,-15,25.87,1,0,0,0,4,4,1,4,6,2,1,1,5,4,3
2021-01-27,TOR,MIL,0,-7,13.95,4,2,4,2,0,0,0,3,3,2,0,1,1,6,-3
2021-01-29,TOR,SAC,0,-2,19.23,3,1,3,1,0,0,1,1,1,3,0,1,2,3,5
2021-01-31,TOR,ORL,0,13,12.07,2,0,1,0,2,2,0,2,0,0,0,0,3,2,-6
2021-02-02,TOR,ORL,1,15,7.18,2,0,1,0,0,0,0,0,2,0,0,0,3,0,-6
2021-02-05,TOR,BRK,1,6,10.32,1,0,1,0,0,0,0,0,1,0,0,1,2,0,-5
2021-02-06,TOR,ATL,1,-11,10.53,4,3,2,2,0,0,1,1,0,0,0,0,0,8,-6
2021-02-08,TOR,MEM,1,15,6.88,1,1,1,1,0,0,0,1,1,0,0,1,2,3,-7
2021-02-10,TOR,WAS,1,22,13.53,1,0,1,0,0,0,0,0,1,0,0,0,2,0,-5
2021-02-11,TOR,BOS,1,-14,16.07,5,3,3,1,2,2,0,3,0,2,0,2,1,9,-4
2021-02-14,TOR,MIN,0,-4,13.68,2,0,1,0,0,0,1,4,0,0,1,1,2,0,1
2021-02-18,TOR,MIL,1,14,1.32,1,1,1,1,0,0,0,0,0,0,0,0,0,3,-1
2021-02-19,TOR,MIN,1,5,11.45,1,0,1,0,0,0,0,2,1,1,0,2,1,0,11
2021-02-21,TOR,PHI,0,7,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2021-02-24,TOR,MIA,1,-8,3.48,1,0,1,0,0,0,0,0,1,0,0,1,0,0,-11
2021-02-26,TOR,HOU,0,11,2.63,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
2021-03-03,TOR,DET,0,-24,17.93,3,0,2,0,0,0,0,1,1,0,1,1,3,0,-10
2021-03-04,TOR,BOS,1,-7,35.67,10,5,7,4,0,0,1,2,1,2,0,0,2,14,-2
2021-03-11,TOR,ATL,0,-1,26.8,7,4,5,3,0,0,1,4,2,1,0,0,5,11,-11
2021-03-13,TOR,CHO,1,-10,14.2,5,1,4,1,0,0,0,2,1,0,0,1,2,3,-26
2021-03-14,TOR,CHI,1,-23,14.25,2,1,1,0,0,0,0,3,0,0,1,1,0,2,-7
2021-03-17,TOR,DET,1,-4,11.38,2,0,1,0,0,0,1,1,0,0,0,0,1,0,-3
2021-03-21,TOR,CLE,1,-11,14.85,4,1,3,0,0,0,1,1,0,2,0,0,3,2,6
2021-03-22,TOR,HOU,1,-18,16.5,2,0,2,0,0,0,0,3,0,0,0,1,3,0,-4
2021-03-24,TOR,DEN,0,24,4.9,1,0,1,0,0,0,0,0,0,0,0,0,3,0,-9
2021-03-28,TOR,POR,0,-5,20.77,4,3,3,2,3,4,0,1,2,0,2,0,3,11,-8
2021-03-29,TOR,DET,1,-14,13.02,0,0,0,0,0,0,0,4,1,1,0,3,4,0,4
2021-03-31,TOR,OKC,1,-10,18.35,5,4,0,0,0,0,0,5,1,0,0,0,4,8,-3
2021-04-02,TOR,GSW,0,53,20.05,6,0,2,0,0,0,2,7,4,0,0,1,0,0,-7
2021-04-05,TOR,WAS,0,2,12.15,0,0,0,0,0,0,0,3,2,1,0,1,2,0,7
2021-04-06,TOR,LAL,0,-9,26.32,3,1,2,0,0,0,0,2,1,0,0,2,3,2,-9
2021-04-08,TOR,CHI,0,-9,15.92,5,2,0,0,3,4,0,0,1,2,1,0,2,7,-14
2021-04-10,TOR,CLE,1,20,19.55,4,2,2,0,2,2,1,3,2,3,2,1,1,6,-1
2021-04-14,TOR,SAS,0,5,5.33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
2021-04-16,TOR,ORL,0,11,20.75,8,5,5,3,0,0,1,6,2,2,1,3,3,13,10
2021-04-18,TOR,OKC,0,6,13.82,9,3,5,1,5,5,0,3,1,2,0,3,1,12,-11
2021-04-26,TOR,CLE,0,16,10.6,2,1,1,1,0,0,0,2,1,1,0,1,0,3,4
2021-04-27,TOR,BRK,0,-13,7.02,2,0,1,0,0,0,0,0,1,0,0,1,1,0,-2
2021-04-29,TOR,DEN,1,-10,10.93,4,2,3,1,1,1,0,0,3,1,0,0,2,6,-3
2021-05-02,TOR,LAL,1,7,29.77,5,0,5,0,0,0,0,2,2,1,1,2,3,0,6
2021-05-04,TOR,LAC,1,-5,32.85,7,2,4,1,0,0,1,3,0,2,1,1,3,5,-15
2021-05-06,TOR,WAS,0,-2,29.38,2,0,2,0,0,0,0,2,5,1,0,1,6,0,0
2021-05-08,TOR,MEM,0,-10,12.53,2,0,2,0,0,2,0,0,0,1,0,0,2,0,3
2021-05-11,TOR,LAC,0,-19,20.9,6,3,1,1,2,2,0,2,3,1,0,2,5,9,-10
2021-05-13,TOR,CHI,1,-12,43.07,22,12,13,6,5,7,1,10,5,3,0,0,1,35,-8
2021-05-14,TOR,DAL,1,-4,34.95,16,5,6,2,3,3,2,10,1,1,0,1,3,15,1
2021-05-16,TOR,IND,0,-12,43.2,18,6,12,3,9,11,3,5,7,2,0,6,1,24,-8
