Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,HOU,POR,1,-2,20.2,5,4,3,2,1,0,0,0,1,3,10
2020-12-28,HOU,DEN,1,-13,30.67,8,5,5,2,4,2,1,0,0,3,12
2020-12-31,HOU,SAC,0,3,12.47,2,2,2,2,1,1,1,0,0,2,6
2021-01-02,HOU,SAC,0,8,26.38,6,4,5,3,6,1,1,0,0,2,11
2021-01-04,HOU,DAL,0,-13,15.62,5,1,4,1,1,0,0,0,0,1,5
2021-01-06,HOU,IND,1,-7,13.78,2,1,0,0,2,0,1,0,1,1,2
2021-01-08,HOU,ORL,0,42,18.17,4,3,4,3,5,0,0,0,0,3,9
2021-01-10,HOU,LAL,0,-18,13.2,6,2,4,1,3,2,0,0,0,0,5
2021-01-12,HOU,LAL,0,-17,17.92,7,1,3,0,2,1,4,0,1,2,2
2021-01-14,HOU,SAS,1,4,36.6,17,9,7,3,7,3,2,0,1,1,23
2021-01-20,HOU,PHO,0,-6,21.3,3,2,0,0,1,2,2,0,1,0,4
2021-01-22,HOU,DET,1,1,25.63,9,5,6,4,8,2,0,0,1,3,14
2021-01-23,HOU,DAL,1,25,18.03,6,2,2,0,3,3,1,1,0,3,4
2021-01-26,HOU,WAS,0,19,15.57,4,2,2,1,5,1,1,1,1,1,8
2021-01-28,HOU,POR,0,3,20.7,7,2,5,2,3,1,2,1,1,1,6
2021-01-30,HOU,NOP,1,14,18.2,7,3,5,2,3,3,0,0,0,4,8
2021-02-01,HOU,OKC,1,30,18.2,4,0,2,0,0,1,1,0,1,3,0
2021-02-03,HOU,OKC,1,-17,22.42,8,4,6,3,6,3,2,2,1,2,11
2021-02-04,HOU,MEM,1,12,27.37,6,4,3,1,7,3,1,0,2,2,9
2021-02-06,HOU,SAS,0,-5,7.92,3,0,2,0,0,1,1,0,0,0,0
2021-02-08,HOU,CHO,1,-25,28.2,9,3,6,1,7,5,1,0,1,3,8
2021-02-09,HOU,NOP,1,-29,25.6,6,4,4,3,6,3,2,0,0,2,11
2021-02-11,HOU,MIA,0,-7,24.82,6,1,5,1,7,3,0,0,1,2,3
2021-02-13,HOU,NYK,1,-22,25.58,8,4,5,3,6,0,0,0,0,1,11
2021-02-15,HOU,WAS,1,-12,25.12,7,3,4,1,4,2,0,1,3,3,9
2021-02-17,HOU,PHI,1,-5,26.1,5,1,4,1,3,3,1,1,0,5,3
2021-02-22,HOU,CHI,0,-20,27.68,9,6,4,4,4,2,0,0,1,0,16
2021-02-24,HOU,CLE,1,-16,18.88,3,1,2,0,5,2,1,0,0,1,2
2021-02-26,HOU,TOR,1,-11,19.38,3,1,3,1,10,1,0,0,1,2,3
2021-02-28,HOU,MEM,0,-49,27.82,8,1,8,1,6,3,2,0,4,5,5
2021-03-01,HOU,CLE,0,-11,30.7,8,2,7,2,5,0,2,0,1,1,8
2021-03-03,HOU,BRK,0,-18,33.15,5,3,5,3,3,1,1,0,1,2,9
2021-03-11,HOU,SAC,1,-20,31.28,7,3,6,2,10,1,0,1,2,1,8
2021-03-12,HOU,UTA,1,-15,37.32,16,6,8,3,3,1,1,0,0,3,15
2021-03-14,HOU,BOS,0,-27,28.95,7,2,6,1,1,1,1,0,0,0,7
2021-03-16,HOU,ATL,0,-12,36.4,6,3,3,2,11,1,2,1,2,6,8
2021-03-17,HOU,GSW,0,-14,33.82,7,1,5,0,5,2,0,0,2,0,4
2021-03-19,HOU,DET,0,-13,23.07,3,1,2,1,3,0,0,0,0,3,3
2021-03-21,HOU,OKC,0,-2,17.83,3,0,2,0,3,0,0,0,1,2,0
2021-03-22,HOU,TOR,0,18,33.7,10,7,7,4,10,2,0,1,0,2,20
2021-03-24,HOU,CHO,0,-25,28.0,7,2,5,2,2,1,0,0,0,0,6
2021-03-26,HOU,MIN,1,-6,36.28,10,4,5,3,11,1,0,2,1,4,11
2021-03-27,HOU,MIN,1,22,23.13,8,6,6,4,7,0,0,0,2,1,16
2021-03-29,HOU,MEM,0,-10,21.42,7,3,4,2,7,0,1,0,0,1,10
2021-03-31,HOU,BRK,1,-12,31.33,8,4,7,3,1,0,0,0,1,2,11
2021-04-02,HOU,BOS,1,-16,27.82,7,3,3,2,4,0,0,0,0,1,8
2021-04-04,HOU,NOP,0,-7,27.85,8,4,4,2,4,2,0,0,0,4,12
2021-04-05,HOU,PHO,0,-3,26.35,7,6,3,3,3,2,1,0,2,1,16
2021-04-07,HOU,DAL,0,9,20.98,10,3,7,3,1,2,0,0,0,1,9
2021-04-09,HOU,LAC,1,-17,25.42,8,6,5,3,4,1,1,0,3,1,15
2021-04-10,HOU,GSW,1,-16,4.33,0,0,0,0,0,0,0,0,0,0,0
