Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NOP,TOR,1, +14,30:37,6,4,0,0,8,3,4,2,0,1,8
2020-12-25,NOP,MIA,1, -13,32:22,3,3,0,0,9,1,2,1,2,2,6
2020-12-27,NOP,SAS,0, +3,30:51,7,4,0,0,9,3,0,1,0,1,8
2020-12-29,NOP,PHO,1, -25,23:10,5,5,0,0,8,1,0,1,4,1,11
2020-12-31,NOP,OKC,1, +33,31:27,13,7,0,0,10,2,1,1,0,1,14
2021-01-02,NOP,TOR,0, +4,31:24,7,4,0,0,10,1,2,0,3,2,13
2021-01-04,NOP,IND,0, -2,31:01,7,4,0,0,8,0,3,0,4,5,10
2021-01-06,NOP,OKC,0, -1,34:17,5,4,0,0,11,10,1,0,2,2,10
2021-01-08,NOP,CHO,0, -8,34:49,7,5,0,0,7,2,1,2,4,3,13
2021-01-13,NOP,LAC,1, -5,28:59,7,6,0,0,6,5,0,1,1,3,12
2021-01-15,NOP,LAL,1, -17,33:04,4,2,0,0,7,1,0,0,0,0,4
2021-01-17,NOP,SAC,1, +5,31:59,8,3,0,0,15,4,0,0,2,0,12
2021-01-19,NOP,UTA,1, -16,23:40,6,3,0,0,9,1,1,0,1,0,6
2021-01-21,NOP,UTA,1, -11,30:24,9,4,0,0,16,3,1,1,5,4,8
2021-01-23,NOP,MIN,1, -10,23:19,3,2,0,0,3,2,0,0,3,3,5
2021-01-27,NOP,WAS,0, +18,32:48,8,3,0,0,18,3,0,1,1,1,6
2021-01-29,NOP,MIL,0, +5,38:07,5,2,0,0,20,2,0,0,1,3,4
2021-01-30,NOP,HOU,0, -14,23:38,3,2,1,0,2,1,1,0,3,2,4
2021-02-03,NOP,PHO,0, +22,28:35,10,4,0,0,13,4,1,0,0,2,11
2021-02-05,NOP,IND,1, +1,30:01,5,5,0,0,12,1,1,0,4,3,12
2021-02-06,NOP,MEM,0, +9,29:20,3,2,0,0,2,1,0,1,0,2,4
2021-02-09,NOP,HOU,0, +29,21:30,6,3,0,0,4,2,2,1,1,3,6
2021-02-10,NOP,CHI,1, -13,21:44,2,1,0,0,6,2,2,0,1,1,3
2021-02-12,NOP,DAL,1, -13,19:50,4,2,0,0,4,1,0,0,2,2,4
2021-02-14,NOP,DET,1, -11,29:52,7,5,0,0,12,2,0,0,1,1,13
2021-02-16,NOP,MEM,1, +31,23:46,5,4,0,0,7,0,3,2,1,2,8
2021-02-17,NOP,POR,0, -2,9:35,1,1,0,0,3,0,0,0,0,1,2
2021-02-24,NOP,DET,0, +10,30:42,8,7,0,0,15,3,1,2,1,1,14
2021-02-25,NOP,MIL,1, -4,27:42,4,3,0,0,13,4,1,2,0,2,7
2021-02-27,NOP,SAS,1, -3,26:36,5,3,0,0,6,3,0,0,1,3,7
2021-03-01,NOP,UTA,0, +5,25:59,6,2,0,0,11,0,1,0,1,2,5
2021-03-03,NOP,CHI,0, -4,21:16,1,0,0,0,5,0,0,1,0,0,0
2021-03-04,NOP,MIA,0, -10,25:15,7,6,0,0,5,1,0,0,1,4,15
2021-03-11,NOP,MIN,0, -30,28:37,10,6,1,0,12,0,1,0,1,1,13
2021-03-12,NOP,CLE,0, +34,21:06,5,5,0,0,17,2,0,0,3,1,10
2021-03-14,NOP,LAC,0, +20,19:35,3,3,0,0,8,2,2,0,1,1,9
2021-03-16,NOP,POR,1, -1,25:10,4,2,0,0,5,2,1,0,2,4,4
2021-03-18,NOP,POR,1, -8,34:34,3,2,0,0,10,2,1,0,1,5,6
2021-03-21,NOP,DEN,1, +5,36:10,4,1,0,0,13,3,1,2,3,2,4
2021-03-23,NOP,LAL,0, +17,25:36,6,6,0,0,7,0,0,1,1,3,12
2021-03-26,NOP,DEN,0, -5,41:07,7,3,1,0,4,1,1,1,1,1,8
2021-03-27,NOP,DAL,0, +9,30:10,2,2,0,0,7,1,1,4,0,2,4
2021-03-29,NOP,BOS,1, +6,29:53,2,2,0,0,5,1,2,1,1,3,4
2021-04-01,NOP,ORL,0, -5,36:30,8,4,0,0,10,3,0,0,2,4,8
2021-04-04,NOP,HOU,1, +7,22:09,9,5,0,0,11,3,2,1,1,3,12
2021-04-06,NOP,ATL,1, -16,25:06,6,2,0,0,8,1,3,0,2,1,6
2021-04-07,NOP,BRK,1, -28,20:06,6,4,0,0,5,1,0,0,1,1,8
2021-04-09,NOP,PHI,0, +7,27:08,5,3,0,0,5,1,3,3,1,4,7
2021-04-11,NOP,CLE,1, +7,26:58,1,0,0,0,8,3,1,0,2,1,0
2021-04-12,NOP,SAC,0, +7,26:30,4,2,0,0,16,0,1,0,0,1,6
2021-04-14,NOP,NYK,0, -10,30:49,7,5,0,0,10,3,0,0,0,1,10
2021-04-16,NOP,WAS,1, -2,29:39,1,1,0,0,12,4,0,2,0,1,6
2021-04-18,NOP,NYK,1, -10,36:09,7,5,0,0,14,3,1,0,2,2,10
2021-04-20,NOP,BRK,0, -5,29:29,5,3,0,0,5,1,0,2,0,3,7
2021-04-22,NOP,ORL,1, +35,16:02,8,5,0,0,9,0,0,0,0,2,12
2021-04-24,NOP,SAS,0, -2,31:52,3,2,0,0,10,1,3,0,3,2,4
2021-04-28,NOP,DEN,1, -2,12:53,2,1,0,0,1,2,1,0,0,1,2
2021-05-04,NOP,GSW,0, +5,23:41,3,0,0,0,8,2,0,1,0,0,1
