Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2021-01-29,NYK,CLE,0,21,0.65,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,NYK,LAC,0,-14,18.35,4,0,1,0,5,1,0,1,0,2,0
2021-02-06,NYK,POR,0,11,13.8,1,1,0,0,0,2,0,0,0,2,2
2021-02-07,NYK,MIA,0,-6,16.08,4,4,1,1,3,1,0,0,1,4,9
2021-02-12,NYK,WAS,1,18,12.0,5,2,2,0,3,0,0,0,0,0,6
2021-02-13,NYK,HOU,0,22,15.6,3,2,0,0,5,0,0,0,0,1,4
2021-02-15,NYK,ATL,0,11,16.65,0,0,0,0,3,0,0,1,0,4,1
2021-02-17,NYK,ORL,1,-18,16.1,3,1,1,0,6,0,2,1,1,2,2
2021-02-21,NYK,MIN,0,4,19.1,1,1,0,0,7,1,2,1,0,3,2
2021-02-23,NYK,GSW,0,-8,24.35,3,2,0,0,11,0,1,0,3,2,8
2021-02-25,NYK,SAC,0,19,23.62,5,4,2,1,7,1,0,0,1,2,9
2021-02-27,NYK,IND,0,3,4.32,2,1,0,0,1,0,0,0,1,1,2
2021-03-11,NYK,MIL,1,-33,26.38,6,3,3,1,5,0,2,2,0,2,7
2021-03-13,NYK,OKC,1,22,23.87,0,0,0,0,8,1,2,1,1,1,2
2021-03-15,NYK,BRK,1,-5,23.53,3,2,0,0,4,0,0,0,1,1,4
2021-03-16,NYK,PHI,1,-3,19.7,7,4,2,0,3,1,0,0,0,3,10
2021-03-18,NYK,ORL,0,1,31.07,3,1,0,0,6,0,0,1,1,2,3
2021-03-25,NYK,WAS,0,4,26.73,5,3,0,0,8,1,1,2,1,3,10
2021-03-27,NYK,MIL,1,6,34.13,7,3,1,0,8,4,0,4,1,3,6
2021-03-29,NYK,MIA,0,-10,18.05,3,2,0,0,4,0,0,0,0,3,5
2021-03-31,NYK,MIN,1,-1,24.18,3,3,0,0,8,1,0,3,0,2,7
2021-04-02,NYK,DAL,0,-13,27.95,3,2,1,0,4,0,2,2,0,2,4
2021-04-03,NYK,DET,1,44,20.98,5,5,0,0,5,1,2,2,1,0,11
2021-04-05,NYK,BRK,1,-2,25.27,3,2,0,0,6,1,3,0,1,4,6
2021-04-07,NYK,BOS,1,-2,19.77,1,0,0,0,4,1,2,1,2,2,1
2021-04-09,NYK,MEM,0,4,27.9,4,1,0,0,8,1,1,1,2,6,6
2021-04-11,NYK,TOR,0,6,19.53,3,0,0,0,4,1,1,0,0,1,2
2021-04-12,NYK,LAL,0,15,16.98,5,3,0,0,10,0,2,3,0,2,8
2021-04-14,NYK,NOP,1,10,35.18,5,4,0,0,10,2,0,2,0,4,8
2021-04-16,NYK,DAL,1,8,16.28,3,2,0,0,0,0,0,1,0,1,4
2021-04-18,NYK,NOP,0,10,24.27,4,3,0,0,14,2,1,2,0,2,6
2021-04-20,NYK,CHO,0,12,21.33,4,3,0,0,8,1,1,2,1,0,6
2021-04-21,NYK,ATL,0,10,8.75,2,2,0,0,3,0,1,0,0,0,4
2021-04-24,NYK,TOR,0,17,18.77,5,4,0,0,5,1,0,0,1,5,9
2021-04-26,NYK,PHO,0,-8,19.57,4,4,0,0,3,0,1,0,0,3,8
2021-04-28,NYK,CHI,0,19,17.5,3,2,0,0,8,1,1,1,0,1,4
2021-05-02,NYK,HOU,1,25,31.85,4,3,0,0,5,0,0,0,0,3,6
2021-05-03,NYK,MEM,1,14,33.42,5,3,1,0,12,2,0,5,1,4,6
2021-05-05,NYK,DEN,1,-16,11.48,3,1,0,0,1,1,1,1,0,5,2
2021-05-07,NYK,PHO,1,-23,24.6,6,5,0,0,6,2,0,2,1,4,11
2021-05-09,NYK,LAC,1,6,21.78,3,2,0,0,5,1,0,2,0,1,8
2021-05-11,NYK,LAL,1,-2,28.73,3,2,0,0,7,0,1,0,0,2,8
2021-05-13,NYK,SAS,0,4,21.28,5,3,0,0,9,1,1,4,0,0,6
2021-05-15,NYK,CHO,0,9,18.48,3,2,0,0,5,1,0,0,0,1,4
2021-05-16,NYK,BOS,0,4,15.77,4,2,0,0,3,2,0,1,0,3,4
