Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-22,LAL,LAC,0,-7,10.85,2,2,0,0,2,2,0,1,0,1,0,1,3,6,7
2020-12-25,LAL,DAL,0,23,6.85,2,1,1,1,2,2,1,1,2,0,1,1,2,5,9
2020-12-27,LAL,MIN,0,36,20.8,12,4,5,2,2,2,0,2,3,2,1,0,2,12,5
2020-12-28,LAL,POR,0,-8,9.58,6,3,2,0,0,0,0,2,0,1,0,0,0,6,-9
2021-01-01,LAL,SAS,1,6,14.35,6,2,2,1,0,0,0,1,0,1,2,0,1,5,2
2021-01-03,LAL,MEM,1,14,23.65,9,3,4,1,0,0,2,6,2,0,0,1,1,7,11
2021-01-05,LAL,MEM,1,2,22.05,5,2,1,0,0,0,0,2,2,1,1,0,2,4,-22
2021-01-07,LAL,SAS,0,-9,20.78,9,4,3,0,2,3,0,4,3,0,0,2,2,10,7
2021-01-08,LAL,CHI,0,2,19.92,5,3,1,1,2,2,0,2,3,0,1,1,1,9,1
2021-01-10,LAL,HOU,1,18,20.53,8,7,3,2,1,1,2,5,3,4,0,2,4,17,8
2021-01-12,LAL,HOU,1,17,16.78,8,1,4,0,2,4,1,2,4,1,0,4,5,4,-1
2021-01-13,LAL,OKC,1,29,13.4,5,1,3,0,2,2,1,2,4,0,0,1,1,4,10
2021-01-15,LAL,NOP,0,17,3.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-7
2021-01-23,LAL,CHI,1,11,21.2,6,3,0,0,4,4,0,2,0,1,0,2,2,10,3
2021-01-27,LAL,PHI,1,-1,7.1,2,1,0,0,0,0,0,3,0,0,0,2,1,2,4
2021-01-28,LAL,DET,1,-15,14.13,7,5,3,3,0,0,0,2,1,0,0,1,2,13,-1
2021-01-30,LAL,BOS,1,1,22.98,8,3,1,0,0,0,1,4,2,2,0,2,5,6,-3
2021-02-01,LAL,ATL,1,8,18.92,2,0,0,0,0,0,0,5,1,1,1,0,3,0,-3
2021-02-04,LAL,DEN,0,21,22.43,12,8,2,1,0,0,0,3,2,3,1,1,1,17,17
2021-02-06,LAL,DET,0,6,21.28,8,5,1,0,0,0,0,2,4,1,0,3,4,10,-7
2021-02-08,LAL,OKC,0,7,26.88,8,4,2,0,0,0,1,5,1,2,2,2,0,8,5
2021-02-10,LAL,OKC,0,1,18.55,8,2,3,0,0,0,0,3,2,0,1,2,1,4,-8
2021-02-12,LAL,MEM,0,10,6.4,2,0,0,0,0,0,0,1,0,0,0,1,1,0,-6
2021-02-14,LAL,DEN,1,-17,24.75,7,3,1,0,4,6,0,0,5,0,1,2,4,10,-7
2021-02-16,LAL,MIN,1,8,5.92,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-8
2021-02-18,LAL,BRK,0,-11,27.65,9,3,3,0,3,3,0,2,5,0,1,1,2,9,-14
2021-02-20,LAL,MIA,0,-2,17.47,3,2,2,1,0,0,0,2,3,0,1,1,2,5,-8
2021-02-22,LAL,WAS,0,-3,16.15,4,3,1,1,0,1,0,0,0,1,2,2,4,7,3
2021-02-24,LAL,UTA,1,-25,30.25,12,3,5,2,0,0,0,5,5,0,0,3,2,8,-16
2021-02-26,LAL,POR,0,9,16.47,5,2,1,0,0,0,0,5,4,0,2,0,2,4,7
2021-02-28,LAL,GSW,0,26,16.43,12,5,2,0,1,1,0,1,0,3,1,1,1,11,-2
2021-03-02,LAL,PHO,0,-10,18.98,9,6,5,2,2,2,1,3,0,0,0,2,5,16,-2
2021-03-03,LAL,SAC,1,-3,19.03,9,3,1,0,3,4,0,2,5,2,0,2,3,9,-15
2021-03-12,LAL,IND,0,5,17.18,7,2,2,0,2,2,1,2,0,1,0,1,2,6,-5
2021-03-15,LAL,GSW,1,31,27.98,10,7,1,0,4,5,0,4,10,1,0,2,2,18,20
2021-03-16,LAL,MIN,0,16,26.32,9,6,1,0,4,4,0,7,4,0,0,0,2,16,8
2021-03-18,LAL,CHO,0,11,18.9,9,5,2,0,2,2,1,1,2,0,0,2,2,12,16
2021-03-20,LAL,ATL,0,-5,20.58,12,4,2,0,1,1,1,5,4,0,0,1,2,9,5
2021-03-21,LAL,PHO,1,-17,28.42,16,6,2,0,5,6,4,6,3,1,1,3,0,17,5
2021-03-23,LAL,NOP,1,-17,19.45,5,2,2,1,0,0,0,1,4,2,0,2,0,5,-11
2021-03-25,LAL,PHI,0,-8,18.58,6,1,2,0,1,1,0,3,2,0,0,0,1,3,-3
2021-03-26,LAL,CLE,0,14,32.43,11,6,4,1,2,4,0,3,3,2,0,2,4,15,6
2021-03-28,LAL,ORL,0,3,18.1,3,1,1,0,2,2,0,2,1,0,0,2,4,4,4
2021-03-31,LAL,MIL,0,-15,16.88,4,1,1,0,1,2,0,1,1,0,0,6,3,3,2
2021-04-02,LAL,SAC,1,21,21.53,13,6,2,1,2,2,0,2,1,4,0,0,0,15,9
2021-04-04,LAL,LAC,1,-18,25.97,14,7,1,0,2,2,2,5,0,2,0,0,3,16,-3
2021-04-06,LAL,TOR,1,9,25.53,10,6,4,3,2,3,0,4,6,1,0,4,2,17,4
2021-04-10,LAL,BRK,1,25,34.08,16,4,5,2,4,5,1,3,11,3,0,4,4,14,18
2021-04-12,LAL,NYK,1,-15,22.18,9,4,3,1,1,2,0,3,2,1,0,2,1,10,-3
2021-04-13,LAL,CHO,1,8,23.45,8,2,6,1,1,2,0,1,4,1,0,0,1,6,-8
2021-04-15,LAL,BOS,0,-8,27.1,15,7,3,0,5,5,1,6,7,3,0,2,0,19,-4
2021-04-17,LAL,UTA,0,12,22.38,5,3,1,0,2,3,0,5,1,0,0,1,1,8,-4
2021-04-19,LAL,UTA,0,-14,28.23,13,8,5,3,5,7,0,4,2,2,0,1,1,24,-4
2021-04-22,LAL,DAL,1,-5,12.3,5,2,1,0,0,0,0,1,1,0,0,2,2,4,-17
2021-04-24,LAL,DAL,1,-15,17.48,4,2,2,0,2,2,0,1,2,1,0,0,2,6,1
2021-04-26,LAL,ORL,1,11,16.33,4,2,1,0,0,2,0,0,2,1,0,1,1,4,3
2021-04-28,LAL,WAS,1,-9,23.32,7,3,2,0,0,0,0,4,4,3,0,1,0,6,-8
2021-04-30,LAL,SAC,0,-4,9.98,3,3,0,0,0,0,0,0,2,0,0,2,2,6,12
2021-05-02,LAL,TOR,0,-7,21.9,8,5,1,0,4,7,1,3,7,0,0,3,4,14,-1
2021-05-03,LAL,DEN,0,4,20.53,7,4,0,0,2,2,1,1,3,0,0,5,3,10,2
2021-05-09,LAL,PHO,0,13,21.4,7,3,2,1,0,0,0,2,3,1,0,2,1,7,0
2021-05-11,LAL,NYK,0,2,34.33,9,4,2,2,3,3,2,5,10,2,0,7,4,13,2
2021-05-12,LAL,HOU,0,2,36.72,16,9,3,0,5,8,0,2,10,2,0,3,1,23,2
2021-05-15,LAL,IND,1,7,24.78,5,3,2,2,3,4,0,1,2,0,1,0,2,11,6
2021-05-16,LAL,NOP,1,12,13.97,6,2,2,1,1,2,0,1,1,2,0,1,1,6,0
