Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-27,PHI,CLE,1,-24,7.07,2,0,2,0,0,0,0,0,1,0,0,0,1,0,6
2020-12-31,PHI,ORL,1,24,3.98,1,0,1,0,0,0,0,1,0,0,0,0,1,0,-3
2021-01-04,PHI,CHO,0,17,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2021-01-06,PHI,WAS,0,5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-14,PHI,MIA,0,17,2.57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-5
2021-01-25,PHI,DET,1,-15,4.63,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-1
2021-02-13,PHI,PHO,1,-9,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2021-02-25,PHI,DAL,0,14,4.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-7
2021-03-01,PHI,IND,0,16,5.42,1,1,0,0,0,0,0,0,0,0,0,2,1,2,-5
2021-03-11,PHI,CHI,1,22,3.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2021-03-12,PHI,WAS,1,26,3.52,0,0,0,0,0,0,0,0,0,1,0,1,1,0,-6
2021-03-14,PHI,SAS,0,35,6.68,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-2
2021-03-20,PHI,SAC,0,24,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
