Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2020-12-23,ORL,MIA,0,6,28.55,14,6,6,3,4,4,0,3,1,1,0,3,1,19,9
2020-12-26,ORL,WAS,1,10,28.1,14,9,6,3,4,4,0,2,1,2,0,2,0,25,11
2020-12-27,ORL,WAS,1,7,30.73,15,7,7,4,8,8,1,1,0,1,0,2,4,26,22
2020-12-29,ORL,OKC,1,11,24.9,13,7,4,0,0,1,0,1,1,1,0,0,1,14,-2
2021-01-02,ORL,OKC,0,-9,30.82,21,9,9,4,4,5,2,5,2,1,0,0,1,26,-1
2021-01-04,ORL,CLE,0,20,31.47,13,5,7,2,3,3,0,2,1,4,0,2,1,15,10
2021-01-06,ORL,CLE,0,11,21.73,9,6,6,5,3,4,0,2,2,1,1,1,5,20,17
2021-01-08,ORL,HOU,1,-42,18.37,9,2,4,1,0,0,0,1,1,1,0,2,2,5,-31
2021-01-09,ORL,DAL,1,-14,32.53,12,3,4,0,5,5,0,4,3,0,1,3,2,11,-20
2021-01-11,ORL,MIL,0,-22,25.35,6,2,2,0,0,0,0,3,3,2,0,3,1,4,-32
2021-01-15,ORL,BOS,1,-27,25.07,11,3,3,0,0,0,0,5,1,0,0,1,2,6,-11
2021-01-16,ORL,BRK,1,-7,31.75,17,9,10,3,2,2,0,3,3,0,1,1,3,23,-7
2021-01-18,ORL,NYK,1,-7,33.03,16,5,8,4,5,6,0,3,3,0,1,3,3,19,-3
2021-01-20,ORL,MIN,1,1,24.45,14,4,5,0,0,1,2,5,5,0,0,3,6,8,-16
2021-01-22,ORL,IND,1,-2,32.63,9,4,5,1,3,4,0,4,2,2,0,0,0,12,6
2021-01-24,ORL,CHO,0,-3,30.05,8,4,5,2,0,0,1,2,3,0,0,1,0,10,-11
2021-01-25,ORL,CHO,0,9,32.48,8,1,5,1,3,3,0,1,2,3,1,1,2,6,-4
2021-01-27,ORL,SAC,0,-14,26.97,16,7,3,2,0,0,0,3,1,3,2,2,0,16,1
2021-01-29,ORL,LAC,0,-26,23.43,12,8,3,1,7,7,0,4,1,0,0,1,1,24,-9
2021-01-31,ORL,TOR,1,-13,28.33,5,1,3,0,2,2,0,0,2,1,0,0,3,4,-22
2021-02-02,ORL,TOR,0,-15,23.75,8,1,5,1,0,0,0,3,2,0,1,1,4,3,-14
2021-02-05,ORL,CHI,0,4,30.25,5,3,3,1,0,0,0,4,2,1,0,4,2,7,-2
2021-02-06,ORL,CHI,0,-26,20.12,13,5,5,1,2,2,0,2,1,0,0,3,1,13,-12
2021-02-09,ORL,POR,1,-9,31.07,18,9,7,2,2,2,0,4,1,1,0,1,1,22,8
2021-02-11,ORL,GSW,1,-6,40.87,27,8,8,2,2,3,1,6,3,0,3,4,4,20,-7
2021-02-12,ORL,SAC,1,11,33.27,20,7,10,4,0,0,0,5,4,0,1,1,1,18,-3
2021-02-14,ORL,PHO,1,-19,36.02,23,9,10,3,2,3,1,6,5,0,1,2,1,23,-16
2021-02-17,ORL,NYK,0,18,29.63,16,10,6,5,5,5,0,6,4,2,2,4,4,30,22
2021-02-19,ORL,GSW,0,4,32.72,17,9,9,4,2,2,0,4,1,3,0,2,3,24,-3
2021-02-21,ORL,DET,0,9,31.6,16,7,5,3,0,0,0,4,3,0,0,2,1,17,8
2021-02-23,ORL,DET,0,-12,27.37,12,4,9,3,2,2,1,8,4,4,1,1,2,13,1
2021-02-25,ORL,BRK,1,-37,25.03,9,1,5,1,2,3,1,3,3,1,0,1,0,5,-30
2021-02-27,ORL,UTA,0,-15,31.65,16,4,6,0,2,2,1,4,3,1,0,0,1,10,-14
2021-03-01,ORL,DAL,0,-6,36.38,17,7,10,3,1,1,0,4,1,2,1,0,1,18,-7
2021-03-03,ORL,ATL,0,-3,41.25,17,9,9,4,6,6,1,5,3,1,0,1,0,28,-8
2021-03-14,ORL,MIA,0,-5,33.85,19,10,13,8,3,4,0,5,3,0,0,3,4,31,-8
2021-03-30,ORL,LAC,1,7,25.58,12,3,4,1,8,8,1,2,1,1,0,0,2,15,12
2021-04-01,ORL,NOP,1,5,34.28,21,8,5,1,2,3,0,2,5,2,1,3,2,19,10
2021-04-03,ORL,UTA,1,-46,26.1,11,2,3,0,8,8,0,3,3,1,0,1,4,12,-10
2021-04-04,ORL,DEN,1,-10,30.7,18,7,9,2,3,5,0,3,4,1,1,1,4,19,3
2021-04-07,ORL,WAS,0,-15,30.33,16,9,4,1,5,6,1,6,3,1,0,2,1,24,-16
2021-04-09,ORL,IND,0,-5,27.82,15,10,5,2,2,3,0,4,1,0,1,2,3,24,-11
2021-04-11,ORL,MIL,0,-37,27.42,6,1,3,0,2,2,0,4,4,0,0,2,2,4,-21
2021-04-12,ORL,SAS,0,-23,25.43,4,2,0,0,4,5,0,2,0,0,0,1,0,8,-20
2021-04-14,ORL,CHI,1,9,31.45,13,4,6,1,2,3,1,3,4,2,0,0,1,11,11
2021-04-16,ORL,TOR,1,-11,21.85,5,3,0,0,0,1,0,2,2,0,1,1,1,6,-15
