Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,NYK,IND,1,-14,0.92,0,0,0,0,0,0,0,0,0,0,0
2020-12-26,NYK,PHI,0,-20,2.45,2,0,2,0,0,0,0,0,0,0,0
2020-12-27,NYK,MIL,0,20,1.87,0,0,0,0,0,0,0,0,0,0,0
2020-12-31,NYK,TOR,1,-17,3.4,1,0,1,0,1,0,0,0,0,0,0
2021-01-10,NYK,DEN,0,-25,3.73,1,0,1,0,0,0,0,0,0,0,0
2021-01-17,NYK,BOS,1,30,3.52,1,0,1,0,0,0,0,0,0,2,0
2021-01-26,NYK,UTA,1,-14,1.07,1,1,0,0,0,0,0,0,0,0,2
2021-02-12,NYK,WAS,1,18,2.75,0,0,0,0,0,0,0,0,0,1,0
2021-02-13,NYK,HOU,0,22,1.5,1,0,1,0,0,0,0,0,0,0,0
2021-02-25,NYK,SAC,0,19,1.55,0,0,0,0,0,1,0,0,0,0,0
2021-03-02,NYK,SAS,1,-26,2.07,0,0,0,0,0,0,0,0,0,0,0
2021-03-11,NYK,MIL,1,-33,1.58,1,0,1,0,0,0,0,0,0,0,0
2021-03-13,NYK,OKC,1,22,1.73,0,0,0,0,1,0,0,0,1,0,0
2021-04-03,NYK,DET,1,44,2.73,1,0,1,0,0,0,0,0,0,1,0
2021-04-28,NYK,CHI,0,19,1.03,0,0,0,0,1,0,0,0,0,0,0
2021-05-02,NYK,HOU,1,25,1.08,0,0,0,0,1,0,0,0,0,0,0
2021-05-05,NYK,DEN,1,-16,1.07,0,0,0,0,1,0,0,0,0,0,0
