Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DAL,PHO,1, -4,26:48,10,3,8,3,4,0,1,0,0,1,12
2020-12-25,DAL,LAL,1, -23,28:03,12,4,5,1,4,2,0,0,0,1,10
2020-12-27,DAL,LAC,1, +51,22:59,14,7,8,4,5,2,2,0,0,2,18
2020-12-30,DAL,CHO,0, -19,27:31,10,7,6,3,2,1,1,0,1,0,18
2021-01-01,DAL,MIA,0, +10,38:33,18,6,10,3,2,3,2,1,2,3,18
2021-01-03,DAL,CHI,1, -10,33:04,15,4,12,2,4,4,0,0,3,3,13
2021-01-04,DAL,HOU,1, +13,31:16,14,11,10,8,7,2,0,0,2,1,30
2021-01-07,DAL,DEN,1, +7,24:36,11,3,8,3,3,4,0,1,0,0,11
2021-01-09,DAL,ORL,0, +14,40:26,20,12,13,8,5,2,0,0,4,2,36
2021-01-13,DAL,CHO,1, +11,33:26,16,7,10,3,2,3,2,0,0,1,18
2021-01-15,DAL,MIL,1, -3,37:00,17,9,9,4,6,0,0,1,0,3,22
2021-01-18,DAL,TOR,1, -23,26:41,12,0,6,0,5,1,0,0,2,1,0
2021-01-20,DAL,IND,1, +12,34:02,13,6,6,3,3,3,1,0,1,2,19
2021-01-22,DAL,SAS,1, +5,38:13,12,8,6,2,2,0,0,0,1,2,21
2021-01-23,DAL,HOU,0, -25,30:35,13,4,6,1,2,0,0,0,0,1,15
2021-01-25,DAL,DEN,0, -4,37:09,18,7,7,2,7,2,1,0,1,3,19
2021-01-27,DAL,UTA,1, -12,34:05,10,6,6,4,3,2,1,0,1,0,19
2021-01-29,DAL,UTA,1, -19,26:24,5,1,1,0,1,3,1,0,1,3,2
2021-01-30,DAL,PHO,0, -6,35:32,19,8,10,3,4,4,1,0,1,0,19
2021-02-01,DAL,PHO,0, -1,31:16,12,6,7,3,4,0,2,1,1,3,18
2021-02-03,DAL,ATL,1, +6,30:02,15,8,10,5,4,0,0,0,1,2,22
2021-02-04,DAL,GSW,0, -31,23:40,14,6,11,5,3,1,0,0,0,1,19
2021-02-06,DAL,GSW,0, +2,27:26,15,3,9,2,1,3,2,0,1,1,11
2021-02-08,DAL,MIN,0, +5,28:53,15,9,9,4,1,1,1,0,0,1,24
2021-02-10,DAL,ATL,0, +1,28:55,10,6,5,3,1,0,0,0,0,3,16
2021-02-12,DAL,NOP,0, +13,21:04,8,3,6,2,0,0,0,0,1,1,8
2021-02-14,DAL,POR,0, -3,27:22,12,4,7,2,1,0,0,0,1,2,12
2021-02-22,DAL,MEM,0, +10,28:10,14,9,11,7,4,0,0,0,1,1,29
2021-02-23,DAL,BOS,0, +3,24:46,17,6,8,0,2,3,0,0,0,3,14
2021-02-25,DAL,PHI,1, -14,21:22,8,5,4,2,2,3,0,2,0,2,12
2021-02-27,DAL,BRK,1, +17,21:23,12,4,6,2,3,1,1,0,0,0,13
2021-03-01,DAL,ORL,1, +6,22:37,8,2,5,1,2,4,1,0,0,0,5
2021-03-03,DAL,OKC,0, +9,31:24,15,6,7,2,6,2,0,0,4,2,19
2021-03-10,DAL,SAS,0, +11,23:52,11,3,6,1,2,3,1,0,1,0,9
2021-03-11,DAL,OKC,1, -8,32:49,18,7,8,4,6,1,0,0,1,3,24
2021-03-13,DAL,DEN,1, +13,23:43,9,4,5,0,3,1,0,0,2,0,8
2021-03-15,DAL,LAC,0, -10,30:07,12,8,9,5,1,1,1,0,0,2,21
2021-03-17,DAL,LAC,0, +16,36:34,12,6,7,3,6,1,0,0,2,1,15
2021-03-19,DAL,POR,1, -6,40:25,14,9,11,7,5,5,0,0,1,3,25
2021-03-21,DAL,POR,1, +40,18:51,9,4,5,1,6,0,0,0,1,2,11
2021-03-24,DAL,MIN,1, +20,27:23,17,7,9,5,4,4,0,0,0,3,21
2021-03-26,DAL,IND,0, -15,23:34,14,7,7,2,5,1,0,0,1,1,16
