Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,FT,FTA,ORB,TRB,Assists,Steals,Blocks,Turnovers,Fouls,Points,p/m
2021-01-11,ATL,PHI,0,18,6.98,3,0,2,0,0,0,0,0,0,0,0,0,2,0,-10
2021-01-15,ATL,UTA,1,-24,8.75,3,1,2,1,0,0,0,1,0,0,0,0,1,3,5
2021-01-16,ATL,POR,1,-6,12.42,3,1,3,1,0,0,0,3,3,0,0,0,0,3,3
2021-01-18,ATL,MIN,0,11,12.63,2,2,2,2,0,0,1,1,0,0,1,0,3,6,1
2021-01-20,ATL,DET,0,8,17.38,4,0,3,0,0,0,2,3,0,0,0,2,2,0,0
2021-01-22,ATL,MIN,1,18,2.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
2021-01-24,ATL,MIL,1,-14,4.9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-8
2021-01-26,ATL,LAC,0,9,2.68,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2
2021-01-29,ATL,WAS,1,16,6.12,1,0,1,0,0,0,0,0,0,0,0,1,1,0,-5
2021-02-03,ATL,DAL,0,-6,15.03,3,3,2,2,0,0,1,3,2,0,0,1,2,8,3
2021-02-04,ATL,UTA,0,-21,23.62,5,4,4,4,0,0,1,2,2,1,0,1,0,12,-4
2021-02-06,ATL,TOR,0,11,17.85,4,2,4,2,0,0,0,2,2,0,1,0,1,6,0
2021-02-10,ATL,DAL,1,-1,27.82,4,2,2,2,0,0,1,6,2,0,0,0,0,6,4
2021-02-12,ATL,SAS,0,-11,17.33,3,0,1,0,0,0,0,1,2,0,0,1,0,0,-3
2021-02-17,ATL,BOS,1,8,16.25,3,1,2,0,0,0,0,1,0,0,0,0,0,2,1
2021-02-19,ATL,BOS,1,-12,17.02,6,2,2,2,0,0,1,1,1,1,0,0,0,6,11
2021-02-21,ATL,DEN,0,8,22.62,5,4,5,4,0,0,0,1,1,0,0,1,1,12,1
2021-02-23,ATL,CLE,1,-1,32.73,7,4,5,3,0,0,1,5,1,0,2,2,2,11,12
2021-02-24,ATL,BOS,0,15,28.8,8,4,6,4,0,0,1,4,4,0,1,1,4,12,8
2021-02-26,ATL,OKC,1,-9,28.4,3,0,2,0,0,0,1,2,1,1,1,0,3,0,3
2021-02-28,ATL,MIA,1,-10,34.08,6,3,5,2,0,0,1,4,0,0,0,1,3,8,5
2021-03-02,ATL,MIA,1,14,29.6,5,4,4,3,0,0,0,3,2,0,0,1,1,11,-2
2021-03-03,ATL,ORL,1,3,34.3,5,4,4,3,0,0,0,3,3,0,1,1,3,11,5
2021-03-11,ATL,TOR,1,1,26.47,4,2,3,2,0,0,0,4,2,0,0,0,2,6,11
2021-03-13,ATL,SAC,0,15,26.72,3,3,0,0,2,2,0,3,1,0,0,0,3,8,-4
2021-03-14,ATL,CLE,0,18,20.87,3,0,2,0,0,0,0,4,3,0,0,0,1,0,12
2021-03-16,ATL,HOU,1,12,30.75,7,5,7,5,0,0,0,3,5,0,0,0,2,15,0
2021-03-18,ATL,OKC,0,23,16.1,3,3,0,0,0,0,0,2,1,0,0,0,0,6,16
2021-03-20,ATL,LAL,1,5,19.12,3,1,2,1,0,0,0,0,1,2,1,0,1,3,14
2021-03-22,ATL,LAC,1,-9,32.45,10,5,5,3,0,0,2,6,1,0,0,0,2,13,-3
2021-03-24,ATL,SAC,1,-2,20.58,1,0,1,0,0,0,0,2,1,0,0,1,3,0,-6
2021-03-26,ATL,GSW,1,16,23.18,2,2,1,1,0,0,0,3,2,0,0,0,2,5,13
2021-03-28,ATL,DEN,1,-24,22.58,1,1,1,1,2,2,0,1,2,0,0,0,2,5,-16
2021-03-30,ATL,PHO,1,-7,28.88,4,2,2,1,0,0,0,1,1,0,0,3,0,5,-13
2021-04-01,ATL,SAS,1,5,43.77,5,2,4,2,0,0,0,4,1,0,0,0,3,6,-3
2021-04-02,ATL,NOP,1,23,22.27,5,4,1,1,1,1,0,4,0,0,0,0,3,10,11
2021-04-04,ATL,GSW,0,6,29.05,3,2,3,2,2,2,0,1,1,1,1,0,2,8,6
2021-04-06,ATL,NOP,0,16,22.02,4,0,1,0,3,3,0,4,0,1,1,0,3,3,0
2021-04-07,ATL,MEM,0,-18,18.72,3,3,2,2,1,1,0,2,1,0,0,1,1,9,-14
2021-04-09,ATL,CHI,0,12,15.33,1,0,1,0,0,0,2,3,1,2,0,0,1,0,3
2021-04-30,ATL,PHI,1,-22,24.0,5,2,4,2,0,0,1,4,3,0,1,0,1,6,-6
2021-05-01,ATL,CHI,0,11,21.33,2,1,2,1,0,0,0,0,1,2,0,1,2,3,24
2021-05-03,ATL,POR,0,9,25.23,3,2,2,2,0,0,0,3,0,0,0,0,4,6,-1
2021-05-05,ATL,PHO,0,32,17.98,2,1,0,0,0,0,0,2,0,0,0,0,2,2,3
2021-05-06,ATL,IND,1,-7,17.43,3,0,2,0,0,0,0,2,3,0,0,0,0,0,-8
2021-05-12,ATL,WAS,0,4,23.48,2,2,1,1,0,0,2,5,0,0,0,0,1,5,-13
2021-05-16,ATL,HOU,0,29,23.55,7,4,0,0,0,0,0,2,1,2,0,2,3,8,11
