Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-23,DAL,PHO,1,-4,19.58,6,3,1,1,0,0,0,0,1,0,7
2020-12-25,DAL,LAL,1,-23,24.47,10,5,7,4,1,2,0,1,0,5,17
2020-12-27,DAL,LAC,1,51,17.5,3,2,2,1,2,1,1,0,1,0,5
2020-12-30,DAL,CHO,0,-19,19.77,9,1,6,1,1,4,2,0,1,0,3
2021-01-01,DAL,MIA,0,10,17.32,5,2,1,0,3,0,0,0,1,3,8
2021-01-03,DAL,CHI,1,-10,17.28,9,3,3,0,2,3,1,0,1,1,7
2021-01-04,DAL,HOU,1,13,8.7,5,1,3,1,1,0,0,0,1,3,3
2021-01-09,DAL,ORL,0,14,21.02,13,11,8,7,0,4,0,1,1,3,29
2021-01-13,DAL,CHO,1,11,32.38,12,2,8,2,2,4,1,0,1,2,8
2021-01-15,DAL,MIL,1,-3,27.7,12,5,6,3,3,1,0,0,0,1,13
2021-01-17,DAL,CHI,0,-16,28.7,7,2,2,0,4,1,1,0,1,3,5
2021-01-18,DAL,TOR,1,-23,26.1,11,5,6,2,0,3,2,0,0,2,17
2021-01-20,DAL,IND,1,12,31.72,16,9,8,4,1,3,2,0,2,3,22
2021-01-22,DAL,SAS,1,5,20.5,10,5,5,2,1,0,1,0,0,2,13
2021-01-23,DAL,HOU,0,-25,23.8,9,4,4,1,1,1,3,0,0,2,13
2021-01-25,DAL,DEN,0,-4,25.77,6,4,3,1,0,1,2,0,1,2,9
2021-01-27,DAL,UTA,1,-12,21.12,3,2,2,2,1,3,0,0,0,0,8
2021-01-29,DAL,UTA,1,-19,18.33,8,3,4,0,3,2,2,0,1,4,6
2021-01-30,DAL,PHO,0,-6,9.13,3,2,1,0,1,1,0,0,2,2,4
2021-02-01,DAL,PHO,0,-1,3.3,1,0,0,0,0,0,0,0,0,1,0
2021-02-03,DAL,ATL,1,6,5.3,2,0,1,0,0,1,1,0,0,0,0
2021-02-04,DAL,GSW,0,-31,13.67,7,2,3,0,1,2,0,0,0,0,4
2021-02-06,DAL,GSW,0,2,5.48,3,2,1,1,0,1,1,0,0,1,5
2021-02-08,DAL,MIN,0,5,7.98,4,2,2,1,1,1,0,0,0,0,5
2021-02-10,DAL,ATL,0,1,4.57,0,0,0,0,0,1,0,0,0,0,0
2021-02-12,DAL,NOP,0,13,5.52,2,1,2,1,0,0,1,0,0,0,3
2021-02-14,DAL,POR,0,-3,9.65,2,1,2,1,1,3,0,0,0,0,3
2021-02-22,DAL,MEM,0,10,9.98,1,0,1,0,0,0,0,0,1,0,0
2021-02-23,DAL,BOS,0,3,2.95,0,0,0,0,0,0,0,0,2,0,0
2021-02-25,DAL,PHI,1,-14,16.53,6,3,3,1,1,2,0,0,0,1,9
