Date,Team,Opponent,Home(0)/Away(1),Margin,Minutes,FGA,FGM,3PA,3PM,Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points
2020-12-26,SAS,TOR,0, +5,4:08,1,1,1,1,1,1,0,0,0,0,3
2020-12-27,SAS,NOP,1, -3,6:04,1,0,1,0,2,0,0,0,0,0,0
2021-01-03,SAS,UTA,0, -21,18:36,4,1,1,0,9,0,0,0,0,0,2
2021-01-07,SAS,LAL,1, +9,0:57,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,SAS,MIN,1, -8,35:00,4,2,1,0,10,2,0,0,0,1,5
2021-01-12,SAS,OKC,1, +10,18:18,6,2,3,1,4,0,0,0,0,2,6
2021-01-18,SAS,POR,1, +21,2:13,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,SAS,GSW,1, -22,11:45,5,2,3,0,3,0,0,0,0,0,5
2021-01-24,SAS,WAS,0, +20,2:55,0,0,0,0,2,1,0,0,0,0,0
2021-01-30,SAS,MEM,0, -17,10:32,1,0,0,0,3,0,0,0,0,0,0
2021-02-01,SAS,MEM,0, -31,6:13,2,2,0,0,0,1,0,0,0,0,4
2021-02-03,SAS,MIN,0, +3,13:29,4,3,2,1,2,2,0,0,0,0,9
2021-02-09,SAS,GSW,0, -23,25:59,8,5,3,1,6,0,0,0,0,2,15
2021-02-12,SAS,ATL,1, +11,8:48,0,0,0,0,1,0,0,0,0,0,0
2021-02-24,SAS,OKC,1, -3,26:16,7,3,3,1,5,1,1,1,2,1,8
2021-02-27,SAS,NOP,0, +3,35:48,9,4,6,2,7,0,1,0,1,2,10
2021-03-01,SAS,BRK,0, -11,27:13,9,3,5,2,7,0,0,0,0,0,10
2021-03-02,SAS,NYK,0, +26,30:04,13,7,6,4,5,2,2,0,0,1,18
2021-03-04,SAS,OKC,0, -5,26:49,9,7,2,1,10,1,1,0,0,2,15
2021-03-10,SAS,DAL,1, -11,7:19,0,0,0,0,2,0,0,0,0,0,0
2021-03-12,SAS,ORL,0, +27,12:26,1,0,0,0,4,1,0,0,0,0,1
2021-03-14,SAS,PHI,1, -35,14:18,3,0,1,0,1,1,0,0,1,0,0
2021-03-24,SAS,LAC,0, -33,12:40,3,1,2,0,2,1,1,0,2,2,4
